,BTC,ETH,BCH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0692507176376671,-0.124114112158257,-0.00716072495770673,0.201731388217844,0.145792418557513,0.0489714284771361,0,0,0.0579529852377845,0.0531657670139734,0.0451595032921303,0,-0.0590251302030312,0.116688869019296,0,0,0,0,0.203729421206151
ETH,0,0,0,0,0,0,0.247695065596299,0.053664713847498,0.0620189057047818,0,0.0648457104280372,0,0.0960919474993643,0,0.240678005780771,0,0,0,0,0.0685451448460585
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0919690352656607,-0.0701127602425009,0,0,0.228668370410405,0,0.292089713438746,0.0757117556828287,0,0.0319537934225177,0,-0.0992938959203292,0.25840401411877,0.042988434920482,0,0,0,0,0
LTC,0.300429672634569,-0.0567179259252287,0,0,0,0,0.210469534109448,-0.131199996863225,-0.0326722744667433,0.0134710208954608,-0.00000000000000000173472347597681,0.125278634147972,0.117522274828961,0,0.194187762530427,0,0,0,0,0
XEM,0.164721234155664,0,0,0.310068547359993,0.0928168513273765,0,0,0,0,0.177251986525578,0.0793461087216394,0.0137791310875099,-0.0802889315569618,0.17936620767169,0,0,0,0,0,0
ETC,0,0.219712108614951,0,0,0.173894635573401,0,0,0.110155481476553,0,0.182756875881415,0.0249531574818158,-0.000000000000000000433680868994202,0,-0.100725405688553,0,0,0,0,0,0
DASH,0.185984159154855,0.10192274794857,0,0,0.00580912687353827,0.14965225930942,0.17207020379976,0,0,0.177795447105196,0,0.0681353210936285,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.154220532672575,0,0.109585561480645,0,0,0.0437261656401654,0,0.373242385396008,0.119253217148597,0.234335923411212,0,0,0,0,0
XMR,0,0,0,0,0.0724634306657447,0.133727657421884,0,0.465660026512555,0,0,0.0265596703111557,-0.0164018286939723,0,0.249513203134393,0,0,0,0,0,0
EOS,0,0.296731396869824,-0.0317464360081577,0,-0.199710607151868,0.463183301002581,0.0256336794718948,0,-0.000000000000000000433680868994202,0,0,0.111375257396952,0.296986218927688,0,0,0,0,0,0,0.000000000000000000867361737988404
NEO,0,0.114817433465069,0.0107240252406805,0,0.110529437248815,0,0,0.0747118614782994,0,0,0.0172721125918629,0,0.646773299392461,0.107763921806818,0,0,0,0,0,0
ZEC,0,0.14692931131426,0,0,0,0,0,0,0.155743070781238,0.0715052855956734,0.0282220717248095,0.0423766499919164,0,0.107254326534808,0.0744807975744439,0,0,0,0,0
XLM,0,0,0,0.0675553781323333,0,0,0,0,0.142059604256914,0.553647845359479,0.101588403286595,0.0122761340305358,0.09425867680147,0,0.115645976142449,0,0,0,0,0
DOGE,0,0.0899213618148929,0,0.238816503706616,0.0650958461516773,0.297850353675693,0,0,0.0642790874223602,0.128983690193226,-0.0605124673664185,0.0111352124266972,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.0124695062175826,0,0.00545580191740488,-0.0149948618019733,0,-0.0137606488150152,0.0344518101518174,0,0,0,0,0,0,0
CVIX.INDEX,-0.0665781540575013,0.0124142520209106,0,0.0942330812913582,0,-0.0256185069686231,0.0568460658239733,-0.111230114233812,0.0497122487576715,0.0459123495021058,0.0250083554056639,-0.0151751127313749,-0.106674030846733,-0.0178545238412644,0.0314439816366818,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0.00365713245157038,0,0.00424988454011008,0,0,-0.00325879820029451,0,0,0,0,0,0
SPX.INDEX,0,0.00455852690346725,0,0,-0.000205470115370822,-0.00259492875946563,-0.00424948775238366,0,0,0,0.00153604513763415,-0.000468731166589874,0.000676195832107992,0,0,0,0,0,0,-0.0616591931700598
VIX.INDEX,0.0334572405952814,0.284945625778123,0,0,0,0,0,0,-0.110967050277517,0.184695632683573,0,-0.0807928854046861,0,0,0,0,0,0,0,0
