,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LEO,INNBCL,TAGZ5,XLM,HT,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.152119458495684,0.0270013716527833,0,0.0475126790983186,0,0.0787863087029077,0,0.0039646977296376,0,0,0,0.257182377308393,0,0,0,0,0
ETH,0,0,0,0.391830715413893,0,0,0,0.129809521457885,0.21472531387433,0,0.00474717662369866,0,0,0,0.210159803767889,0,0,0,0,0
XRP,0,0.260843784203626,0,0.172053986975814,0,0.0307763780152007,0,0,0.0542843624865182,0,0.000660268098827224,0.0397364990132445,0,0.00186855472394588,0.158028494514747,0,0,0,0,0.00970343917277373
BCH,0,0.317890189132453,0,0,0.193379276302507,0,0.273681427578054,0,0.0509789839804886,0,0,0,0,0.110566926834165,0,0,0,0,0,0
BSV,0,0,0,0.699432422422934,0,0,0.159333532150285,0.106612388565362,0,0,-0.00839901172235197,0,0,0,0,0,0.0628347289479555,0,0,0
LTC,0,0.146667706827522,0.0272004151833713,0.0687606352146264,0.0978506705035943,0,0.252526487376959,0,0,0,0.000874748582841615,0.0180913930994968,0,0,0.272379718383885,0,0,0,0,0
EOS,0,0.00172614544710861,0,0.264424912272053,0.24603057500321,0.22385426325534,0,0.0842340625274589,0,0,0.00291685630901322,0,0,0,0.0900020686902553,0,0,0,0,0
BNB,0,0.182369563363226,0,0.269825393727823,0,0,0.105309413472086,0,0.213447697785579,0,0.000715200647295386,0,0,0,0,0,0,0,0,0
XTZ,0,0.475937272678899,0,0.0188610346212418,0,0,0,0.528488367516388,0,0,0,0,0,0,0,0,0,0,0,0
LEO,0,0,-0.0250516085279832,0,0.0711892205658735,-0.11033818754645,0,0,0.151573066508242,0,0.00260826763889208,-0.0358564175589334,-0.0873389176665929,0,0,-0.00528098416628517,-0.0125019487003223,0,0,-0.0538825008843952
INNBCL,9.82037338397139,34.2789722594986,7.55918238908738,6.70087145999456,-7.68428284448721,0,-8.08224568239444,0,-5.3268737393903,0,0,-2.95058566110748,-3.40020277377878,-10.0125777530458,-24.5883482247983,0,1.21135767866281,0,0,0
TAGZ5,0,0.307328464101012,0,0.270512332126186,0,0,0.0963816134102208,0,0,0,0,0,0,0,0,0,0,0,0,0.0488576341301686
XLM,0,0,0,0.29032412764478,0,0,0,0.188460557303538,0.0672578729771654,0,0.00203197163569251,0,0,0,0.12781302635361,0,0,0,0,0
HT,0,0,0,0.221589808790327,0,0,0,0.235985100714686,0.253637748430346,0,-0.00167076789249458,0,0,0,0,0,0,0,0,0
ADA,0,0.0213818894093638,0,0.154074957116765,0.026941094710788,0.212206550451085,0.191488363736833,0.0557446894153521,0.199341342089712,0,-0.0016440420227588,0,0,0.0500591567986238,0,0,0,0,0,0
BV010082.INDEX,0,0.501198324814112,0.608589752297985,0,0,0,0,-1.17017277387318,0,0,-0.0193896615829209,0.141301679504673,0.0458655564318814,-0.0774592303746849,0,0,0,0,0.714441707115357,0
CVIX.INDEX,0,-0.489548558015601,0,0,0,0.219915160564998,-0.0963510686751331,0,0.239051800789448,0.0577437209591179,0.00164770961504058,-0.390956356273895,0,0,0.460435329531476,0.488342910232055,0,0,-0.649495876818486,0.315981676236271
DXY.INDEX,0,0,0,0,0.00997954157928187,0,0,0,-0.00901567464244142,0,0,0,0,0.00309505872143121,0,0.0367480137471791,-0.022898187270338,0,0,-0.00687435810690704
SPX.INDEX,0,0.0378262068321269,0,0,-0.101970098917868,0,0,0,0.0326652726907801,-0.125664178016308,-0.0048948002591188,-0.0485702480405342,0,0.08374507994001,0,0.299460749576111,0,0,0,-0.185300349594915
VIX.INDEX,0,0.493946831918769,0,-0.215987868186669,-0.306650978657497,0,0,0,0.13316252194932,0,0,0.34600556152211,-0.538542093138339,0,0,0,0.0348319898346476,0,-2.21356132762354,0
