,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.137907728424374,0,0.0549679263808182,0.0510008097028667,0,0,0.0601908839533652,0.194107520074308,0.0514505038393617,0.0248178913074453,0,0,0.0314562759853344,0,0,0,0,0,0
ETH,0.11099077074089,0,0.165079686759452,0.126323028980755,0,0,0.404255435865733,0,0.0171239089727118,0,0,0.00762591522756875,0.0181828028625471,0.0402410504212405,0,0,0,0,0,0
XRP,0,0.354208527296525,0,0,0,0,0,0.0971299295197565,0,0,0.0838285845398885,0,0.0827548232290338,0.0058541800767013,0.150965769315679,0,0,0,0,0
BCH,0,0.228777653682828,0,0,0.0367246298105507,0.0394653049660411,0,0,0.194805397131559,0,0,0.200944387696775,0.067669524361423,0,0.00000000000000000693889390390723,0,0,0,0,0
EOS,0,0,0,0.418642198650608,0,0.134285464160149,0,0,-0.0938241204719683,0,0,0,0.204788840503533,0,0,0,0,0,0,-0.167067679622725
ADA,0,0,0.0514518482348439,0,0,0,0,0,0.103929572239401,0,0.287040639147229,0,0.214369412445904,0.308027197802471,0,0,0,0,0,0
LTC,0,0.220303791532928,0,0.180267144327887,0,0,0,0.203221496145263,0.0852836490457691,0,0.049447738063393,0,0,0.000000000000000000433680868994202,0,0,0,0,0,0
XLM,0,0,0.169998862371765,0.0710593709525606,0.0243047954201366,0.127867456464925,0,0,0.0289519891882092,0.020324937511999,0.105081454125902,0,0.0715117490298338,0.2051212018573,0.115904974268771,0,0,0,0,0
MIOTA,0,0,0.127667158312372,0.347004125732551,0,0.0864060837800951,0,0,0,0,0.129032870803688,0,0.0932976751393094,0,0.197994299040667,0,0,0,0,0
TRX,0,-0.0513514273555316,0,0.528601738029351,0.100490287348413,0,0,-0.172912097185707,0,0,0,0.294274078584761,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0740827425000509,0.0397034099849212,0.103169043187415,0.100845887801386,0.113467016946755,0.0332184878290984,0,0,0.215436744198105,0.0449997735370117,0.197614610863469,0,0,0,0,0.0265545009379843
DASH,0.0563572637219985,0.360650354707527,0,0.102986349686274,0,0.070753825726841,0,0,0.101456045565031,0.0880854621213216,0.0717704613323783,0,0,0.038071417740383,0,0,0,0,0,0.0460304774498473
XMR,0,0.0134927212350238,0.0998057400450935,0.139253526448184,0,0,0,0.224613218706754,0.0624425418382509,0.0817271064181317,0,0.191155490205337,0,-0.0391788165054561,0,0,0,0,0,0
XEM,0,0.231969931209081,-0.152267879327736,0,-0.110669548797489,0.232075106077786,0,0.162226168908578,0,0.179774612449266,0.225438776536423,0,0,0,0.211613620464498,0,0,0,0,-0.0445711752918505
ETC,0,0.276614812293652,0.108325627029178,0,0.143467532617177,0.0947126027827369,0,0,0.150003817609617,0,0.0753314559149819,0,0,0.115937774827582,0,0,0,0,0,-0.0509297237689003
BV010082.INDEX,0,-0.040663354838873,0,0,0.016402377545741,0,0,0.0304235720456028,0,-0.0314831746274484,0,0.124465197961012,-0.0671125172560837,-0.0396445665506909,0,0,0,0,0,-0.0551963155641862
CVIX.INDEX,-0.070341717601149,0,0,-0.0627228375267112,-0.0174906343909495,-0.0903237394737494,0,0.000000000000000000433680868994202,0.0807787970678172,-0.0395206343535217,0,0.171088425410771,-0.063071132618144,-0.17526369355509,0.237325001391198,0,0,0,0,-0.0145125336291271
DXY.INDEX,-0.0121790492858879,0.00631871410330062,0.00496183541693528,0,-0.00330905295468088,0.00709109626179282,0.0140334194573276,-0.0341312029232296,0,-0.00670714689891237,0,0.0349759449522276,-0.00300345087692302,0,0,0,0,0,0,-0.00646376886809126
SPX.INDEX,-0.0162848265955428,0,0,0.0224668759309513,0.0112359931115035,0,0,-0.00162248019952042,0,-0.0335885323865387,0,-0.00129132965077762,0,0,0,0,0,0,0,-0.112765461173677
VIX.INDEX,0,0,0,0.0219926626910107,0,0.0165051265936671,-0.0681542045726505,-0.197330818706164,-0.00000000000000000693889390390723,0.133518031273638,0,0.186486462045871,0,0,0,0,0,0,-4.0372381124329,0
