,BTC,LTC,XRP,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.168261929620912,0,0.0327605643259432,0.0514374783932057,0,0.0412034507545034,0.258042049775781,0.0289977250409819,-0.0303479318973748,-0.146123969319936,0,0,0,0
LTC,0.34883979026257,0,0.0812004630184024,0,0,0.264036628797074,0.0039942371057519,0.057313439840548,0,0.0103248738915098,0.115133984883367,0.179210612253344,0,0,0.0619739043913309
XRP,1.18821651651242,-0.451885177596301,0,-0.114454530473339,0,1.11080631911161,0.54646352560068,-0.697834698907049,0.0101893249191756,-0.166398159514644,0,0.0440756128952181,0,0,-0.121964072233213
ETH,0,-1.78749323703846,-0.114170142112481,0,-0.104531085261042,1.19459204221379,0.283058165867447,0.600745268334652,-0.0507389220534337,-0.221384812032751,0.177684481678724,0,2.62447277643252,0,0
DASH,0,0.431020309158642,-0.0990237053427093,-0.00509645399289479,0,0.396114921533994,-0.170801714720956,-0.117926848795383,0.0340682992795038,0.078855500830679,0,0,-1.03071736609362,0,-0.181101785031565
DOGE,0,0.296496607462357,0.131778750675966,0.0371820503091923,0.000325282957626663,0,0.00751416101896738,0.279002181159741,0.0111542681273317,-0.00369466221215529,0,0,0,0,0.0322751030041844
XLM,0,0.201970699679986,-0.102762305759686,0.0872114179870683,0.0415646827453933,0,0,0,-0.0373198318957869,0.0288968055501156,0,0,0,0,0
XMR,1.36401574604515,-0.400716592629865,-0.304119988157393,-0.00766375475692275,-0.189101826772803,0.724574640167307,0.0124993368104575,0,0.0210116000612402,0,0,0,0,0,-0.076737682028244
DGB,-0.211777010066608,0,0,0.0898485185779715,0,0,1.2480188566744,0,0,0.135436140288757,0,0,0,0,-0.2570480621253
XEM,2.68044671241191,-1.86421801806698,0,-0.122047647605833,0,1.84903038790072,0.929771424021229,-0.815599367192099,0.122191695785008,0,0,0.724236603596766,1.92894186581031,0.634550736534471,-0.281644556762961
BV010082.INDEX,0,0.207231977145824,0,0,0,0,0,0,0,0.0792645908854488,0,0,0,0,0
CVIX.INDEX,0,0.319788163914404,0.000000000000000000433680868994202,-0.00000000000000000346944695195361,0,-0.212201133452933,-0.222939190140024,-0.211162505463797,0.0095237421781151,0.0626286381193602,0,0,0,0.339786928491461,0.0859809131805309
DXY.INDEX,0,0.0165224803235085,-0.0118368142319163,0.00981766961519324,0,-0.00511616888615852,-0.0407208791646105,0.0429500620101372,-0.00609988628629987,0.00771293283083861,0.0534075387026725,0,0,0,-0.00668532651031514
SPX.INDEX,0,0,-0.0440213941768533,0,0.0304715356144263,0.0336529937537379,0,0,0.00997265125489872,-0.0184382235715908,0.0211217876630326,0,0,0,-0.140273206378694
VIX.INDEX,0,0,-0.213374785562237,0.104630776992588,0,0,0.384710570311357,0,0.0485359285856691,-0.1604171055596,0.440246455575756,0,0,-4.80555879885007,0
