,BTC,ETH,XRP,EOS,LTC,BCH,XLM,BNB,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0401034567620092,0,0.0627801011541799,0.0565026299721067,0.146102535775799,0,0.0536012839109685,0.00475204787356206,0,0.0718988681055135,0.062494289903709,0,0.0542604750948348,0,0,0,0,0,0
ETH,0,0,0,0.172048381094002,0,0.251714756139012,0,0,0.0686178139207828,0.0558796147318468,0,0,0.25156065354184,0,0.102047916573706,0,0,0,0,0
XRP,0,0,0,0.110222469722798,-0.000000000000000000433680868994202,0.172831373760957,0,0,0.0363396569037982,0,0.198095296558785,0,0,0.0586165051426398,0.0217919782442309,0,0,0,0,-0.0405447296825168
EOS,0,0.277261804204008,0,0,0.0715682542126291,0.126695137969395,0,0.0841733618926896,0,0,0.335936523367647,0.251617429275055,0,0,0.0598193627453379,0,0,0,0,0
LTC,0,0.285472432937258,0,0.206666912510393,0,0.283680855440891,0.0526632781046373,0.054695487291983,0,0,0.0722746221774665,0,0,0,-0.157860024033763,0,0,0,0,0.122038858034997
BCH,0,0,0.227719766018001,0.278829494352331,0.199743116699833,0,0,0,0.01673414986184,0.338358731043809,0,0,0,0,0,0,0,0,0,0
XLM,0,0.00000000000000000173472347597681,0.140331975610336,0,0.011889670287144,0.0999592023053974,0,0,0,0.0825414264169222,0.287947239297451,0,0.113938593028282,0,0,0,0,0,0,-0.0101274706122094
BNB,0,0,0,0.0625030404311318,0.320466228931218,0,0,0,0.411230555532773,-0.121453149181868,0,0,0,0,0.0634940409335414,0,0,0,0,0.105395245379474
TRX,0,0,0,0,-0.102297433418816,0,0.244166696129495,0.0282494798935176,0,0,0.494730428902607,0,0.108060413093809,0,0,0.112104726622395,0,0,0,0.139883892578993
BSV,0,0,0,0,0,0.497947852177039,0.0827581290193223,0,0.0394444404501686,0,0.0827778560013246,0,0,0,0.0954217642683763,0,0,0,0,0
ADA,0,0.185193558149803,0,0.115592308998794,0.127654006184734,0.165663686515713,0.0492189245720376,0.0773031482157504,0.0661461859469974,0.0147169229625241,0,0,0.15195643415751,0,0,0,0,0,0,0
XMR,0,0.18906213846912,0,0,0,0.069199974000544,0,0,0.00232363957352436,0.0596176755318024,0.107962647651368,0,0.128395325928202,0.0334038962672123,0.0617556640210702,0,0,0,0,0
MIOTA,0,0.138570468047983,0,0.439644987324588,0,0,0,0.000000000000000000867361737988404,0,0.018272207541865,0.0651131129836166,0.122328696028819,0,0.0442703057956815,0,0,0,0,0,0
DASH,0,0,0,0,0,0.172605707425616,0,0,0,0,0.189181382799359,0.0668901559950084,0.368985872577147,0,0,0,0,0,0,0
MKR,0,0.218240431103707,-0.168806104317407,0.0813273881605035,0,-0.101598524866621,0,0,0,0.295312732702445,0,0.246977307185185,0,0,0,0,0,0,0,-0.16402433728907
BV010082.INDEX,0,-0.264961777086691,0.136728391241256,0,-0.0150917410322941,0,0,0,0,0,0,0.0312991491754721,0.0469421900270349,0.0618918349039328,0.0925999366068801,0,0,0,0,0
CVIX.INDEX,0,0.106874525048751,0.19866669454432,-0.039306314609741,0.166788947282909,-0.138061993834132,0.140239515098157,-0.0520754059544083,-0.260627045599848,-0.0946881978254021,0,0,-0.0823082191708989,0,0,0,0,0,0,-0.111172320681708
DXY.INDEX,0,0,0,-0.00605692561428543,0,0,0,0,-0.00552335319272044,0.0109996127953732,0,0,0,0.0328782753857757,0.00000000000000000010842021724855,0.0421985874949151,0.029483687374459,0,0,0.013439785629966
SPX.INDEX,0,0,0,0,0,0,0,-0.0133189685261879,0,-0.0055634705179008,0,0,0,0,0,0.140908819661134,-0.0143727738629354,0,0,-0.062376865240441
VIX.INDEX,0,-0.364396102866546,0,0.279458433155352,-0.153626301969798,0.0228162890081673,0,0.407397890199699,0,-0.142305240474174,0,0,0,0,0,0,-0.365561252667435,0,-3.0568878574367,0
