,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.27864496108434,0.0372889306233179,0,0.053505630906847,0,0.0462540414508955,0,0,0.0950427037557901,0,0,0.0479955561897623,0,0,0,0,0
ETH,0,0,-0.00000000000000000346944695195361,0,0.100303133521434,0.14903911156819,0.078372854613688,0,0,0,0.342259256670065,0,0,0.130119877289244,0,0,0,0,0,0
XRP,0,-0.209214690166849,0,0,0.13265500260621,0.181937244337071,-0.0947344020544952,0.0521805722430937,0.00000000000000000346944695195361,0.137412380816069,0,0.131751814270561,0.247011525124359,0.238803142422207,0.139113160964958,0,0,0,0,0
BCH,0,0,0,0,0.308029104020751,0,0.183314699280115,0,0,0,0.0735470736953502,0.109462865098623,0.0123052882580878,0.189583224725403,0.00364950049893886,0,0,0,0,0
LTC,0,0,-0.000000000000000000867361737988404,0.209490348431213,0,0,0,0,0.0947054238139078,0.0231961271996447,0.119786159618587,0,0,0.138073173146051,0.0191093378885472,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.0554592625744869,0.070682172488782,0.205252881071095,0,0.198762927986997,0.0598731227596534,0,0.120798721625064,0,0,0,0,0
NEO,0,0.143347483273542,0,0.14495075372071,0,0.0354880371745176,0,0.0929155304075983,0,0,0,0,0.139130084042303,0.227408239722695,0,0,0,0,0,0
XLM,0,0,0.189307211774319,0.211749506539399,0,0.326130391295526,0.136097060185982,0,0,0.210834487743992,0,0,0.0583706820218626,0,-0.18459324524476,0,0,0,0,0
EOS,0.0742427540198366,0,0.131170813908063,0,0.0391009614110008,0,0,0,0,0,0,0.437326226355264,0,0.127946792110838,0.137893363451143,0,0,0,0,-0.0251234398341189
MIOTA,0,0,0.107622153923268,0.031613776541443,0.0705614590730258,0.0635185082872962,0,0,0.133906675880177,0,0,0.226868353388025,0.0320437470594977,0.117568684638385,0.0455879207920554,0,0,0,0,0
DASH,0,0,0,0.0854079735262957,0,0,0,0,0.184370509608915,0.0567902253923904,0,0.120560713022549,0,0.200125042775388,0.00659677033769638,0,0,0,0,0
XMR,0.122284504458071,0,0,0.0339601671065621,0.200563622132282,0,0.157190627003091,0,0,0.114664296445869,0.245595162552494,0,0,0.0618221548906743,-0.00000000000000000693889390390723,0,0,0,0,0
XEM,0,0,0.151182450106943,0.00000000000000000346944695195361,0.23698925523867,0,0.0718019023395343,0.177867142005958,0.0495794178813086,0.127039744410948,0,0.0150415307511808,0,0,0.020284669761384,0,0,0,0,0
ETC,0,0,0.134481011083158,0.169863135505259,0,0,0.0713491688092802,0,0,0,0.0926085752896123,0.214643890613223,0,0,0.041169369059689,0,0,0,0,0
TRX,0.446933658801092,0,0,0,0,0,-0.559541946179194,0,0.0448731352182307,0.332183882528895,0.352832222079465,0,0,0.360419244503502,0,0,0,0,0,0.0141934949352667
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428008284547174
CVIX.INDEX,0.0215549381679067,0,0,-0.00425570111820003,-0.025733233172009,0.0767616083289424,0,-0.0799127290234099,-0.00869426898766953,0.0183566682984256,0,0.00000000000000000173472347597681,0.0840773616387799,-0.0755862111158514,-0.0243356411670772,0,0,0,0,0.0488876051089328
DXY.INDEX,0,0.017930191010218,0.00484511068823668,-0.00290452802592705,0,-0.00965657042762755,-0.00827392584195484,0,-0.0113428205568748,0,0,0.00260943159992612,0,0,-0.0037446336000791,-0.114656668032351,-0.00563729926630418,0,0,-0.00233124552231614
SPX.INDEX,0,0,0,-0.0255459396043657,0,0.00310744638754999,0.0172527388737441,0,0,0,0,0,0,0,0,0,0,0,0,-0.064633521589601
VIX.INDEX,-0.229432956174001,0,0,0,0.188476009984036,0,0.253146194800517,0,0.0874971392463343,-0.412369465460164,0,0,-0.0409309067872032,0.196557559693579,0.0445233763753166,-1.87513190861885,0.170686652793181,0,-5.11797387524147,0
