,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.168966137067076,0.0556364049605681,0,0.0461347230941059,0,0.0836718302064645,0.0334512681106049,0,0,0.104693055827562,-0.00000000000000000173472347597681,0,0,0,0,0
ETH,0,0,0.0463870659767044,0,0.231341822946828,0,0.010182184535539,0.146771830498382,0.0960836336141778,0,0,0,0,0,0.0880221789537685,0,0,0,0,0
BCH,0,0,0,0.0669828970386847,0,-0.0000000000000000138777878078145,0.914912559538975,-0.406917575521849,0.275221498126847,0.188571652073843,-0.153566316987285,0.435740024050353,0.350651543826117,0,-1.03264380646687,0,0,0,0,0
XRP,0,0.0933797764904674,0.0598355333597107,0,0.045195911944219,0,0,0.0792350200931543,0,0,0,0,0,0,0.266103284037016,0,0,0,0,0.0190983363024282
LTC,0.118380619469014,0.0321510494429753,0,0.0401611021932995,0,0,0,0,0,0.736864319757567,0,0,0,0,0,0,0,0,0,0
DASH,0.0723133359659067,0,0.0525014058509287,0,0,0,0.0848973451868777,0.0296893307647291,0,0.157920998822542,0,0.051972867906826,0.08746663059916,0.191661707864781,0.0148914088704968,0,0,0,0,0
XEM,0,0.0841548069363756,0,0,0.0605424100340674,0.146849638995157,0,0.000000000000000000867361737988404,0,0,0.0581492796806753,0,0,0.0448050604221524,0.205241138076787,0,0,0,0,0
MIOTA,0,0.077796296760449,-0.103707997528009,0,0,0.0423012879796048,0,0,0.0570624858134228,0,0,0.409173838409125,0.313412070272037,0.00000000000000000173472347597681,0,0,0,0,0,0
XMR,0,0,0.0984358015976262,0.0864237050850761,0.0608026762642715,0.0754685867626716,0.0742108020230231,0,0,0,0.0841732689629958,0.295621129229576,0,0,0.152603972409075,0,0,0,0,-0.0246606036157716
ETC,0,0.0175057276376603,0.00632397479991796,0.0650513508099062,0.604639822457996,0.131014722750808,0.0906087183919119,0.0763523376052553,0,0,0,0,0,0,0.0000000000000000000542101086242752,0,0,0,0,0
NEO,0,0,0.0260395052922542,0,0.104740772757263,0,0.401561607313958,0.120353389014332,0.146009459164087,0,0,0,0.293555607118697,0,0,0,0,0,0,-0.14506448757357
ZEC,0,0.0702711078887907,0.0288095807168315,0,0,0.0170745914736062,0.0483814668652193,0.219260328415533,0,0,0,0,0,0.00376454173770485,0.193714550288143,0,0,0,0,0
EOS,0,0,0.0202164882082677,0,0.248447784766957,0,0,0.140340568307132,0.0830528147502215,0,0.154266175777047,0.0943204907475791,0,0.0470692438609126,0.26170818325624,0,0,0,0,0
BAT,0,0,-0.0347274613739548,0,0,0,0.0777436000301148,0.0372934985748572,0,0,0.183560998761186,0.239990899419776,0,0,0.34955110493695,0,0,0,0,-0.125050116009074
XLM,0,0.430490200257171,0,0,0,0,0.00691524640037805,0,0.309190785143266,0.00612087150937499,0,0,0,0.192885696377552,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0061859185015093,0,0,0,0,0,0,0,-0.00476940192601865,0.0506805217077026,0,0.0163762636121749,0,0,0,0,0,-0.0938590921739071
CVIX.INDEX,0,0,0.00174413092044656,0.0402667150926554,0.0602959145261507,0,0.00996915720782826,0.0560222636718709,0.0253896105580135,0,0.0127290420389339,-0.126027361948359,-0.102022906057136,0.0309156905786207,0,0,0,0,0,0.0551914264752084
DXY.INDEX,0,-0.0152278239377389,0.00148445916677145,-0.000200607850908731,0.0127852787332362,-0.0125097182815114,0,0.00166185186017277,0,-0.00224915268650064,0.00682968432622615,0,0,0,0,0.0164031310641725,-0.0242648683764543,0,0,0
SPX.INDEX,0,0,-0.000104605722140743,0,0,-0.0101489004126133,0,0,-0.00341546719840509,0,-0.000594546643261574,-0.000399655196123475,0,0.00866333551851508,0,0,0,0,0,-0.047319714412491
VIX.INDEX,0,0.250396539064532,0,-0.133807826155753,0,-0.188699379008588,0.158607337764714,0,0,-0.0523040643783184,0,0,-0.262849206630138,0.10494314092546,0.0797099943491407,0,0.664157823256186,0,0,0
