,BTC,ETH,BCH,XRP,LTC,MIOTA,XEM,DASH,NEO,ETC,XMR,ZEC,EOS,BNB,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00000000000000000173472347597681,-0.00435947703703643,0,0.0745661490465409,0.0487835527463206,0,0.155016050635643,0.0439048217892168,0.0381155564155634,0.0564854285045166,0,0.0516092188094074,0.0683383771252702,-0.0153075175680142,0,0,0,0,0
ETH,0,0,-0.0452763782149913,0.20864229101178,0,0.0331870971473515,0.0963637128363873,0,0,0.280905517074284,0,0.329559180975758,0.0470131390414141,0.0388010832966557,0.00000000000000000173472347597681,0,0,0,0,0
BCH,0,0,0,0,-0.315241943908667,-0.375160822938456,0.644910008245221,0.00000000000000000693889390390723,-0.155696408136761,0,0.176241059562964,0.860174852342202,0.0668106041851438,0.170529466048331,-0.926650773010815,0,0,0,0,-0.455717268442757
XRP,0,0.337464798907487,0,0,0,0.0550480848406797,0.107285658501165,0,0,0.0808451529520416,0,0,0.0250741751248895,0.00417505264179731,0.0794243219620553,0,0,0,0,0
LTC,0,0.0323165231856902,0,0,0,0.0836621710405987,0,0,0,0.113424180985934,0,0,0.107976328663351,0.0251794986643087,0.000823333091069293,0,0,0,0,0
MIOTA,0,0,-0.076434446732441,0,0,0,0.230463017550561,0,0.0451256606332854,0,0,0.581037412971354,0.0106914596414722,0,0.0913975080215988,0,0,0,0,-0.0713254099430412
XEM,0.199393170646004,0.0148886710123838,0.132620912895527,0.0973120009143232,0,0,0,0,0.183305801762286,0,-0.0175750429732627,0,0.123901324086029,-0.0766485854023107,0.133563738245469,0,0,0,0,0.123902671112008
DASH,0,0.164088398327862,0.0397119768725838,0,0,0.0321195154457671,0.111931915017138,0,0.086190842488585,0.106422861028475,0,0,0.0645289794885847,0,0,0,0,0,0,0
NEO,0,0,-0.0290922508135062,0,0,0.109242278340582,0.380396786147372,0,0,0,0.0172700066691451,0,0.0526912243550337,0,0.141470509315032,0,0,0,0,-0.0328760947370457
ETC,0,0.314722016914777,0.00737265647442353,0,0.257534264208449,0.0408828617818611,0,0,0,0,0.0816322195278661,0,0,0,0,0,0,0,0,0
XMR,0.145037068686626,0,0.0651866979881077,0.184760585268559,0.068754155767102,0.0135336729408875,0,0.244524625225238,0.0548621099763373,0,0,0,0.0353327768035965,-0.0515673464602883,0.182411816177079,0,0,0,0,0
ZEC,0,0.188983409453473,0,0,0,0.173806738516096,0,0,0,0,0.0612453633428365,0,0.0464304524617625,-0.00191483059398649,0.130707488192293,0,0,0,0,0
EOS,0,0,0,0,-0.256520280486153,0,0,0,0.143590657112002,0.573196601220016,0,0.421837275763266,0,0.069090213795827,0.156020931395235,0,0,0,0,0.0775237068817177
BNB,0,0,-0.0258176099341815,0,0.14034848595036,0.168307218379366,0.0148198490482627,-0.182429252018824,0.0910062041763464,0,0,-0.247960309217125,0.044874346124778,0,-0.0621270558099722,0,0.467692576029388,0,0,0.334043027822347
XLM,0,0.264194049221452,0,0.153562798739761,0,0.144742816274139,0.156053542157168,0,0,0,0.275686805661032,0,0.0907152056440044,0.000000000000000000216840434497101,0,0,0,0,0,0
BV010082.INDEX,-0.0113759285097165,0,-0.0125316189594075,0,0.0508076327547431,0,0.0160282649031963,0.0347768035825048,-0.0147331311188661,-0.00249387292230182,0,0.0414969799240906,0,0,-0.0583415268137584,0,0,0,0,-0.0108631789091805
CVIX.INDEX,0,0,0.0135067729234782,0.0591860182438014,0.000000000000000000433680868994202,0.02976734736907,0,0,0.0234358484950212,0,0.0384322802773244,-0.108702261418051,0.0198375837600836,0,-0.0604493789559285,0,0,0,0,0.0409731796425604
DXY.INDEX,0,0,0,0,0,0.0042357581777408,0,0,0,0,0,0,0.00326872729071409,0.00480913842679197,-0.00274388060709676,0,0,0,0,0
SPX.INDEX,0,0.000316484976577136,0,0,0.00266742054092825,0.000971000272734568,0.00344522887235281,-0.01747838704763,0,0,-0.00363762284581046,0,0.00190017351686856,0.00133128202663512,0,0,0,0,0,-0.0535043150958527
VIX.INDEX,0,0.0598447993874993,-0.0332790327496407,0,-0.227216851080635,0,0.269200099659662,-0.183969357115071,-0.163152873425383,0,0.0600203114188251,0,0.0603260450553362,0.161958000000465,0,0,0,0,0,0
