,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0192635612259223,-0.0168426943643209,-0.00637377019017897,0.232854083049287,-0.00677979091719689,0,0,0,0.0416201685206745,0,0.0288589413145676,0.0661024320040742,0,0,0,0,0,0,0
ETH,0,0,0,0.0510233976735115,0.168039497233318,0,0.17483622422661,0.188673029877023,0.0281976643959213,0.026845270107685,0.0345887413043984,0,0.259688695635353,0.270023325641908,0,0,0,0,0,0.00602495209890692
XRP,0,0,0,0.052155042231353,0.493852782194365,0.034024129303851,0,0.224145790684638,0,0,0,0.27187826813652,0,0,0,0,0,0,0,0
BCH,0,0.172568424533168,0.07302758776006,0,0,0,0,0.188860046599778,0,0.264769781946937,0,0.125519822947037,0,0,0,0,0,0,0,0.0230504684349114
EOS,0.354362776189836,0.511370598959605,-0.0427906659092571,0.0721318793991747,0,0.0829534686895502,0,0,0,0.0662843055748119,0,0,0,0.0708626246066461,0,0,0,0,0,-0.0182028467203491
XLM,0,0.129313089121037,0.133310639025988,0,0,0,0,0.328976839252,0,0.131527455056018,0.0231077013776892,0.019856561283916,0,0,0,0,0,0,0,0
LTC,0,0.253790142834438,0,0.146095941977793,0,0.0376420847599231,0,-0.0000000000000000138777878078145,0,0.0727639783522521,0,0.269258238124486,0,0,0,0,0,0,0,0
ADA,0,0.163058672870324,0.0607003352700301,0.137451470940783,-0.187399310048368,0.199983371057438,0,0,0,0.138359225064161,0,0,0.232538304885952,0.0956078987323649,0.270217196893478,0,0,0,0,0.053890779045687
XMR,0,0.313028895068696,-0.0247213620444141,0,0.331840033141507,0,0,-0.0287605126667093,0,-0.0127330100904492,0,0.127443362581116,0,0,0,0,0,0,0,0.0211273971591186
TRX,0,0.23021431230847,0.0312298924196204,0.0991156038385663,0.0684275876597334,0,0,0.100100116825554,0,0,0,0.167191421783258,0.219774636631994,0,0,0,0,0,0,-0.0792531979136048
DASH,0,0.328173984406576,0,0.00918977998347259,0,0,0,0.204299527502554,0,0.0645410346939845,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.117589146248855,0.0355713792704725,0,0.0541861067876498,0.0414303171061802,0,0,0.192803996070199,0,0,0,0.140709196868281,0.300973437523868,0,0,0,0,-0.0537352475948137
BNB,0,0.173531621234002,0.00251198228457006,0.00758255720018484,0.125636393510188,0,0,0,0.129082178950584,0.0230053083187025,0,-0.00000000000000000693889390390723,0,0.0412398682617219,0.0626445631525789,0,0,0,0,-0.0197991368151764
NEO,0,0.0752021255748056,-0.0553277698369219,0.0975961178559516,0.0295694240492535,0,0,0.371051467842401,0,0,0,0.290211606279116,0,0,0,0,0,0,0,0
ETC,0,0.192976850172675,-0.0608997621344215,0.0362772439671062,0,0,0.160665466826425,0.267966812348805,0,0,0,0.15656513545239,0,0.00809968535078806,0,0,0,0,0,-0.0641911278197884
BV010082.INDEX,0,0,0.0291373543018043,-0.0977302198128359,0,0,0,0,0.054495240459926,0.0108726010847869,0.046044334935581,0,0.0260107742053037,-0.0668973976702571,0,0,-0.0564400241656834,0,0.350225312299324,0
CVIX.INDEX,0,-0.0184537947967287,0.0914568426267904,0,0,-0.278759072580445,-0.31568932392775,0,-0.0903086688053105,0,0.0508125544890883,0.415497051087805,0.179565862225111,0,0,-0.0677153735350689,0,0,0,0.0261667262357627
DXY.INDEX,0,0,-0.00974717487400649,-0.014348890438443,0.0103487171974511,0,0,0,0,-0.0338717042840545,0.0202155863433501,0.0227331225334937,0.00487285180403016,0,0,0.0472570188590836,0.0601584807939977,0,0,0.00372554485966624
SPX.INDEX,0,-0.0402083313205763,-0.0295757689037644,0,0,0,0,0.0204832719288432,0,0,0,0.0547156792210409,0,0,0,0.0568294573654445,0,0,0,-0.125531043811738
VIX.INDEX,0,-0.191049964263539,-0.0538997997399665,0.258220874237588,0,-0.240216125678395,0,0,0,-0.170990640463733,0,0,0,0,0.383625338249793,0,0.491617828032732,0,-6.29600006079778,0
