,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,LINK,ADA,XLM,TRX,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.140298458574643,0,0.145537775176754,0.0613041733842631,0,0,0.0247921293983012,0,0.0784782935914143,0.00688261399554784,0,0,0,0,0,0,0
ETH,0,0,0.0325409247766593,0.183893778422662,0,0.0927430885118411,0.119352362260283,0,0.00187415221039415,0.14534070920024,0,0,0.0945876212841775,0.22568877060291,0,0,0,0,0,0
XRP,0,0.115102596798893,0,0.172591623908266,0.0126226626568995,0.159738612641826,0.0720717868026639,0.0351479047526409,-0.000163426510541093,0.0873341127989326,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.250380745556873,0.191906255831044,0.0729844658663028,0.238176537573319,-0.000728257750085164,0,0,0,0,0.0309356419867213,0,0,0,0,0,0
BSV,0,0,0,1.04381740442157,0,0,0.511977638468101,0,-0.017106429614723,0.0000000000000000277555756156289,-0.035027753871633,-0.180196378265842,-1.01525303832562,0,0,0,0.167054114091218,0,0,-0.123067997219784
LTC,0,0.219582894864118,0,0.131258670552654,0.0499109146987576,0,0.272612679845258,0,0,0,0,0.148254313575743,0,0,0,0,0,0,0,0
EOS,0,0,0,0.00766123703824274,0.155537431886326,0.0496782014286305,0,0.327436104513818,0.00567022994514284,0,0,0.300105164148319,0,0.139839957615596,0,-0.0559442513198364,0,0,0,0
BNB,0,0.276778580789728,0,0.278157016874061,0,0,0,0,-0.00210336880463623,0.0348316485618278,0.02992704267702,0,0,0,0,0,0,0,0,0
INNBCL,0,0,17.2306352402063,0,-4.16743651951458,0,0,0,0,-8.14590603779163,0,-14.4860752327054,0,0,7.90374705312253,0,0,0,0,-2.42203803548654
XTZ,0,0.308852808702481,0,-0.00000000000000000173472347597681,0,0,0,0,-0.005612455741315,0,0.423321156049683,-0.125275618220172,0,0.211157614089416,-0.0295994016009596,-0.282195118627399,-0.0709867030452233,0,0,-0.0549150047869634
LINK,0,0,0,0,0,0,0,0,-0.00785293893702993,0.22443073866522,0,0,0,0.371656818130499,0,0,-0.0162258391718658,0,0,-0.0978252169500016
ADA,0,0,0,0,0,0.182214354736622,0.159093410929141,0,0,0,0,0,0,0.366914897304849,0,0,0,0,0,0
XLM,0,0.213703234984359,0,0.13166087200732,0,0,0.0180019569332659,0,0,0,0,0,0,0.180456693152018,0,0,0,0,0,0
TRX,0,0.0273981373721192,0.117783215666022,0,0,0.202169086464745,0.208741053360712,0,-0.0023654353971307,0.010733163653749,0,0.277295745978743,0.104558935847095,0,0,0,-0.0118359520074499,0,0,0
LEO,0,0,0,0,0,0,0,0.0874496215364702,0.0102164161761769,0.0511752194181037,0.0500985468080472,0,0,0,0,0,0,0,0,-0.00901316469235717
BV010082.INDEX,0,0.502930722046701,0,0,0.044428489194463,0,0,-0.740058306415141,-0.00370447864625049,0,0,0,0,0,0,0,-0.144959666117871,0,0,-0.129757647184597
CVIX.INDEX,0,-0.0380233691540354,0,0,0.0435547006540922,0,0,0,-0.00218981929377681,-0.0428378547636838,-0.0277313014340961,0.364028731984543,0,-0.459634630973818,-0.073534255098676,0.0954414956424492,0,0,0.749659649752427,0.116047402897278
DXY.INDEX,0,0,0,0.00440169207513566,0.00110279600115944,0,0,0,-0.00056037020676356,-0.00554966519743453,-0.0113866518894476,0,0,0.00292399851445507,0,0.0278630191175478,-0.0252457345685755,0,0,-0.00666105804355568
SPX.INDEX,0,0,0,0,0.0000000000000000000016940658945086,0.000937531443573761,0,0,-0.000542699600016968,0,0,0,0,0.0337778610530825,0,0.0802825664193281,0,0,0,-0.107648592032634
VIX.INDEX,0,0,-0.4204517263912,-0.325066051426708,0.0160124233084336,0,0.324055440882328,0.098729542019392,-0.00404700554292824,0.0246013159755142,0.10384418536425,0,0,0.124929060414115,0,0,0.0886949086319446,0,-4.13541372449287,0
