,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.086826157778294,0.032921897785027,0.201308650166662,0,-0.0420945791804198,0,0,0.00309625759441905,0.293559707921796,0,0,-0.0329303254007111,0,0,0,0,0.0404990535847046
ETH,0.134389176090772,0,0.370409928370843,0.055890922332382,0,0.0239302898181912,0,0,0,0,0.0427409571846862,0.0915311518532447,0,0.104399971283081,0.0464352776844626,0,0,0,0,0
XRP,0,0,0,0,0.118710453039947,0.00000000000000000173472347597681,0,0,0.00000000000000000346944695195361,0.210412390528912,0.0223254676149739,0,0,0.182940443190835,0.105169831306304,0,0,0,0,0
BCH,0.515872730027461,0,0,0,0.250863891393505,0.0351663051817582,0,0,0.101014555799752,0,0.00124483640009415,0.000000000000000000867361737988404,0,0,0.0323427153599138,0,0,0,0,-0.0182260399937924
LTC,0,0,0,0.133693854578443,0,0.169253281373014,0,0,0.14908956784976,0.0897567194103968,0.0410857408329431,0.119691535246489,0,0,0.120004194662603,0,0,0,0,0
EOS,0,0.0611213514876127,-0.000000000000000000867361737988404,0.188572396406147,0.153795239888963,0,0,0.172715374431746,0,0,0.0406248337144792,0,0.0160323590807078,0,0.13041334535098,0,0,0,0,0.0966134401818649
BNB,-0.180677811322268,-0.132706420530995,0,-0.0224667461091756,0,0,0,0,0.0882540619054403,0,0.245522970025975,0.366028902505979,0.0977984296342138,0,0.113149699299463,0,0,0,0,-0.0752589890034914
XLM,0,0,0.365704573591208,0.086626060157862,0,0,0,0,0.0951862089711485,0.130574963716518,0,0,0.141950115115741,0,0.0694330744194945,0,0,0,0,0
ADA,0,0.078134475036785,0.170155837026978,0.274696796290174,0.228986692591416,0,0,0.0873231829352225,0,0.0653262113500282,0,0,0,0.0381763861116928,0.00716295982431361,0,0,0,0,0
TRX,0,0,0.22432680599722,0,0.0542533684846638,0.0840925676260879,0.0179038104748874,0,0.0547082327485499,0,0.0653754918048593,0.0707966382721628,0.11111826518388,0.113317394958167,0.15004146731954,0,0,0,0,0.0398497597071495
BSV,0.2569145580485,-0.232285751111877,0.000000000000000000867361737988404,0,0.161510721553364,0,0,0,0,0.219203550957002,0,0,0.30787772343712,0,0.102744305771133,0,-0.179236983013549,0,0,0
XMR,0.223605707511355,0,0.0292051623880781,0,0,0,0.113510252866741,0,0,0.192911887822455,0.0434946524743649,0,0,0.265305566328568,0.118840572848788,0,0,0,0,0
DASH,0,0.211652395504446,0,0.114036778758349,0.0402707548699982,0,0.0683236239366251,0.142719978952417,0,0,-0.00000000000000000173472347597681,0.00767211144780983,0,0.176642070082141,0,0,0,0,0,0.030540482250092
MIOTA,0,0,0,0,0,0,0.18205127389921,0,0.157636207371595,0.0000000000000000138777878078145,0,0.437125244168483,0,0,0,0,0,0,0,0
XTZ,0,0,0.175931514314078,-0.228519073874521,0,0.158523196826586,-0.162567053455923,1.39421740879617,0,-0.440910882243706,0.0930437855332977,0,0,0,0,0,-0.643165730090048,0,0,0
BV010082.INDEX,0,0,0.167481447201389,0.122440037276677,-0.169010225789824,0,0.0526586529663344,-0.188035276806039,-0.0871657437460614,0.0585704943984821,0.036230375287184,0,0,0,0,0,-0.142157711372734,0,0,-0.110383592021731
CVIX.INDEX,0,0,0,-0.0859357111205583,0,0,0,0.550010243232433,-0.0152146399978441,0,0,-0.191505788064999,0,0,-0.307306852946686,0,0,0,0,0.102275505382429
DXY.INDEX,0,0.0243400473328984,0,0,-0.00452730823982816,0,0,0,0,0,0.00289301014981825,-0.0104946716852666,0,0,0.00409715972743122,0,0,0,0,0
SPX.INDEX,0,0,-0.0301552843599414,0,0,0,-0.00818001094184357,0,0,0,-0.00305614804435087,0,0,0,0,0,0,0,0,-0.0577603327216958
VIX.INDEX,0,-0.0141369407492892,0.146844629029208,0,0,-0.208401350519006,0,-0.526928859319107,0,0.859587398313175,0.0426254986009273,-0.480073601585517,0,0,0.0000597826256270324,-0.935552685511402,0.218912727412728,0,-5.72582207572175,0
