,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,ETC,XMR,NEO,ZEC,EOS,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0175470133417288,0.0383338693885048,0.123569994278346,0,0.125331620064531,-0.00000000000000000346944695195361,0,0,0.0610832876896731,0,0.0597359112120336,-0.072767512584541,0.226077516947583,0,0,0,0,0
ETH,0,0,0,0.104372972372688,0,0.0865492461760397,0,0.176775110614782,0.0683027700637013,0.0809922360817338,0.0164470054575272,0.0366871223914768,0.0318281864743518,0,0.206612784266043,0,0,0,0,0
BCH,0,0,0,0,0,1.0743612575749,0,-0.549875940368963,0,0.350879744364439,-0.0278360395422933,0.270065231095413,0.0607077090677886,-0.975061981574874,0.231171169368298,0,0,0,0,-0.349757756364325
XRP,0,0.382552589086821,0.0319531794067614,0,0,0.079551229162694,0,-0.00000000000000000346944695195361,0,0.0611665894445273,0,0,0.0290403794221034,0.0968792186599251,0.00969018754452374,0,0,0,0,0
LTC,0,0,0,0.0964873019001082,0,0,0,0.0837454961949883,0.172045721893394,0,0,0,0.0523427439313261,0.0397365611152461,0,0,0,0,0,0
XEM,0.155241675975883,0.0900777789867996,0.027552614566211,0,0,0,0.300296459115615,0,0,-0.0816616077385343,0.0480209380284562,-0.0523794334665852,0.112576913547494,0.280744863638752,0.0215931050014411,0,0,0,0,0
DASH,0.144492324387241,0,0.00233932594898248,0,0,0.137747892197421,0,0.12659779782407,0.0434899854101912,0.000000000000000000867361737988404,0,0.174937844553895,0.0666445429953435,0,0.139139134476262,0,0,0,0,0
MIOTA,0,0,-0.118076622769924,0.00767395336630989,0,0.113913379127406,0.117133723981188,0,0,0,0.14092715586795,0.433287505503973,0.0140210578609699,0.16647030690493,0,0,0,0,0,0
ETC,0,0.348517765374063,0,0,0.176424189976493,0,0,0,0,0.0633146864699184,0,0,0.00208220327196264,0,0.0262191304709216,0,0,0,0,0
XMR,0,0,0.0493829386462777,0.268014725743486,0,0,0.161078572101482,0.102451036839622,0.0107872057414764,0,0.0270408432494623,0.0129757635651824,0.0587837105653981,0.15049825995052,0,0,0,0,0,0
NEO,0,0,-0.0291707647655884,0,0,0.381035178740131,0,0.109781623215638,0,0.0176077688363937,0,0,0.0526265801657776,0.140392747656648,0,0,0,0,0,-0.0333068067336782
ZEC,0,0,0,0,0,0,0.114227831727721,0.172568750658329,0.0424733669998001,0,-0.00359407519537958,0,0.0116516813843984,0.0912392063906814,0.270075737063717,0,0,0,0,0
EOS,0,0.413836816968204,0,0,-0.168440291248007,0,0,0,0.287268206989905,0,0.0957811955326119,0.287673709153803,0,0.108214764651473,0,0,0,0,0,0.106562951680108
XLM,0,0,-0.0636968775485188,0,0.0387684463720478,0.338678929153613,-0.312724484620003,0.086012770233291,0,0.527577489701603,0,0.116522044513224,0.0892934602170696,0,0.197369182128002,0,0,0,0,0
DOGE,0,0.107088536364452,0,0.194442914941885,0,0,0.136648470767093,0.134772284987924,0,0.0181812286580215,0,0,-0.0336820648210994,0.125273515438741,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.021394253258121,0,0.0536563998038363,0,0,0,0,0.00728570179046577,-0.0124989404890356,0.0149659830858597,0,-0.00844347932309283,-0.0313698048540498,0,0,0,0,0
CVIX.INDEX,0,0,-0.00202214891439698,0.00832583787425222,-0.0193614515574407,0,0.0467421654225885,0.00746234795912071,0.105782979529189,0.0525969851185292,0,-0.0875703803174211,0.0188466685639724,-0.0671513507563306,0.0138546993714319,0,0,0,0,0.078872366558245
DXY.INDEX,0,0,0,0.00510548595023383,0.00462999153229303,0,0,0.00586308057185004,0.000380011375152132,0,0.00110719788236081,-0.00609311096053292,0.000674845207954255,-0.00381971164004497,0,0,0,0,0,0
SPX.INDEX,0,0,0.00000000000000000000042351647362715,-0.00105781823064671,0.00214352890968729,0,-0.00952611608806713,0.000948334618383538,-0.0000214955704963127,-0.00327642005253116,0.000261845883301023,0,0.00196407028873912,0,0,0,0,0,0,-0.051059200977613
VIX.INDEX,0,0.26557954447027,0,-0.0604098617036013,-0.0744907129517808,0.00000000000000000173472347597681,-0.251591257982594,0.110960421803216,0,0,-0.119085796299318,0,0.0480488032772131,-0.0031187478592226,0,0,0.0990138283224596,0,0,0
