,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,ADA,LINK,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00267853174324739,0.0660146984951819,0,0.180818300926342,0,0,0.0873149872073121,0,0,0.291090715014298,0,0,0,0.0549131575109169,0,0,0,0,0
INNBCL,0,0,20.0038970094916,0,0,-8.63738318230444,1.07536628892786,0,-24.5441095263165,1.43668551020533,0,10.8505236498943,0,0,0,0,3.14276748994701,0,13.917147955958,2.92808803337512
ETH,0,0.00121280871332252,0,0,0.101569961838842,0.0751640669232744,0,0.247325351207073,0.223051592365732,0,0.295209612503034,0,0,0.00662471601086276,0,0,0,0,0,0
XRP,0,-0.0042195543538204,0,0,0,0,0,0.132168660463058,0.36905192038028,0,0,0.00696610954889906,0.258759900490487,0,0,0,0,0,0,0.0406998239644156
BCH,0,0.000000000000000000867361737988404,0.508268844097433,0,0,0.327866862197118,0,0.0645661853453177,0,0.0133707399492087,-0.0000000000000000138777878078145,0,0,0,0,0,0,0,0,0
BSV,0.214708115891264,-0.0112518376474688,0.265768043976676,0,0.172174961968582,0,0,-0.00000000000000000693889390390723,0,0,0.155476695885962,0,0,0.00759131173797105,0.189702939066188,0,0,0,0,-0.0190007477242473
LTC,0,0.000163818033757119,0,0,0.119046419868135,0.0837215053279707,0,0.159614287002705,0.111348976020808,0,0.211637763473449,0,0.0801052521392588,0.0139549305921354,0,0,0,0,0,0
BNB,0,-0.00613883135265513,0.290648398939709,0,0.442718349244396,0.00367672139401491,0,0,0,0,0.0650119206013417,0,0.0460750491268074,0.0798909941959935,0,0,0,0,0,0
EOS,0,-0.00253856007317615,0.364241575173042,0,0.271456161327544,0.100888106665256,0,0.012261501946395,0,0,0,0.11202060143588,0,0,0.0492561235660117,0,0,0,0,0
TAGZ5,0,0,0,0,0.550124811412382,0,0,0,0,0,0.0554034045441078,0.0955247926421391,0,0,0,0,0,0,0,0.0712598226353223
XTZ,0,0,0.405018719809084,0,0,0.0485948403954031,0,0.267509058739154,0,0,0,0,0,0.306105082205426,0,0,0,0,0,0.0108019829489424
XLM,0,0,0.228372869549567,0.0242577477820285,0.243230167751414,0.0443374087217114,0,0.0310122520340287,0.030730880733167,0,0,0,0.129759683830855,0,0.0467047439296285,0,0,0,0,0
ADA,0,-0.00047440265446847,0.104770690407451,0,0,0,0,0.319869526868577,0,0,0.420737529493467,0,0,0,0,0,0,0,0,0
LINK,0,-0.000376313879436983,0.0883233463060657,0,0.0218854030058759,0.230211993039586,0,0.106644348114693,0,0,0.556262788460503,0,0,0,0,0,0,0,0,0
CRO,0,-0.00352269278121149,0,0,0,0,0,0.251546229861044,0,0,0.34161336308815,0.0571785421411218,0,0.162304798152621,0,0,0,0,0,0
BV010082.INDEX,0,-0.00504759450743564,0,-0.452297728768882,-0.347308017872295,-0.223368689857681,0,-0.330822734738599,0,0.13332028762421,0,0.359263672314035,0,0,0.888560588316456,0,-0.0589628265049089,0,0.270280294006584,0
CVIX.INDEX,0,-0.00430017162087163,0,-0.290717400244815,0,0,0,-0.544100832674169,0,-0.193129645508558,0.289946110022985,0,0,0,0.447775008888253,0.358623248894639,0,0,-0.834694363176108,0.369504689946276
DXY.INDEX,0,-0.000605924883340659,0,-0.0639157924578612,0,-0.0131856918706133,0,0.0213937928611641,0,0.00392199146145849,0.0176716039701152,0.030707359323067,0,0,0,0.0394654857571101,0,0,-0.0114866835111659,-0.0193746562078134
SPX.INDEX,0,0.00678805984456424,0,0,0,-0.129707474277877,0,0,0,0,0,0,0,0.108512667430955,0,0.256904578769875,0,0,0,-0.250905427089669
VIX.INDEX,0,0.0343428787875343,0,0,0.494239760732291,0,0.483889266789649,-1.20431429173984,0,0.13340365171072,-0.289619422930245,0.486082405085255,0,0,0,0.395900976433669,0.314400985537004,-1.20951311611599,-1.62567941104966,0
