,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0785524312319315,0.49353135935126,0.0313531365826583,0,0.0537554367486021,0,0.0949224156697343,0.0215510736955183,0.0291500718104746,0,-0.257921996930242,0,0,-0.00899254600055228
XRP,0,0,0,-0.0168950617049161,0,0.0976374008379962,0.831140838858041,-0.159698305302351,0.0768297032989141,0,0,0,0,0,0
LTC,0.717851160535527,0.0111777892033317,0,0.0190692395829027,0.263011081140957,0,0,-0.1459802252364,0,0,0,0,0,0,-0.0126087162317257
ETH,0,0,0,0,0,0.641179757478696,0,-0.00542075922917403,0,0.255114957306586,0,0,0,0,0.242640027704006
DOGE,0.290562283203874,0,0.168174122722745,0,0,0.164059415879515,0,0,0.072693633323042,0.0177464852431797,0,0,0,0,0
DASH,0,0.0317074095926909,0.361020275839055,0.0188835922132543,0.267898438927521,0,-0.292268708197548,0,0.040279066908519,0,0,0,0,0,0.0521398963073399
XLM,-0.390782376948872,0,0.869511690462756,-0.205981228918085,-0.584186084139478,0.171921400467019,0,-0.240430915627367,0.0851305071377114,0.145985363180034,-0.559524513386576,-0.410856007273365,-0.982025646979075,0,-0.067843563798952
XMR,0.287544666448847,0.2137219468436,0,0,0.297909898065233,0.0955266245847574,0.20340086446645,0,-0.0701704412735357,-0.0428803728984284,-0.382882047687627,-0.519514033150895,0,0,-0.0848278680978024
XEM,0,0.333163516466453,1.05131858912786,-0.24360170028266,0,0,0.251900364033586,0.402105122906187,0,0.202567943046724,0,0,0,0,0.174247851984462
DGB,0,0,-0.387544556204742,0.215339119076811,0.943927557588529,-0.708922539538472,0.373880621834499,0.384731439841398,0.176357521358044,0,0,0,0,0,0
BV010082.INDEX,0.00583189677866252,0,0.0316237232780797,0,0,0.0189344497768554,0,0.0209377996681932,0.0202870433177673,-0.00600447436938539,0,0,0,0,-0.0311156966613606
CVIX.INDEX,0,-0.121468384179705,0.202813858796127,0.0327875583088885,-0.264002779823989,0.0703872880549331,-0.119155767058857,-0.117481824862177,-0.0283031531436278,0.0430154328255619,0,0,0,0,0.0293306096003291
DXY.INDEX,-0.00000000000000000010842021724855,0.00433049922884725,-0.0161958072276756,0.00979211854167297,0,0,-0.0510100143414773,0.0198229167165952,0.00838773740516272,0.00509903788578768,0,0.189179924346179,0,0,-0.0422790762451868
SPX.INDEX,0.00615287964686708,0,-0.00000000000000000010842021724855,0.00717723686065789,-0.0190182900753119,-0.0116307976120141,-0.00600077904874423,0.00466165276228745,0,0.0142490872967371,0,0,0,0,-0.0831062387928913
VIX.INDEX,0,0,0,0.153178791986897,-0.123170826406867,0.0270840106939021,0,-0.181403676730341,-0.0117973960155342,0.0994472991058505,0,0,0,-6.13369917740405,0
