,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,XLM,MIOTA,DASH,EOS,TRX,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0351744524465968,0,0,0,0,0.0223606479327889,0.0772337879021438,0,0,0.0116251147144789,0,0.278507442004913,0,0,0,0,0,0
ETH,0,0,0,0.01652579378018,0,0.156778386664822,0.0282221075330453,0.130404983320195,0,0.0590052847726561,0.0208006750998645,0.0130733126178207,0.0293345356288704,0,0.137255526716648,0,0,0,0,0
XRP,0,0,0,0,0,0,0.193956634789228,0,0.267350087664751,0,0.103919453204424,0.335678710730677,0.0267227214040211,0,0.087536263524523,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.094293836407653,0.0761318459318144,0,0.278071936862396,0,0.0235168060575959,0.0713186163725502,0.199554864699115,0,0,0,0,0
ADA,0,0.168932276851085,0.147475267560402,0,0,0.0308179053609423,0.130215417725887,0.0906362089145856,0.153671298416957,0,0,0,0.0539911939721782,0,0.0205920112943112,0,0,0,0,0
LTC,0.159691206817432,0.223735581462921,0,0,0,0,0,0,-0.0204796203009836,0.173885392626738,0,0.00446743583575257,0.0512216041519458,0,0.0190116907700922,0,0,0,0,0
XEM,0,0,0.171600695341071,0.080841150004763,0.0991833104883399,0,0,0,0.100066364835969,0.0960106388998297,0,0.0232815371915834,0,0,0.168510689576023,0,0,0,0,0
NEO,0,0.691365204844638,0,0,0.0137985388563047,0.0124895180602278,0.0254007834205001,0,0.161913131710189,-0.106312624229291,0.0809648943376076,0,0.0451481434431913,0.00000000000000000173472347597681,-0.0860210683729251,0,0,0,0,0
XLM,0.0992354224133289,0.0806058224683454,0.152053685344078,0,0.335170812429379,0.0980300052370583,0.0208596599372007,0.0267162321631986,0,0.0348422149213831,0,0.000884300527446119,-0.160527275302638,0.316230539356449,0,0,0,0,0,0
MIOTA,0.350965891686113,0,-0.0683714252282572,0,-0.0873727988499447,0.000260678276513583,0,0.0398441662449325,0.285751286641102,0,0,0.0866690730844981,-0.0433535297990441,0.298962279195954,0,0,0,0,0,0
DASH,0,0,0.0392917269087892,0.0516532133624884,0,0.0811971740223112,0.00948786561988694,0,0,0.104033260536956,0,0.0547544367152248,0,0.0475661275683992,0.171302474672481,0,0,0,0,0
EOS,0,0,0.0310747525543417,0.128372172118311,0,0.289316784396161,0.0658898157067316,0,0.145154518290548,0,0,0,0.0914553425785429,0,0.22471809374913,0,0,0,0,0
TRX,0.580875731581172,0,0.243712750014858,0.124104690710947,0.0872925763253758,0,0,-0.261855277952618,-0.367260730366744,0.293161818093842,0.272807100525644,0.0000711523433239783,0,0.131943922565443,0,0,0,0,0,0
XMR,0.157081753463505,0,0,0.0322828034242059,0,0.083267459309667,0,0.271816437977463,0.0986654061788771,0.0694122652865221,0,0,0.0737675954148639,0,0.195492719250793,0,0,0,0,0
BTG,0,0.118525040951537,0.0610128207333881,0.391713938699172,0,0,0.0588561767652621,0,0.032152238696184,0.0316820115823973,0,0.20329467134029,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.0446227092088288,0,-0.0225756360843898,-0.0335976702952394,-0.00495612332145268,0.0104300352232028,0.00549331064335847,0,0.000000000000000000867361737988404,0.00615957265977595,0.00962895068980771,0.0094797966110552,0.000427428670920719,0.0334788212646342,0,0,0,0,0,0
CVIX.INDEX,0,0.00886752878651276,0.0331885539517856,-0.0160201444519399,0.00305044482706315,-0.0643103172693425,0.0281991353693829,-0.0571283937211819,0,0,0,0,-0.0260000254169766,0,-0.00979165619522388,0,0,0,0,-0.024478285344132
DXY.INDEX,0.00319851648075381,0,0,0,0,0,0,0,-0.00939771739273414,0.0109382877250217,-0.00252524553792657,0,0.00197222904743679,0,-0.0136162764860809,0,0,0,0,-0.0227998298075331
SPX.INDEX,0,0.00838840220850884,0.000708398269425781,0.00020892418025645,0.00553434823920346,0.00196664095515181,0,0.00312412228830027,-0.00855588111612963,0,0.0016182964010256,0.00115502862796429,0,0,-0.00000000000000000010842021724855,0,0,0,0,-0.0373474020422442
VIX.INDEX,0.140014250090007,0,0.017895794031223,-0.0784444495961764,0.0411994849529626,-0.0411352480643012,-0.0435651479537619,-0.169276158196479,-0.112111692845529,0.176673454678795,0,0.069343952528766,-0.0992416819021695,0,0.0225649275514563,0,0,0,0,0
