,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.159241065376449,0.0317325671892294,0,0.212690012776375,0,0,0.192096252968254,0,0,0.0335119860750093,0,0,0,0,0,0
INNBCL,5.15120999691333,0,27.1177840186228,0,0,-5.06919996070672,11.3762703657709,-4.18027387849629,-31.8540724962479,2.02771537269768,-4.99970083261744,13.4017584868615,0,0,-11.1375916848865,-6.98646752989979,0,0,10.1925807949953,1.24957344068065
ETH,0,0,0,0,0.316224822248893,0.0712671435646303,0,0.0759457163117698,0,0,0.297761444000717,0,0,0,0.190388578318796,0,0,0,0,0
XRP,0,-0.00547924049227007,0.146414296820895,0,0,0,0.0645809799648799,0.0327021878422516,0.221122704842884,0,0,0.0274021311885873,0.246643814034285,0,0.0364043628050763,0,0,0,0,0.0515791837559325
BCH,0,0,0.319928806242609,0,0,0.277552664033338,0,0.0323232713733706,0.0348389642334567,0.0110781686944399,0.0780507570053678,0,0.0973415059650204,0,0.149078964557144,0,0,0,0,0
BSV,0.274582746514029,-0.00996879733199659,0.224649800193841,0,0.273418213642753,0,0,0,0,0,0,0,0,0.0178394057283501,0.249042018319293,0,0.0701685651645406,0,0,-0.0493364180066688
LTC,0,0,0.0354317076891995,0.219210935037528,0,0.0986560619367692,0,0.0618508662608635,0.232184271907865,0,0.0955247811449646,0,0.15541409426046,0,0,0,0.0129016056311848,0,0,0
BNB,0,-0.00655369596169592,0.350320368928111,0,0.363250312685067,0.0560441854327001,0,0,0,0,0.0901915918712424,0,0,0.0260234900955459,0,0,0,0,0,0
EOS,0,-0.00284701529843716,0.323553460426484,0,0.313396681240724,0.0894889532128302,0,0,0,0.0161555505546038,0.0221235689940433,0.116778223563798,0.0119558035973602,0,0.0213734886206496,0,0,0,0,0
TAGZ5,0,-0.00245653232002968,0,0,0.510047273641015,0,0,0,0,0,0.134363909650666,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.407779994513371,0,0,0.0283603135100173,0,0.255651706157289,0,0,0,0,0,0.324951578394346,0,0,0,0,0,0
XLM,0,-0.00048354670377049,0.259812478808176,0,0.225485371026417,0,0,0.0713238909206256,0.0962605022882612,0,0.0330328309792058,0,0.0402243919213152,0,0,0,0,0,0,0
ADA,0,-0.00240272845509783,0.207757572325383,0,0,0,0.292181706478805,0.014377481669495,0.187158009557743,0,0.215142092232146,0,0,0.0218058505480324,0.00105489189779716,0,0,0,0,0
LINK,0,-0.000683370607793638,0,0,0,0.192716960693452,0,0.200291118575665,0,0,0.564290616320448,0,0.0529027269490429,0,0,0,0,0,0,0.000460461688658653
XMR,0,0.0051448008155008,0.0971468830277351,0,0,0.0938209178055922,0,0.291161812883789,0.0449009370254873,0,0,0,0.323230595241708,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0145941465150086,0.230762931475237,0,0,0.530254759981134,0,-1.11863317293996,-0.439583641291509,0.182180126345847,-0.911168118199602,0.692313854051964,0.613649333737913,0.395566896303447,0,0,0.0057112911666591,0,0,-0.034198521572455
CVIX.INDEX,0,-0.00474872767967495,0,-0.379971659653074,0,0.0385624363467934,0,-0.237399014060165,0,-0.172688712685059,0.416123191999461,0,0,0,0,0.344717013565337,0,0,-0.545857916323125,0.362613186634518
DXY.INDEX,0.0485784755613861,0.0000190001584732339,0,-0.0825587922306581,0,0,0,0,0,0.00291748858702333,0.04978697966419,0.0255258824107028,0,-0.0374112632081073,0,0,-0.00993718472391008,0,-0.00592120490321013,-0.0136427437942352
SPX.INDEX,0,0.00767228580706252,0,0,0,-0.110441174875912,0,0,0,0,0,0,0,0.104449339237544,-0.0192223587872508,0.256566281885401,0,0,0,-0.254060835526263
VIX.INDEX,0,0.0320043743453583,0.232276175459539,0,0,-0.0467317465695232,0,-0.763339941353782,0,0.0878513196855009,0,0.504339915181141,0,0,0,0.391617107445228,0.223001106266495,0,-2.17056546756494,0
