,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.129779518344862,0,0,0.0193300151520062,0,0.0128778452781447,0.038163600866274,0.0959372593979485,0.136537622170581,0,0,0,0,0.101725358993801,0,0,0,0,0
ETH,0,0,0.222568585293599,0.0841984010455435,0,0,0,0.108181387698819,0.0728958795147701,0.147540180672516,0.0551851523254509,0,0.0106470052725315,0.0815238214057177,0.0823205876032863,0,0,0,0,0
XRP,0,0.0551174014509555,0,0.0198480806246382,0,0,0.198667271633318,0,0.0419224247429268,0.161987124590877,0.0916895401302293,0,0.0674019552390712,0,0.0379502966878253,0,0,0,0,0
BCH,0,0.325638724473219,0.0535120778737763,0,0,0,0.0530115470718354,0.156085157117097,0,0.172967032370101,0,0,0,0,0.0680294930087626,0,0,0,0,0
EOS,0,0,0,0.0678284020528255,0,0,0,0.363815061340812,0.210925737084599,-0.152049460395148,0,0,0.445383101843884,0.302866959820605,0.0344105986753014,0,0,0,0,0
LTC,0,0.194460222395039,0.204789795320087,0.107491657926115,0,0,0.0173187947956666,0,0,0.0198228321961928,0.120530504516389,0,0,0.0643072290447312,0.066520091731058,0,0,0,0,0
XLM,0,0.0835818208529441,0,0,0.125389421352484,0,0,0.318673233589007,0,0.0646134897155319,0.152224291060754,0,0,0,0,0,0,0,0,0
ADA,0,0.0310953895959087,0,0,0.105439249715626,0,0.289976093864477,0,0.119609760746416,0.194110918487215,0.0129171515223303,0,0,0.0070494424978414,0.0685847691314628,0,0,0,0,0
TRX,0,-0.00000000000000000693889390390723,0,0.164873941875907,0.287131202564935,0,0.20825973171783,0,0,-0.0315728494284829,0.156806843449951,0,0,0,0.0868946721287494,0,0,0,0,0.0100950019250401
MIOTA,0,-0.00000000000000000346944695195361,0,0.0574862488849938,0,0,0.299633680680594,0.385480441549693,0,0,0.162085768242038,0,0,0,0.0245080161440332,0,0,0,0,0
NEO,0,0,0,0.0713552537509726,0.000000000000000000867361737988404,0,0.186639700984904,0.143632925525944,0,0.138305366567431,0,0.226877978384449,0,0.0461717478583435,0.00219503689722457,0,0,0,0,0
DASH,0,0.196075790383227,0.128214293252921,0.0736034638837842,0,0,0,0,0,0.0679542677448361,0.178160225158352,0,0.00676624679111775,0.0251053614045225,0,0,0,0,0,-0.0318583197680872
XMR,0,0,0.167593041697343,0.192571290748253,0,0,0.0200551686042293,0.179078294432875,0.0398806744872481,0.0643253727188709,0,0.00458269695492405,0,0.0665445548115767,0,0,0,0,0,0
BNB,0,0.31278193273957,0,0,0,0,0.0259115535257269,0.264854560487219,0,0,0,0,0,0,0.0771713248725232,0,0,0,0,-0.115187935902959
ETC,0,0,0.254718395019468,0.207166665412604,0,0.157853496694686,-0.00000000000000000346944695195361,0,0.19311781198923,0.118978738754569,0,0,0,0.119939727774662,0,0,0,0,0,-0.134601563545685
BV010082.INDEX,0,0,0,0,-0.0308731752975163,0.090825293399771,-0.0946785410427887,0,0.094444103653031,0,0,0,0.141803005290543,-0.0414456546603328,-0.0721417297645043,0,0,0,0,-0.281305231256128
CVIX.INDEX,0,0,0.0415360245741149,0.108822869738652,0.0302118086372188,0.0941153041204824,-0.0543807673336659,-0.103868927376445,0.0409564433061431,0.0736879012217053,0.0593955729480448,-0.232631602673559,-0.0768877221468222,0,0.0493330488393339,0.242398836136995,0,0,0,0.140986610742988
DXY.INDEX,0,0,0,0,0.0065136731125127,0,-0.00283286426050086,0,0.00924383199756229,-0.0124141550191294,0,0,0,-0.00371511639463261,0.0166650730331726,-0.0706575900537531,0.0213616301788887,0,0,0.00209990502953522
SPX.INDEX,0,0,0,0,-0.00625210409681962,0,0.00438143269261455,0,0,-0.0157081881503748,0,0,0.0105163159217127,0.0000000000000000000542101086242752,0.0194791001364797,0,0,0,0,-0.0800143218277826
VIX.INDEX,0,0,0,-0.137592526309262,-0.314131467621077,0.396543876904679,-0.289045928973833,0.140449660085732,0.0102355075097849,0,0.565622765350974,0,0,-0.227911992030216,0,-0.960476099924755,0,0,-0.864906049033304,0
