,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,LEO,TRX,ADA,XMR,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.227894080690727,0,0.171698922323507,-0.000000000000000000867361737988404,0.0734832470767773,0,0.00109625662107454,0,0,0.217855265520958,0,0,0,0,0,0
ETH,0,0,0,0.0811587773479049,0.124965424182388,0.224084791654251,0.32007611564971,0,-0.0028383112676147,0.0700858930060108,0,0,0,0.0399707379721809,0,0,0,0,0,0
XRP,0,0,0,0.333249352094762,0,0,0.0389343588349164,0,0,0.147712588823088,-0.0905265270620778,0,0.277955434695476,0,-0.137292029380123,0,0,0,0,0.0683610709468775
BCH,0,0.0243507101603463,0.167192042328887,0,0,0,0.127222445410768,0.100685239958677,0,0,0,0.259267734014303,0,0.113162489453932,0.0940677805423835,0,0,0,0,0
LTC,0.18783768248137,0.0307907067842185,0.0860091702194728,0.0726399401241025,0,0.43116079665399,0,0,-0.0181554213955679,0,0,0,0.037957366056166,0,0.153827573274833,0.0146222866686808,0,0,0,0
EOS,0.115611199445144,0.279821499478916,0,0,0.397314647123953,0,0,0.0799577489677811,0,0,0,0.141646362137058,0.0442075118362189,0,-0.000000000000000000216840434497101,0,0,0,0,0
BNB,0.0503119837356149,0,0,0.223642066616276,0.26930619272244,0.0730949869693482,0,0,0.0828172550464072,0,0,0.0362988932026439,0,0.0502600667491278,0.0636730158275613,0,0,0,0,0
BSV,0,0,0,0.391469123981186,0,0.0163689342307961,0,0,0,0.251493682086956,0,0.0282926026404251,0.237152740720572,0,0.011535123261254,0,0.501267678406689,0,0,-0.084600134477227
XTZ,0.429430780172607,0,0.271687689537378,0,0,0,0,0,0,0,0.278407894105144,0,0.284948642385501,0,-0.107626093293529,0.116967516287211,0.00780680196403385,0,0,-0.0586662826233624
XLM,0,0,0.213440986783177,0,0,0.188025021915942,0,0.0781332288979358,-0.0378275153845195,0,0,0,0,0.0351432626454825,0.215385880437413,0,0.158642040474878,0,0,0
LEO,0.356249020621427,0,0,0.0267414516713268,0,0,0,-0.0278084572208133,0.101816638673645,0,0,-0.144246199293309,0,0,-0.0819824160162669,-0.120046434890359,0,0,0,0.0717967689704399
TRX,-0.173971687606128,0,0,0.321107499865246,0,0,0,0,-0.0274980490433594,0.102289546320216,0,0,0.496553126970858,0.267689854337237,0.0404749763205566,0,-0.140323266236537,0,0,0
ADA,0,0,0,0.0237620526742271,0.112059779113439,0.305015245528923,0.0502797460039823,0.0301522383043739,0.000849701777597893,0,0,0,0,0,0.137020625473052,0,0,0,0,0
XMR,0,0,0.0738072795446491,0.185304434950731,0,0.267413829716677,0.0943058854619697,0,0.0796790931409625,0,-0.23070850668756,0.127841695387211,-0.0352555530678385,0,0,0,0,0,0,0
ATOM,0,0,0.281698028248107,0.166946710138296,0,0.176230143724758,0,0,0,0,0,0,0.202451483376424,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.268059986787227,0.268792574236913,0,-0.147135304361724,-0.139311102970712,0.116392179277222,-0.231734175916791,-0.363696737576927,0.107981435093061,0,-0.139998808574647,-0.247908831472713,0,0,0,0.291193286171218,-0.119009941928916
CVIX.INDEX,0,0,0,0.132664828889967,0,0,0,0,0.0492946415953542,0.0861844353164171,0.335351329498845,-0.143130883953045,0,0,-0.0228715912482203,-0.33791286656381,0,0,0,-0.0124330713656076
DXY.INDEX,0,0,0,0.0233157235969674,0,0,0,0.00508928517590994,-0.0113085529983934,0,-0.0485081475005636,-0.0130331215491008,0,-0.00580570249750132,-0.00716679430733303,0.0342269942459763,0.00869081467574108,0,0,-0.00417420227161249
SPX.INDEX,0,0.00103570802875775,0,0,0,0,0,0,0,0.0177344070647345,0,0,0,0.0155115475381612,-0.0131395064041074,0.0603092689201303,0,0,0,-0.0417780042183922
VIX.INDEX,-0.205884939722075,0,-0.16821503110187,-0.000000000000000000433680868994202,0,0,0,0,0.123151498697845,0.500830503043195,0,0,0.0085876852276083,0,-0.461372936398989,0,0,0,-4.71797500369332,0
