,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.085284123867677,0,0.377866170809205,0.000000000000000000216840434497101,-0.00000000000000000173472347597681,0.0398754292212842,0.0791448474771177,0.131870584741964,0.0346762783811542,0,0,0,0,0,-0.104949997561182
ETH,0,0,0,0,-0.217358796649364,0.30062132891617,0.0906795449701394,0.0747579554891404,0,0,0.232557240529789,0,-0.610929448869069,0,0,-0.0529760307803817
XRP,0,0.054400669751473,0,0,0.00394479331153424,0,0.043430354341807,0.0276538496820147,0,0,0.0700748127151714,-0.141901639856882,0.130639567852318,0,0,-0.106090444360547
LTC,0.622769924446529,0.0533218815814394,0,0,0,0,0.00708508523396655,0.00228845355944793,0,0,0.000000000000000000216840434497101,0,0,0,0,0
ETC,0,-0.917677787307523,0,0,0,0.772293050918288,0.0616669225564177,-0.124821118792226,-0.677165163841767,0.53633700121302,0.216950789335223,0.925207388740303,0.569308565342446,0,0,-0.745546405673633
DASH,0,0.145964874910123,0,0.054723773752143,0.0439741304655513,0,0,0.00918079339556223,0,0.175271212360296,-0.0676894747957556,0,0,0,0,-0.317593930737382
XMR,0.151617157497064,0,-0.0486082906486918,0.442393696618762,-0.0298606903896296,0.0951051074944355,0,0,0,0.0465010355459933,0.146514384959765,0,0,0,0,-0.256591230884177
XEM,1.22820387633472,0.0593419689428357,0,0,0.066723799721473,0.430704387688493,0,0,0,0.603334120039526,0.14662308937578,0,0,0,0,0.245447833474459
DOGE,0.410479657196698,0,0.277451422403392,0.277918500467873,0,0,0.00443676804016583,-0.0224754930899259,0,0.104099754512849,-0.0578701135175536,0,0,0,0,-0.0392250888479597
XLM,0.293487918129049,-0.00994733880998799,0,0,-0.0561779735246134,0.216830394644882,-0.00000000000000000173472347597681,0,-0.0155187331062126,0,0,0,-0.176542855810001,0,0,0.429658940154691
DGB,0.463598867068815,0.805987757713398,0,0,0.135101118670095,0.0000000000000000000542101086242752,-0.0223347751937134,-0.234412960658628,-0.471752415927327,0.719133266278869,0,0.667290456721123,0.862994618677126,0,0,0
BV010082.INDEX,0,-0.04651393184649,-0.310147649506589,0,-0.021662015967492,-0.0233381333890474,0.0289788135303644,0.0283679742180972,0,0.00495390415812878,-0.000000000000000000867361737988404,0,0,0,0,0.0536385081722942
CVIX.INDEX,0,-0.141041571587648,0.000000000000000000867361737988404,0,-0.0174326130877758,0,-0.0323637931180487,0.0086300609412377,0.123854171796007,0,0.0786260994113023,0,0,0,0,0.267331327511268
DXY.INDEX,-0.0126862847053427,0,0.0343531863893853,0.0214881851774085,0.00149924630830969,0.0370919448320764,0.00252836335472545,-0.0138940784089542,0,0,-0.0236693484498088,0.115827273064871,0.0130088712589612,0,0,0.000979163610153262
SPX.INDEX,0,0,-0.00531045538549265,0,0,0,-0.00657625152017221,-0.00636024748643498,0,0.00618754747419375,0,0,-0.0607924514768523,0,0,-0.0314854179982502
VIX.INDEX,0,0.231176051085214,-0.490709799063034,0,-0.000000000000000000867361737988404,0,0.0598532638664965,-0.119339307629319,-0.459467356548309,0.455541719176212,0,0.037732070678792,0.863937555796115,0,-0.709899671265995,0
