,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,ATOM,BSV,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.108014249236522,0.00711829855845546,0.0344939708646939,0,0,0.00000000000000000173472347597681,0,0.210488104538816,0,0,0.0855242090544107,0.00272304003516285,0,0,0,0,0
ETH,0,0,0.122107745475832,0,0,0.159189237719304,0.0256797778891246,0.0276711856719284,0.0685253971551134,0.0929663827262087,0.0837607815775432,0,0.036732631221963,0.0408447882987681,0.0235941346859409,0,0,0,0,0
XRP,0,0.144054474512475,0,0,0,0.0887261363336931,0.0534448526519663,0.0979365297215077,0.0402200631702834,0.135367745221373,0.0692592208838131,0,-0.000000000000000000867361737988404,0,0.0465601694423321,0,0,0,0,0
BCH,0,0,0,0,0.293119805036615,0.13802636308513,0,0.0245099628557989,0.310758485329332,0,0,0,0.0212202347184663,0,0.0171387910903208,0,-0.0678479799985592,0,0,0
LTC,0,0,0,0.250945265148611,0,0.262788763388561,0.0706033553137699,0,0.0175955194241714,0.00000000000000000173472347597681,0,0,-0.0288038887789351,0.226922711320797,0.0369176984639249,0,0,0,0,0
EOS,0,0,0,0.152181758236358,0.37825481956285,0,0,0.0660899013953605,0.0457941408220739,0.148650211801132,0.186685415327095,0,0.0335297597824868,0,0.114374308650953,0,0,0,0,0
BNB,0,0,0,-0.169954724447556,0,0.144475509321074,0,0,-0.00000000000000000693889390390723,0,0.178423386734365,0.0834371057644982,0.0754182925899718,0.522134827903049,0.0468760105035155,0.263882471339906,0,0,0,-0.0629648988312794
XLM,0,0,0.347581011904264,0.097493247823759,0,0.0559765837907347,0,0,0.0195934047641697,0.0193508668676647,0.0727319733723479,0.208333245242842,0.0312755135149323,0,0,0,0,0,0,0
ADA,0,0,0,0.286775556074133,0.190391957906121,0,0.0171787649947082,0.0799284321253976,0,0.109003087863914,0,0,-0.0131486385066434,0.0673001037448127,0,0,0,0,0,0
TRX,0,0.249693861866918,0,-0.0446068835758484,0,0.22849464551353,-0.0568861617379877,0.170187058224862,0,0,0.0843971117874268,0.200142315744442,0.0448786631013782,0.0705352132894158,0.100856350339164,0,0,0,0,0.0349181930652933
XMR,0,0.47114427674076,0,0,0,0,0.0838387961053691,0.220880794538745,0,0,0,0,0.00563000019786213,0.00000000000000000346944695195361,0,0,0,0,0,0
DASH,0,0.274300029247769,0,0,0.0796012230767556,0,0.0678341188393653,0.136780086398411,0,0,0,0,0,0,0,0,0,0,0,-0.00990643850843211
ATOM,-1.60187989093706,0,-0.379775211093921,0.487762633347353,-0.370372549976741,-0.113979603210423,0.709748747212606,0.75060004944212,0,0,1.6813787995612,0,0,-0.240946768321204,0,0,0,0,0,-0.0951524622756502
BSV,0.184455920620082,0,0,-0.0965862040575614,0.460981391512802,0,0,0,0.218214966289542,0.0161401577244457,0,0.134991015584,0.0130744960061337,0,-0.00000000000000000173472347597681,0,0,0,0,0
XTZ,0,0.0578240452068888,0.749206108794864,-0.338289396850443,0,0.694990770617329,-0.0874311437598067,0.985709091364222,0,-0.233456847960889,-0.695831456663018,0,-0.0545990644662629,-0.0436800816214247,0,0,-0.818465861994355,0,0,0
BV010082.INDEX,0.144731360173956,0,0.329165588502662,-0.0747724819388429,0.247079487391806,0,-0.0220224963959798,-0.191330564817155,-0.00944628713333262,0,0,-0.108312977640941,0.0506774757644677,-0.182226243743024,-0.03351997451278,0,0,0,0,-0.123443424904032
CVIX.INDEX,0,0,0,-0.0621863861319542,0,0,0,0.483925035356468,0,-0.153399735657559,-0.194159597987172,0.210515863236347,0,0,-0.305812828130909,0,0,0,0,0.100219337968617
DXY.INDEX,0,0.0253320782214105,0.0180863229258418,0,0,0,0.0117149149144762,0,-0.0144898715696095,0,0,0,0.00717419060390568,-0.0208843950761402,-0.000969071475112425,0.0293760704577164,-0.00926610754537224,0,0,0.00531951762805719
SPX.INDEX,0,0,0,0,-0.0083159013812348,0,0.002939848120668,0,-0.00325248909903898,0,0.0306434454942152,-0.0128224398289761,-0.00393854836687634,0,0.00590796468482038,0.0628996497912491,0.0108547208611315,0,0,-0.0782888447941706
VIX.INDEX,0,0,0,0.202988618710222,0,-0.416981255711506,0,0,-0.0994995536137563,0.407466690074232,0.0907770225667374,-0.210206802453428,-0.067145316931004,0.201486004713451,-0.0184690375119616,-0.859805846271874,0.359310241119589,0,-3.83264007505945,0
