,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.186638188960803,0.0187115179671489,0.0357516062444761,0,0.0948278986187364,0.136318500682487,0.0418565017197937,0,0.0192227620828618,0,0.0698842113541324,0,0,0,0,0,0
ETH,0,0,0.134258607547944,0.255428058961391,0.139349977312575,0,0.0245079625710275,0.00000000000000000010842021724855,0,0,0.142969218803743,0.0964753421174596,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0568488732305248,0.140240739080635,0.0341972747740097,0,0.0999404405561266,0.0337353616898928,0.16741131843097,0,0.0510856544870978,0,0,0.0841438451229174,0,0,0,0,0
BCH,0,0.275622222637543,0.0386364493545405,0,0.212425773653242,0.0525608741464206,0,0.198672320163109,0.0413155832752838,0.0122171774818718,0,0,0.0470487443298571,0.0817715759290152,0,0,0,0,0,0
LTC,0,0.277405889262946,0,0.317724740519223,0,0,0.0200982176545846,0.043178211000347,0.0946211175905855,0,0,0.0194125156300264,0,0,0.133381598319588,0,0,0,0,0
EOS,0.166864774442226,0,0,0,0.160487731934325,0,0,-0.040369966010662,0,0,0.139926260753205,0,0,0,0.260093143480607,0,0,0,0,-0.0764965521870341
ADA,0,0.386028091082642,0,0,0,0.0136671622040895,0,0.0895103877404697,0.0754393516962976,0.244624285179068,0.120910645037303,0.136672087129703,0,0,0.00000000000000000173472347597681,0,0,0,0,-0.047340845084327
XLM,0,0,0,0.133980552413631,0,0,0.159734013456437,0,0.252033605076218,0.00000000000000000346944695195361,0.0187938678627218,0.213945476924868,0.177099312400907,0.0320300653170836,0,0,0,0,0,-0.023651256826306
MIOTA,0.0468856776213344,0,0.398934451181534,0,0,0,0.0188163691984259,0,0,0.267558998801275,0.0213732279877871,0.0390991502150686,0.192235080998147,0.0580250705335762,0,0,0,0,0,0
NEO,0,0,0,0,0.199612496647781,0,0.0333222979102267,0.18059246469883,0.0801065120623183,0,0.179024370248529,0.0211579163526552,0,0.0440335470846152,0.16204986020811,0,0,0,0,0
XMR,0.529221097995409,0,0,0,0.209424616797773,0,0,0.156642653676973,0.0946126253774406,0.0584112169063839,0,-0.0644840646954183,0,0,0,0,0,0,0,0.0763950942062267
XEM,0,0.159200023440871,0,0,0,-0.0687659874121836,0.288408188127842,0,0,0.432841345757922,0,0,0,0.135045110305382,0,0,0,0,0,0
DASH,0.333773281987563,0.107518414375954,0,0.0072049395437513,0,0,0.0837597155999548,0,0.0942774548239363,0.100898032641137,0,0.045749530636992,0,0.0543144808212162,0,0,0,0,0,0.0658068619479445
TRX,0,0,0,0.0591281724681251,0,0,0,0,0.502262754448702,0,0,0.105851631472429,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.23186303650457,0,0.0759874270705658,0.28122921423291,0,0,0.127857358269977,0,0.0912933025475254,0,0,0,0,0,-0.0378903839463753
BV010082.INDEX,0,0,0,0,0,0.0267899179091757,0,0.0146783151616758,0,0,0,0,0.102803299455873,-0.0408074693202929,-0.0147748871690303,0,0,0,0,-0.0654919723072338
CVIX.INDEX,-0.000000000000000000867361737988404,0,0,-0.0908248176930904,0,-0.101610540085275,0.110336851352465,0.0145650034288536,-0.0159289044351357,0,-0.0622405494275625,-0.223093362791455,0.229852287065968,0.0481662863920134,-0.00428945312955473,0,0,0,0,0
DXY.INDEX,0,0,0.0120167176130166,-0.0112306761494958,0,-0.00287671227003947,0.00845641965689649,-0.00223839498228848,0,0,-0.0223244521259678,0.0000000000000000000135525271560688,0.014705891181567,-0.0112055806679112,0.00984087667669176,0,0,0,0,0.0052138886066486
SPX.INDEX,-0.0224188002899771,0,0,0,0.0364037828172558,0.0494756288862292,-0.0703690259260817,0.0168365792516587,0,0,0,-0.00713305901291138,0,-0.0226798238384278,0.000939075797058722,0,0,0,0,-0.0832738683206075
VIX.INDEX,0,0,0,0,0,0,0,0,-0.201409409482517,0,-0.0461046512593119,0,0.0635655268662672,0.163850071408038,0,-0.226938014473988,0,0,-4.01911363679851,0
