,BTC,ETH,INNBCL,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0606332257845849,0.0000690890741801731,0,0,0.0887372640477257,0,0.0998821394985015,0.0416962547379853,0.12170730645378,0,0,0.037117733269225,0,0.129735404695964,0,0,0,0,0
ETH,0,0,0.000701482519659759,0,0.423564977844984,0.071077163492969,0.0153069721116826,0,0.0729041149872324,0.119504975622571,0,0,0.108048523401039,0,0.129846416705825,0,0,0,0,0
INNBCL,0,20.0504197372399,0,0,0,-1.7840666628208,0,-1.2767501052259,0,0,-3.65413524666685,0,-19.6937642226408,0,0,0,-1.66699122869358,0,0,-1.84952846935233
XRP,0,0.168656233905271,0.000667946801005392,0,0.116426136894083,0,0.0954980667037488,0.168231681643341,0.00394086274093647,0.145106464162557,0,0,0,0,0,0,0,0,0,0
BCH,0,0.363091757842914,-0.00149770398026066,0,0,0.202980918460368,0.0248528871292351,0.168695468213141,0.0272859737285031,0,0,0,0.126789730083787,0,0,0,0,0,0,0
BSV,0,0,0.000157645123781709,0,0.624203624379577,0,0,0.389363424511841,0,0,-0.0829629002679779,0,0.167168139839527,0,0,0.0211608007547267,0.0738268189742296,0,0,0
LTC,0,0.274865303651256,0,0,0.105307747999585,0,0,0.359528878729242,0,0.0334150975698709,0,0,0,0,0.023384031814927,0,0.00931767636380866,0,0,0
EOS,0,0,0.00253953978693687,0.106650209405052,0.259108128117986,0.232148238140352,0.259844439616545,0,0.082928468440148,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.170232707945425,0.0000000000000000000271050543121376,0,0.379465301074685,0,0,0,0,0.0832488880130805,0,0,0.230024256196509,0,0.0753010127980184,0,0,0,0,0
XTZ,0,0.0724487097876893,-0.000496136501301148,0,0.142580802344899,0.192288285755031,0,0,0,0,0,0,0,0,0.499756516606709,0,0,0,0,0
TAGZ5,0,0,-0.00339504550120258,0,0.434663659155985,0,0,0,0,0,0,0,-0.0314015975762203,0.370607979218252,0.0581901778683197,0,0,0,0,0.115151016498846
LEO,0,0,0.00309357051777563,-0.0301321809073019,0,0.0626645244839144,-0.103104354325427,0,0,0.153618981082535,-0.0356352416853297,0,0,-0.0851094682104418,0,-0.0238954830205307,-0.0171857845812446,0,0,-0.0561088235904767
XMR,0,0.234938104237353,-0.000657005229726169,0,0,0,0,0.312406836990622,0.159927444425126,0.131655646042148,0,0,0,0,0.0246983913894414,0,0,0,0,0
XLM,0,0,0.00216400173830044,0,0.276925990372786,0.10454574878955,0,0,0.0850751737721462,0,0,0,0.212768566799484,0,0.0264327697571057,0,0,0,0,0
LINK,0.0781926150777529,0,0.00365705409466433,0,0,0.0635517715903295,0.247652453179193,0,0.386055355792161,0.300162767847122,0.0147432618057573,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.76459247485998,-0.0216965080530065,0,0,0,0,0,-1.09614281318912,0,0.25944991983856,0,0,0,0,0,-0.0247713814681495,0,0.559951458251637,-0.0120514374980023
CVIX.INDEX,0,0,0.00439165715150707,-0.521343170069272,0,0.0697959942596919,0.453099479245724,0,0,0.211101007095407,-0.540146692725618,0,-0.256530784686864,0,0.353754196027361,0.267395575272084,0,0,0,0.35039709004189
DXY.INDEX,0,0,0.00129108591572653,-0.0606589074150942,0,0.0176960377477236,0,0,0,0.0489830905234181,0.00495351854761455,0,0,0,-0.0215261000030597,0.0254310661683252,-0.0119937432827977,0,-0.0364472313976344,-0.0162011821573921
SPX.INDEX,0,0,0.00467761207308095,0,0,-0.162117063734194,0,0,0,0.16161876480287,-0.0385196053767076,0,0,0,0,0.277445873830753,0,0,0,-0.223883641891494
VIX.INDEX,0,0.207912946666775,0.0118652418885294,0,-0.418805430071475,-0.0504872585200463,0,0,0.0303253421809754,0.639601675731094,0.348112514663847,0,-0.508722031245791,0,-0.349791856298666,-0.0691409966882973,0,0,-1.70076680465894,0
