,BTC,XRP,ETH,BCH,ADA,XEM,LTC,TRX,XLM,MIOTA,DASH,EOS,XMR,NEO,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0781022086647934,0,-0.111954071849154,0,-0.0157366450745655,0,-0.0551868912904644,0.113721730006484,0,0.077457670282151,0.142249913218857,0.163341834368525,0.0386366306844413,0,0,0,0,0,0
XRP,0,0,0.512481927010522,0.149680503278437,0.0677013831210683,0,0,0.0156662673488615,0,0.00000000000000000346944695195361,-0.107033417808464,0.0738646940804054,0.164364495379741,0,-0.0222072744893117,0,0,0,0,0
ETH,0,-0.00461066511542761,0,0,0,0.0247656893428041,0.185488324667835,0,0,0.0215909581297881,0,0.0812793143780346,0.0985426745689089,0.101445161035558,0.0698673774293419,0,0,0,0,0
BCH,0,-0.112360205332548,0,0,0,0.0604693070066066,0,0.0236424024721256,0.0127966966332312,0,0.170304097241775,0.00000000000000000693889390390723,0.190688742055614,0.149018036741188,0.178961544308764,0,0,0,0,0
ADA,0,0.142522081912775,0.254821820659044,0,0,0.12566242282426,0.025830290323898,0.0474805585000301,0.186463994976319,0,0,0,0,0.086080636877996,0.0237052818575765,0,0,0,0,0
XEM,0,0.158092410211877,0,0.0338805939699154,0.0336199512318749,0,0,-0.00679610537167599,0.189903992293284,0.174334124546358,0.155243025198075,0.0965638824946284,0,0.0653984210671709,0,0,0,0,0,0
LTC,0.172197862642376,0,0.316769691728439,0,0,0,0,0,-0.0291066100755545,0.150602105278858,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,-0.0658323137236335,0.0348861897805919,0,0,0,0,0.0838735441342241,0,0.150419986695379,0,0,0,0,0,0,0,0
XLM,0,0.0764480351381163,0,-0.0524870470030383,0.380334245111984,0,0.167874780811969,-0.0713583500817385,0,0,-0.100858480894129,0.092253929598932,0.146652298095768,0.099494867501383,0,0,0,0,0,0
MIOTA,0.411739097754345,-0.109920449971164,0,-0.0396001874537334,-0.0608133590369859,0,0.0165918378968605,-0.0912426526975789,0.239773742250523,0,0,0.208621078566251,0.373631309801965,0.0891677115916559,0,0,0,0,0,0
DASH,0,0,0,0.111401307612329,0,-0.000000000000000000216840434497101,0.28729989860115,0,0,0.0349154618928574,0,0,0.142115825560962,0.0961285009905556,0.0361495792720462,0,0,0,0,0
EOS,0,-0.0344258646600943,0.0832013165425662,0,-0.050422543625809,0.0743147983296602,0.328272752014079,0.115997792591698,0.285226752743261,0,0.00000000000000000346944695195361,0,0,0,0.20296159376951,0,0,0,0,0
XMR,0.22079186801277,0,0,0.0686784072996951,0,-0.00180679111230281,0.0960481265663307,0.105202353706187,0.131621311308224,0.135211397759823,0,0,0,0.198643528202449,0,0,0,0,0,0
NEO,0,0,0.544924124825008,0,0.0113835067113985,0,0.0871572306489269,0.0405427042010527,0.128398842973051,-0.0549511565564141,0.102542165947956,0,0,0,-0.0153287237624143,0,0,0,0,0
BTG,0,0.00347058989243535,0,0.818508205594759,0,0,0.286798875909492,0.0734662015672645,0,0.0935179402500041,-0.404247315787133,0,0,0,0,0,0,0,0,0.0685814509917325
BV010082.INDEX,0,-0.0306941531573206,0,0,0,0,0.0125678485775105,0,0,0.00990486160099538,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0.0203895613125387,0,0,0,0.0253386560369379,-0.0695195336685629,-0.0161404966432928,0.0186775858103246,0.000621121777245827,0,0,0,-0.0575386952801941,0,0,0,0,0,0
DXY.INDEX,0.00168111435508278,0,0,-0.00770871722226686,-0.00225228292594851,0,0.00053539571967135,0.00593913531854682,-0.00552765267276641,0.00856287998610081,0,0,0.0156985620736832,-0.00374314796276518,-0.00166340222077526,0,0,0,0,0
SPX.INDEX,0,0.00184310523751677,0.0133301345653243,0.00159758132349474,0.00319342730471293,0.00161192387540805,0,0,-0.0043168944810031,0.00116758338377941,0,0,0,0,0,0,0,0,0,-0.0252362844765568
VIX.INDEX,0.237758986946833,0.0338347292704694,0,-0.0854445740549657,0.0476975862152951,-0.0282363949845071,0,-0.132250093506287,-0.145392812520915,0.0414981130207791,-0.0592737415728923,0.220283215058791,0,-0.20297304296902,0,0,0,0,0,0
