,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.123956939568735,0,0.270081110831753,0.376791106049421,0.0925333497190878,0.00696197056011438,0,0,0,0,0
XRP,0.559123211175111,0,0.227456885747198,0.512657756388698,-0.16462392008489,-0.055042539685616,0.105557615496813,-0.200268739822265,0,-0.417822344781438,0,0,0.285007429342644
LTC,0.341978942096858,0.0668184175030312,0,0,0.783162356475016,0.0000000000000000138777878078145,0,0.106192667534024,0,0.512375720217864,0,0,0
XLM,0.636684047453348,0.141453670638374,-0.0659833181372489,0,0.174727586710092,0,-0.281844179628167,0.121945194466296,0,-0.147320791591992,0,0,0
DOGE,0.0366111072378002,0,0.0920392718097579,0,0,0.427250342486353,0.049019352539878,0,0,0,0,0,0
DASH,0.768996115653319,0,0,-0.040349278710335,0.0788160958544968,0,0.0423414995636758,0.0776939726988089,0,0,0,0,0.0297990338835302
XMR,1.17306959868504,-0.384149450620425,0.0969535508853225,0.175216740185374,0,0,0,0,0,0,0,0,0.0953722590446815
DGB,0.459187973862614,-0.100841471412258,0,0.168304591845612,0.469268791102881,0,-0.00000000000000000346944695195361,0,0,0,0,0,0
BV010082.INDEX,-0.0178637893546218,0,0.0405093295504878,0.0350526131478077,-0.119744724341396,0.037714925945763,0.0371069253802576,-0.0268044622236893,0,-0.0373942370852974,0,0.288365560753732,0
CVIX.INDEX,0.225873627611246,-0.0661572676133743,0.0675944804898266,0.0519954293042627,-0.250985838236872,-0.0608499567012012,0.0458639790799617,0,0.0970833869544337,0,1.40723412440511,0.303906001449721,0.078277507766209
DXY.INDEX,0.0300333341904848,0.00499338238810966,0.00126623522921143,0,-0.0137892526470074,-0.00374786581062463,-0.00529221911183982,0,0,0.0243884710814393,0,0,-0.0309300569887214
SPX.INDEX,0.0427899532830551,-0.0393631536543309,0.00644296722415657,0.00659555563947145,0,0.00387280322642957,-0.0276365357955496,-0.0137719585730695,0,-0.0139117140363674,0,0,-0.0933822397541804
VIX.INDEX,0.342290541510645,-0.102167786937505,0.020341162887762,-0.0637520398654995,0,0.0859092623966001,-0.273993066891411,-0.052151814333091,-0.580360194547585,0.0876249123276867,-0.323477016181532,-5.67732704978382,0
