,BTC,ETH,BCH,XRP,BTG,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ADA,ZEC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.116631348437865,0,0.0284809321870432,-0.06023482350638,0.199880875458544,-0.059172202503092,0.0916542606112706,-0.102146110685185,0,-0.113142389548417,0.0921794672585518,-0.0121736148222676,0.0517283242030664,0,0,0,0,0
ETH,0,0,0,0.158791054571729,0,0,0,0.102915078743925,0.0179309913940497,0,0,0.113429743187119,0.0108171585565123,0.0403193298154028,0.0323904609534888,0,0,0,0,-0.0228738967888512
BCH,0,0,0,0,0.0757358589966588,0.259728359386741,-0.556062591710855,0.0171714869993394,0.361840088209222,0,0.134254660557077,0,0.017213546759107,-0.0131382446015618,0.171635623226021,0,0,0,0,-0.499346797669267
XRP,-0.0766318806605252,0.391013742013401,0,0,-0.0314924719319914,-0.0744833421503448,0.185778818119247,0.207756845697099,0.0575120030197327,0.159656384984046,0,0,0.0692479806755817,-0.126586986174055,0,0,0.238461981701011,0,0,-0.162898542753175
BTG,1.5300861285876,0,0.269333697932567,0,0,-0.239577310296401,-0.789088086226897,-0.27526435842588,0,0,1.14653461864795,-1.40606361302454,-1.03622576514727,-0.289484876510594,0,0,0,0,0,-0.529578605686528
DASH,-0.0194954898318146,0,0.0573604429222859,0,0,0,0.0716220810040196,0.195514997295585,0,0,0,0,0,0,0.117314600498085,0,0,0,0,0
LTC,0.0345516929020628,0,-0.0854145547563664,0.223694095210463,-0.0208311225171519,0,0,0.0288367285361032,-0.00905489717906895,0,0.265762001833876,0,0,0,0,0,0,0,0,0
XMR,0.064883259814123,0.0730503466558735,0,0.0262505597954698,-0.00988288624014555,0.229256251942863,0,0,0.0422597914379922,0.0257971796389978,0,0.488307729976411,0,0.0572007608252322,0.0593931899675226,0,0,0,0,-0.101137924676496
NEO,0,0.369429185320505,0.0986028791162034,-0.174278371021222,-0.114686850020901,0,-0.154218892376768,0.30141833556745,0,-0.100032017062705,0.275454989151081,0,0.0502141666005771,0.047458858489141,0.124603815740105,0,0,0,0,0
MIOTA,0,0,-0.124025299601976,0.280240270593956,-0.0334195179671535,0.036192416736298,-0.270994410287324,0.315056605262366,0.0973955601272024,0,-0.088650653991803,0.651079044843163,0.161954673827048,0.0624946690920804,0.142629684367616,0,0,0,0,0
ETC,0,0,0.106723543256488,0.117547131089075,0.0840466441353592,-0.377728322443348,0.189980311059951,0.163009730837826,0.0717454171079843,0.0363979385269598,0,0,0,0.023951159887252,0,0,0,0,0,0
XEM,0,0,-0.0593133397285454,-0.0670171222601522,-0.047191987947675,0,0,0.0638037677927177,0.130195505703036,0.116154535524899,0.159776347545546,0,-0.017024157402105,0.122706092564485,0.144087169636266,0,0,0,0,0
EOS,0.669294196028264,0.418236824205645,0.0787849812608279,0.192589343746918,-0.090398458449216,0,0,-0.0421060587289565,0.10559760299453,0,0,0.0000000000000000277555756156289,0,-0.148883869583265,0.116575012200076,0,0,0,0,0.0910924378299759
ADA,0,0.489770102983857,-0.031753571883185,0.0951238232475352,0,-0.0334820702631443,0.257892529103767,0,0,0.307697575068387,0.00354709001509906,0.380812717493021,-0.344106503121476,0,0,0,0,0,0,0
ZEC,0,0.351627756249657,0,-0.0639820967948714,-0.0367897310865392,0.248658760187476,0,0.309069354610564,-0.09158264944249,0.000000000000000000433680868994202,0,0,0.0545364886204605,0,0,0,0,0,0,0.131991509011227
BV010082.INDEX,0,0,-0.0481356011401122,0,-0.000680856223793902,0.00447025261818041,0,0,0.0135896429617217,0.0118226693467657,0,0,0.0266670583626711,0,0,0,0,0,0,-0.0335573768633173
CVIX.INDEX,0,0,0.018218750550945,-0.00118502626444314,-0.00663638098130789,0,-0.0407607904316931,0,-0.0290929299987451,0,0.0282087357010816,0.0509197088535331,0,0.052004864708927,-0.0244979384162236,0,0,0,0,0.0496134408999292
DXY.INDEX,-0.0192832450076307,0,-0.00751951855849928,0,-0.00418673603867846,-0.00444810772269719,-0.00000000000000000010842021724855,0.00366773739285192,0,-0.0131353639098779,0.0105324385091613,0,0,-0.00969977926694257,0.0137730306398892,0,-0.0391747189475181,0,0,0
SPX.INDEX,-0.00118093694371451,0,0.000308144545793334,0,0.00028084975898426,0,0,0,0.00357081883049387,-0.000534356429844618,0,0.00799172739868104,0,-0.00302459285394591,-0.00569949963542981,0,-0.0250161686523691,0,0,-0.0308057182158905
VIX.INDEX,0,0.118741410769035,-0.14200396380453,0.196615278455166,-0.00432989325803857,-0.0275852600390888,0.0830851701153308,-0.331197184366306,0,0.120930611968161,0.0348395608345675,0,0,0.13630213778443,0,0,0,0,0,0
