,BTC,ETH,XRP,XEM,ETC,LTC,MIOTA,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0796172098084077,0,0.100389077627327,0.139711713446687,0,0.0128546305758709,0,0.0439869976238467,0.05372392819126,0,0,0,0,0,0
ETH,0.0677175819947252,0,-0.0378977235629067,0,0.165789620504684,0,0,0,0.124702482243934,-0.0403230892232772,-0.0277475959139936,0.104530617747194,0.0231728279445382,0.05517680486982,0,0,0,0,0,0.143592371810269
XRP,0,-0.174259922157135,0,0.0431361915635104,-0.492314999738578,-0.156852327931409,0,0.3764983155831,0.288107942032559,0,0.265395583262245,-0.0315895130997949,-0.0283656322311867,0.229349606090222,0.111848185839466,0,0,0,0,0
XEM,0.462780006413252,0,0.104518520687942,0,-0.330900785442346,0.0667617291409149,0,0,0.094836569034791,0.00750427541378151,0,0.122657855145565,-0.0368591744476339,0,0.274149350178623,0,0,0,0,0
ETC,0,0.0463457654716718,-0.293903504151356,0.132336646338879,0,0,0,0.211082621881799,0.0219552621683801,0.0260391671755088,0.0445731639647152,0,-0.0358878445885601,0,0.138533159201371,0,0,0,0,0.0941815443420699
LTC,0.513141024983807,-0.0117230498935124,-0.0210316243640366,0.0697478466808798,0,0,0,0,0.101394436202812,-0.0344639481036288,0,0.0971251888232374,0.0122686445375642,0,0.210003090593208,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0861345557474019,0.0527491885988365,0.0420582879960675,0,0.0600295347565527,0,0,0.350611815518823,0,0.0587932275172868,0.0138543644196118,0,0,0,0,0,0,0,0
XMR,0,0,-0.0845242008454113,0.163374291091741,-0.190599723362037,0.193224193653553,0,0.592921105408572,0,0,0.0653786266320816,0,0.0132094614507755,0,-0.158485762706993,0,0,0,0,0
ZEC,0,0.159938756631884,0.0790997921026305,0.031585601510746,0,0,0,0.115593931844437,0,0,-0.0618953953865835,0.207033530576239,0,0,0.0460303903609117,0,0,0,0,0
XLM,-0.555962327842358,-0.0920157805654354,0.792162534550989,0.0507584169221399,0.314769943268758,-0.111561317137901,0,0,0.374496624359474,-0.120435651445822,0,0,0.0016964700940065,0,0,0,0,0,0,0
DOGE,0,0,0,0.306038902520959,0.0777844554086334,0.0365972386350974,0,0.159941635962633,0,0.199313880043431,0.145443538398863,0,0.0441234541578586,0,0.119703683740934,0,0,0,0,0
DGB,0,-0.492929821019851,0.422147236653496,-0.140193408916547,-0.152717966222358,-0.0575391704601732,0.41924618375032,0,0.656300788577323,-0.272195910763933,-0.32574110584413,0.508412144141101,0,0.381834822500152,0.307979039198364,0,0,0,0,-0.106166727895763
BAT,-0.422419369318437,0,0.167149237556411,0.182407972514696,0.173945435678673,0.0625770905709365,0.901238441154435,-0.21079662738794,-0.0164498663327661,-0.139420945346372,-0.0386237962238938,0.0518470004784401,0.0361167647886187,0,0,0,0,0,0,-0.0562060683468172
NEO,0,0.656165502907281,0.397548952878776,0,0.374433168069726,0.584298024997359,0,0.143150879158852,0,0.262154351199319,-0.120527380405594,-0.16983287956002,0,0,0,0,0,0,0,0.0242386429363077
BV010082.INDEX,0,-0.0118975175367014,0,0,0.0323855473172841,-0.000000000000000000216840434497101,0,0,0,0,0.013800938553629,-0.0169432240839993,0.00945112226171186,0,0.00716050519159364,0,0,0,0,-0.0644661672719864
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0.00481940312870922,0.0319040154216782,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.0232777153407405,0.01082840137594,-0.0124675234780909,0.0140075826132878,0,0,0,0.0018433191285822,0,0.00536666390393762,-0.00564323329532446,-0.00277323614572915,0,-0.00450709351029292,0,-0.00498178553501069,0,0,0.0101593854086232
SPX.INDEX,0.00236540247953639,0.00103933837181324,0.00407698017712383,-0.00745184617386038,0.00651450612113216,0,0,0,0.00583732603870528,-0.000959825589961801,0.00232923965715819,-0.00138153718264236,0.00392209313070067,0,-0.00334636527428847,0.0211029966072312,0,0,0,-0.031225483923884
VIX.INDEX,0,0,0.225635546738252,-0.139983563212462,0.251431889403818,0,0.17164579906258,0.303055542567746,-0.154388522804314,0.0000000000000000000542101086242752,0.0198329675865794,0,-0.154972505628505,0.106459150881064,-0.137118952648086,-0.444561053307996,-0.302428265383387,0,0,0
