,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.216325330715645,0.0651093377355399,0.249542865019545,0,0.281380308300189,0.106022742433511,0.111765327183028,0,0.0420682927400729,-0.0364143844124224,0,0.209395162056728,0,0,0,0,-0.018915607055532
ETH,0,0,0.141564462895687,0.261203712045119,0,0,0.172703980881369,0.0896173931452485,0.0358717020600184,0,0,0.0188088564273388,0.192102464728152,0,0.142997576038261,0,0,0.00641409258060429
DASH,0.440197663223192,0,0,0.146334806049949,0,-0.180318073572784,0,-0.0682820348571274,0,0,0,0.0779926986438192,0.202361778732635,0,0.323423264495106,0,0,0
XMR,0,0.519471608489151,0,0,0,0,0,0,0,0,0,0,-0.034177365582957,0,0,0,0,0
XRP,0.172301787934435,-0.069222973691166,-0.0191878972924731,-0.0748508005318964,0,-0.0695654563119158,-0.024636600396165,0.0464351607041152,0.0415632945654552,0.358762234375799,0.0661292798787499,-0.0432880092071926,0.0521157261108338,0.672446446630313,0.198073276128294,-2.75035219522144,0,-0.0293257703941762
LTC,0.0889959377246395,0.0529634025537824,-0.0335071697375234,0.0305179077457087,0,0,0.175198170409063,0.0413368671503467,0.0383561118345861,0.0822556267751675,0.0753259142931657,0,0,0,0.0272469609054163,0,0,0
ETC,0.299225559293669,0,0.134919905975128,0.000000000000000000216840434497101,0,0,0,0,0.0620309968685151,0,0.149462031509202,0.103850229037518,-0.00869173895720573,0,-0.127943636091643,0,0,0.00163209905441859
XEM,0.587019758030573,0.474672687371287,-0.249814610006082,-0.29567727860309,0.560765961507339,0,0,0,0.243337949571202,-0.892023711195713,0.336790838596992,0.375395425565175,0,0,0,0,0,-0.302358545397843
ZEC,0,0.222282647611935,0.0725190881639723,-0.180078720493345,-0.326442777236857,0,0.0257344894535273,-0.0766920999275257,0,0.605965749861799,0,0.0711630040780351,0.0300808176960021,-0.204908740957658,0,0,0,-0.0320967300002037
DOGE,0.188130176493895,0,-0.0117895250683621,0.0858677968526114,0.26626308332696,0,0,-0.0528105405920214,0.189417387872958,0,0.0719388231491907,0,0,0,0.0427177949694688,0,0,0
XLM,0,0.151142345760294,-0.0715215538879407,0.181495511575159,0,0,0,0.0238183959371205,-0.151356010515876,0,0,0,0.215983630263895,-0.256273049551903,0,0,0,-0.00807228385537551
NEO,0,-0.0829458517671576,0.0820395243879382,0,-0.332552074948053,0,0.11205973406492,-0.151446589518215,0.220459608821619,0,0,0,0.120468640665314,0,0,0,0,0
DGB,0.232793114707149,0.185201219798969,0,-0.0172065686481659,0.199982905804766,0,0,0,0,0,0.132790208002059,0.122706149545679,0,-0.17996992533687,0,0,0,0
BV010082.INDEX,0,0,0.0386094561921825,0,0.119028192195352,0,0,-0.0617642065361163,0,0.0335576923792232,0.0566208157861305,0,0,0,0,0,0,0
CVIX.INDEX,0.108113679348458,-0.000000000000000000867361737988404,0,0.0151100061587195,0.0946688399305414,0.23014832848259,-0.10495286331295,-0.100159636969217,0,0.389242410953326,0,0,-0.103843931098474,0.00772899007504885,0,0,0,0.288186848967664
DXY.INDEX,0.0151187280765057,0.00814397405562435,-0.0121312110112635,0,0,0,0.0137139183628414,-0.0224348950884041,0,0.00372591378479691,0.00982280070338684,0,0,0.148140252337556,0.0299035655535903,0,0,-0.00960697255235203
SPX.INDEX,0,0.00801653593870212,0.0016114192218471,0.00612007037385033,0,0,-0.00677236952865146,0.00432848042126448,0,0,0,0,0.00201582025080244,0,0,0,0,-0.0390414058759557
VIX.INDEX,-0.452040497211,0.45387956481639,0.188133980218996,-0.256307045054634,-0.106530412854066,0.939966058300839,-0.517064546613222,0.0585415180538132,-0.316591484321293,0.278833705897986,0.149922747425236,0,-0.30289860515359,-0.413304875134426,0.32639345424383,0,-4.19128263061686,0
