,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.166083303245149,0,0.130664070064264,0.000562339473364586,0.00509550822867628,0,0.131406774610648,0,0,0,0,0,0.0994240178057298,0.0406798909599277,0,0,0,0,0.106962643147392
ETH,0.366271252550334,0,0,0.120248903129968,0.0534245226399961,0.378023031627767,0.0502026223486652,0,0,0.087548244706458,0,0,0,0,0,0,0,0,0,0
XRP,0,0.190018803708672,0,0.0305354503824446,0,0,0.0421424241345785,0.168074810881306,0,0.0447327434249567,0.0992486663576603,0,0.0895198644841043,0.0929806227165408,0.0382697397738509,0,0,0,0,0
BCH,0,0.0585893793962233,0,0,0,0,0,0.13119436029521,-0.000000000000000000433680868994202,0.203026991657778,0,0,0,0.231695857977377,0,0,0,0,0,0
EOS,0,0,0,0.408214886346579,0,0,0.218349130076355,0,0,-0.422494769261375,0.45743511624478,0,0.101577004261031,0,0,0,0,0,0,0
LTC,0,0.490548742373289,0,0.0519487406799124,0,0,0,0.107311732457674,0,0,0.131499239867095,0.0509449890710597,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0848228574395922,0,0,0,-0.0197700267486364,0.15033421294274,0.269553752889729,0,0,0.316727265881381,0,0,0,0,0,-0.0205099957494282
XLM,0,0,0.3024221001319,0.183070433346674,0.0512400591399751,0,0,0,0,0.0117230337244198,0.0336668031482299,0,0,0.183799411611986,0,0,0,0,0,0
TRX,0.835100820974914,-0.534582825429441,-0.236666777804336,0.271416510060616,0,-0.276590158470546,0,0.182273371494475,0,0.0506180889774898,0,0.580984679840867,0,0,0.204927189602409,0,-0.0158097649971169,0,0,-0.12867706868134
MIOTA,0,0,0.340679413136631,0,0,0,0,0.151168628878043,0,0,0.0268763578563551,0,0,0,0.265300245670715,0,0,0,0,0
NEO,0,0,0,0,0.104874934565546,0.0183153546885302,0.0296597218754998,0.0913973969781176,0,0.217711222005448,0,0.0726759858310871,0,0.011362591932641,0.243375880714173,0,0,0,0,0.0228859230437678
DASH,0,0,0,0,0,0,0,0.194190477438681,0.00680026801244946,0.194980848394627,0.150040927232789,0,0.0683448645239589,0.0150275239834302,0.0751239350716306,0,0,0,0,0.0662684497382906
XMR,0,0,0.374663046269381,0.0539916056488027,0,0,0.13317299336534,0,0.0712842648102128,0,0,0.113591272331787,0,0,0.0464369501608588,0,0,0,0,0
XEM,0,0,0.121021548096527,0.0214440109239519,0,0,0.10578598255326,0.359289415831916,0.118740865331092,0,0.0435597175066208,0,0,0,0.103591697961403,0,0,0,0,-0.0418475017591506
ETC,0,0,0.430248708438514,0,0,0.0777237108169681,0.10764177321905,0.0568179810208015,0,0.000000000000000000216840434497101,0.133439920711423,0,0,0.0388265781484224,0,0,0,0,0,0
BV010082.INDEX,0,-0.0520660898523908,0.0863701889279885,0,0.00688717774837202,0,0.00773926106448978,0,-0.00975367004967128,-0.00552229817448238,0,0.130196950479732,-0.0771010794262697,-0.0819868014288278,0,0,0,0,0,-0.0709554074630921
CVIX.INDEX,0,-0.025031346967474,0,0.00000000000000000693889390390723,0.0281711026510452,0.0229603235815273,-0.10123139320369,-0.028246086645973,-0.0234940327403468,0.0333478130293598,0,-0.179806244722871,0.105733492543177,0.122905647766112,0,0.302385015057843,0,0.472272798984608,0,0.0792650000822483
DXY.INDEX,0,0,0,0.0205627513021859,-0.00404063795752938,0.000955170523102435,0.0147878520143014,-0.0140375454067753,-0.00527643057295167,-0.0103058011534164,0.0205448093741062,0.00686020684478137,0,-0.0167580451516633,-0.00961910629568179,0.0562803540163342,0.0639614238054402,0,0,0.00665330015994856
SPX.INDEX,0,0,0,0.0213858302960144,0.0105317195799164,0,-0.00484634996095231,0,-0.0299469893515768,0.000000000000000000216840434497101,0,0,-0.00623930752229216,0,0,0,0,0,0,-0.128525184335121
VIX.INDEX,0.323612179704994,0,0,0,0,0,0,0,0,0,0.16748235960737,0,-0.121302552713266,-0.0719981980570511,0,0,0,0,-2.11762750780004,0
