,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,HT,XLM,XMR,ADA,TRX,LEO,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.244845385867417,0,0.0868917860804586,0,0,0.105480782077209,0.0134140767063489,0.0567400708880032,0,0.399412540982847,-0.119687707578843,0,0,0.0392012715251422,0,0,0,0,0
ETH,0.141980974545699,0,0.0739239298030078,0.126043053023754,0.102081328285509,0.266573939104709,0,0,0,0,0.0873878204614669,0,0.0180702972801596,0,0.105092603633024,0,0,0,0,0.0171668721925522
XRP,0.00000000000000000346944695195361,0.177815034691023,0,0,0.00295371953004516,0.0284608170913932,0.062803030738427,0,0,0,0.102324002018402,0.193102594241763,0.0765672659700638,0,0,0.0149154315575808,0,0,0,0.00843707015611438
BCH,0.167778742118237,0.409332205886161,0,0,0.0104823360367934,0,0.0515946722340176,0,0,0,0.103200835205583,0.121095800692212,0,0.0163572173664492,0,0,0,0,0,0.0108943048348442
LTC,0,0,0,0.271058542267026,0,0.202585132198903,0,0,0,0,0,0.212350355021316,0,0,0.128648690544951,0,0,0,0,0.0164320084417565
EOS,0.128680449040944,0.149564771259546,0,0,0.21912977482708,0,0,0.0694282111224847,0,0,0,0.329772595862145,0,0,0,0,0,0,0,-0.0315805615333509
BNB,0,0,0,0.151873678494347,0,0,0,0.0225242886777109,0.183564231631334,0,0,0,0.247122880826254,0,0.133302181798799,0,0,0,0,0
BSV,0,0,0,0.0345102819288418,0,0.155989016521109,0.04960324528756,0,0,0.141541795364357,0,0.0888411378559996,0.317659642804886,0,0.0239331501105493,-0.168486789065051,0,0,0,0.0289772605893265
HT,0,0,0,0,-0.138353864068805,0,0.447832437504612,-0.074743225231258,0,0.187271798248511,0,0.0360556238009038,0,0,0.0615112119393363,0,0.308759908251284,0,0,0
XLM,0,0,0.0403490732727354,0.352319061963529,0.129659417314584,0.0335334409743063,0,0,0,0,0.132252267995392,0.0995715232590655,0,0.0201718916374269,-0.0614280005009022,0,0,0,0,0
XMR,0.472894080572387,0,0,0,0,0,0.0716052115429507,0,0.0661782347867542,0,0,0,0,0,0.376282568944696,0,0,0,0,-0.019621819063903
ADA,0,0,0,0,0.157088237569977,0.201114486262793,0,0,0,0.154851488564965,0,0,0.286555330146513,0.0420086305586355,0,0,0.0681520014881401,0,0,0.0168651808829385
TRX,0.141129774393824,0.0919931730554732,0.731132035565756,0.0954571790982851,0.21301758669919,0,0,0.111360764837247,-0.123886859346191,0.141114516760199,0,0,0,0,0,0,0.117966729016267,0,0,0.0599171954280882
LEO,0,0.343125788495375,0,0.110365268767873,0,0,0,0,0,0,0.047469769120873,0,-0.0742699763297671,0,-0.14025430154236,0.319321143533426,0,0,0,-0.00928394186788668
DASH,0.18349680069692,0,0,0,0.102613385342881,0.0157591371892353,0.0246642974533228,0.00000000000000000010842021724855,0,0,0.279543362952668,0,0.00891360700634969,0,0,0,0,0,0,-0.00529808158248797
BV010082.INDEX,0,0,0,0,0.424446765270439,0,0,0,0,0,-0.242210245557109,0,-0.0570047897103548,0.268907974574018,-0.112885595932701,0,-0.0442319485828791,0,0,-0.124344237889989
CVIX.INDEX,0.303051955311301,0,-0.158387569192842,0.059726263389115,-0.45028995221556,0.0538547844861872,-0.645546479091101,0.240833257598849,0.140210142360217,-0.000000000000000000867361737988404,-0.0625237061015465,0,0.4726454846852,0.290604412624051,0.0390649463587044,0,0,0,0,0.0794831353533059
DXY.INDEX,0.00435680854563158,0,0,0,0.0488280075915998,-0.00812136453565337,-0.028274929099708,0,0,0.0142313047143357,-0.0118523732407729,0,-0.0214627614456694,0.000724624802409297,0,0.017435451485133,0.0175489239236595,0,0,-0.00904612029919155
SPX.INDEX,0.0507454146545453,0,0.0486475575570191,0.0349136543298552,0.00803420913158399,-0.0658764186404472,0,0,0,0,-0.0680001638176993,0,0,0,0.0232375373694454,0.0422924275035905,0,0,0,-0.098961455044037
VIX.INDEX,0.392361137079412,0,0.626083214857625,0,0.200000720701329,-0.322435336625558,-0.117444747781236,0,0,0.107736838791486,-0.51991824201259,0.0638766581545913,0,-0.320291921945636,0,0,0,0,-6.27175322205748,0
