,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.082487388022162,0,0.394649574551545,0.0000683457302707406,0,0,0,0.122179636475951,0,0.0518138119293173,0.0209965671892336,0,0,0,0,0,0,0,0.00687990751764901
ETH,0,0,0,0,0,0.260091955811748,0,0,0.0809336266054018,0.0534852745173282,0.100352755459399,0.121090430559551,0,0.133604823711058,0.078178695221739,0,0,0,0,0.0116168153034325
XRP,0,0,0,0,0,0.168962681326527,0.127434438654963,0,0,0.226607968190175,0.0734440370318593,0.102074131972357,0,0,0.00716822570282461,0,0,0,0,0
BCH,0.00275319110617428,0.0636199814535106,0,0,0,0.181859693154974,0.103670437188069,0.1073290357715,0.202187654357436,0,0.183179803848088,0.0205948690538073,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.272902772883612,0.269951316160985,0.0767419003766406,0.178294755673878,0,0,0.188787863754124,0,0,0,0,0,0
EOS,0,0,0,0,0.212952672014549,0,0.564951620103185,0,0,0.103063248766892,0.261887942367556,0.00679444142109738,0,0.0274096205133212,0.110388008184601,0,0,0,0,0
LTC,0.18530252463884,0,0.235334735686978,0.228943032975878,0,0.109113374806534,0,0,0,0.0608670332960689,0,0.151958733812689,0.07803344246692,0,0,0,0,0,0,0.0188444570561014
ADA,0,0,0,0,0.348935599079186,0,0,0,0,0.087956819704022,0.316131049760002,0.0281380079395357,0,0.00253154161256526,0,0,0,0,0,0
XMR,0,0.0615825993459518,0,0.264847668650306,0.0313500041531925,0.122993493794565,0,0.185996965815049,0,0,0,0.0592563029589859,0,0.161745615252026,0,0,0,0,0,0
MIOTA,0,0,0.297139185073171,0,0,-0.00000000000000000693889390390723,0.204054940081725,-0.0977731471268299,0,0,0.247183564872667,-0.059401782262715,0,0.617428009002375,0,0,0,0,0,0.0142961116121358
TRX,0,0.0955878037350362,0,0,0,0.389250116052524,0,0.0737490091964839,0,0.00190310359779841,0,0,0.162983454084959,0.0834136448292401,0.0991528892169388,0,0,0,0,0
ETC,0,0,0,0.129036062445119,0,0,0.0742361068714636,0,0,0.372937717198286,0,0,0,0.121511569790465,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.23781935456629,0.114588602498477,0.0192459349322929,0,0.123648331156356,0,0.245673632360819,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.0207853102091405,0,0.364874099762832,0.373231966256705,0,0.195360172502816,0,0.151893449290407,0,0,0,0,0.0459415767707681
BNB,-0.272680251511012,0.615917879007152,0,0,0,0,0,0,-0.0267142545915648,0.135022498305218,0,0,0.0370178263374416,0.0933162605919682,0,0,0,0,0,-0.0314848414684477
BV010082.INDEX,0,0,0,0,0.00000000000000000173472347597681,0,0,0.0157845680400969,0.0283209259210657,0,0,0,0,0,0,0,-0.178649501791076,0,0,-0.0115574900435871
CVIX.INDEX,0,0,-0.208361882498023,0,0.118772975932727,0.00000000000000000173472347597681,0,0,0.186932139778605,-0.126588370196021,0.131816882185948,0.0699492709995582,-0.273453652372084,0.157353911207106,0,-0.593669142233709,0,0.370505164822521,0,0.0931918508862315
DXY.INDEX,0,-0.0149127127184776,-0.0212132130219247,0,0.0126217947541703,0,0,-0.00924096100118719,0.0191718535654695,-0.0101739460929676,0,0.0222270305620231,0,0,0,0,0.105224878705858,0,0,-0.001609134011477
SPX.INDEX,0,0.00827468246351795,-0.000461347690315349,0.0142175603608766,0,-0.0181328798888835,0,0.00973740405724189,0.00697972432582163,-0.0214536513911468,0,0,0.00581636888904421,0,-0.00555000374764401,0,0.0200865953380413,0,0,-0.0603751987065509
VIX.INDEX,0.528889063565263,0,-0.506772379758478,0,-0.0610701999851582,0,0,0,0,-0.103522286720872,0,0.22323043137019,-0.168833932899485,0.0834797319793934,0,0,0.130384759311016,0,-5.55056174576295,0
