,BTC,ETH,XRP,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0887005266428793,0.0690313495209702,0,0.00988531192909987,0,0.04502773267638,0.316912405227165,0.116238461716437,0.0683093881298016,0,0,0,0,0,0
ETH,0,0,0.199637398027637,0.0670085160861875,0,0.0316536812480096,0,0,0.0113123345487571,0.107620553703152,0,0.387447816537099,0.0732786510310539,0.0691334364782492,0.00000000000000000346944695195361,0,0,0,0,0.00231173749113425
XRP,0,0.107792370531131,0,0.035999819054847,0.027107082656459,0.102946473153289,0.13393613911363,0,0,0.0349726208775795,0,0,0,0.0808237650327962,0.0641505806029876,0,0,0,0,0
BCH,0,0,0,0,0.328512739042358,0,0,0,0.0876995984580809,0.470491429947406,0.0733226985332315,0,0.229279161128576,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.562156585289575,0,0,0.0838481205734471,0.101569442166496,0,0,0,0,0,0
XLM,0,0,0,0.182423695278462,0,0,0,0,-0.000540670628367948,0,0.0588873778668982,0.16786664015689,0.130115912409024,0,0.106253999586625,0,0,0,0,0
LTC,0,0,0,0,0.193524009487564,0,0,0,0.0232004229740805,0,0.093753675873925,0.153157170261664,0.0770688207154939,0.0342197186883123,0.0963177533286733,0,0,0,0,0
TRX,0.140714839465175,0,0,0.0509391373972793,0,0,0,0,0.0155323507845962,0.220910792125944,0,0.303834703172466,0.0407989747937787,0,0.035558234943495,0,0,0,0,0
BSV,0,0.41772308489534,-2.74284693094184,0.744807922126189,0,-0.509825722552526,0,0,0,0,0.445262401077874,0,0.616313330908071,0.138122643800369,0.71866502705023,0,0.0351791113108263,0,0,0.134661186261552
ADA,0,0.0402099512245564,0,0.104827207574232,0.256046570767433,0.0146657129667867,0,0.236546192723626,0,0,0.137742193260481,0.130693421753723,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0727586948615323,0.0859638014757288,0.306351215084299,0.136851580022703,0,0.0463022921338139,0,0,0.0719965370622145,0.0593633687056153,0,0.0488254470212019,0,0,0,0,0
XMR,0.135393230602501,0.0701466081279438,0,0,0,0,0.00681600511527305,0.0474985959217511,0.0281663758789291,0.172649798552531,0,0,0,0.0877698884084889,0.38873390484371,0,0,0,0,0
BNB,0,0,0,0,0.188356950777236,0,0,0.0848959962473582,0,0.214958945490126,0,0,0,0,0.362885216551241,0,0,0,0,0
DASH,0,0.104070604223055,0,0,0.00637775938228563,0.288498673090871,0,-0.071479666491626,-0.00958216512942466,0,0.155513763919125,0.241601013620125,0.0810044367206487,0,0.22333451094157,0,0,0,0,0
NEO,0,0,0,0,0.0396836097150145,0.0152972024641868,0.324131498146538,0.183664927779952,0,0,0,0.258767794591459,0.200118213100069,0,0,0,0,0,0,0
BV010082.INDEX,0.19509559215952,-0.212194406814427,0,-0.00840971773437811,0,-0.169000258415994,0.033140685055696,-0.0768211986086255,0.0173021789079874,0,0.0658413430388098,0,0,0.0925122762033867,0.0740991232724874,0,0.08740560306662,0,0.127070481714014,-0.0574342454279031
CVIX.INDEX,0,0.0503699954429522,0,0.00352786914752241,-0.175965987169299,0.0755990751315689,0,-0.414845519806465,0.0250284059118082,0.11239008491204,0.120012516741617,0,0,0.0837638225340372,0,0.014667920953161,0,0,0,0.125270855145599
DXY.INDEX,0,0,0,0.00320612629293866,0,0,0,-0.0321788501540084,0.00572880511665055,0,0,0,0.00541817287531581,0.00807769183881657,0,0.0596542205413889,0.00467956187296044,0,0,0.00626175494159657
SPX.INDEX,0,0,0,0,-0.0311740463841376,0,0,-0.00920504363267382,0.0116752342521002,0,0,0,0,-0.0415610725671864,0.0602366472786159,0.124998239076859,-0.0245775556993796,0,0,-0.116526952312672
VIX.INDEX,0,-0.240501250492963,0.735797385867948,0,0,0,0,0.268094063570854,0.0829658720246685,0,0,-0.569753740529834,0.0289451282306432,0,0,0,0,0,-4.38855922780359,0
