,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00484864407368663,0,0,0.0795981243987694,0.00919918872170896,0.132480546414812,0,0.205590423312168,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0153909187921693,0.155415557590117,0,0.21281777992478,0,0.179023672222203,0.019074381015499,0.0205073301450048,0,0,0.123771387883547,0,0,0,0,0,0
XRP,0,0,0,0.104119670680654,0.0740893862893794,0,0,0.0897008729326859,0,0.0991258848740517,0,0,0,0.124600839226953,0,0,0,0,0,0
BCH,0,0,0,0,0.307070050501212,0,0.108606606448943,-0.0345112114483565,0.317284257986818,-0.200253857272061,0.0000000000000000138777878078145,0.364221377743768,0,0,0,0,0,0,0,-0.0193459348935708
LTC,0,0.193865997829835,0.0507513269662884,0,0,-0.0267412823559255,0,0,0,0,0.732573404330256,0,0,0.00158502190442519,-0.00118682951161601,0,0,0,0,0.0147386850505498
DASH,0,0,0,0.0806113884827441,0,0,0.257779578922654,0.0462128969178581,0.178790462298933,0.0855414843175243,0,0.0591656331331948,0,0,0,0,0,0,0,0
XEM,0,0.929085297718819,-0.0651514996722071,0.0125856678249255,0.0416783008196538,0.234834906114806,0,0.0729886610327325,0,-0.153812694531933,0,0.0980493720715861,0,0.015909257309729,0,0,0,0,0,0.0320377655822668
NEO,0,0,0,0,0,0.0175424685953693,0.180008595951372,0,0.239625124541085,0,0,0,0,0.360208668093561,0.0691973456675074,0,0,0,0,-0.329150080764163
MIOTA,0.0742583224367601,0.00671470100212252,0,-0.0973712585692327,0,0,0,0,0,0.0747338610680867,0.0159707994677365,0.356513215587065,0,0,0.34414556882269,0,0,0,0,0
XMR,0,0,0.32827690098407,0.07765346130752,0,0.0117185886490841,0.102151708751908,0.0475688416521491,0.0109998642926968,0,0.153139760935504,0.00605381256369322,0,0.1239643604486,0.00538659842584065,0,0,0,0,0
ETC,0,0,0,0,0.586498096827857,0.021389071418086,0.0762592263867981,-0.00000000000000000346944695195361,0.0950023132484713,0.0543317088055139,0,0,0,0.109494575778124,0,0,0,0,0,0
ZEC,0,0.094858040012802,0,-0.0000000000000000000542101086242752,0.000000000000000000216840434497101,0.0779429307707108,0.0494153476683248,-0.0102770294704942,0.192818179016174,0,0,0,0,0.177908992879744,0.0274092408241983,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.342363955006463,0.0396296127591862,0,0.199747114050551,0.14622542126795,0,0,0,0.0110329165343724,0,0,0,0,0
EOS,0,0.378136620002112,0,0,0.181716585761224,0,0,0.179040032931149,0.028343879286797,0,0,0.236336723300119,0,0.139151074325531,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.006178495174365,-0.0180268833855117,0,-0.0407443852732346,0.0262792200488901,-0.0191579182782669,-0.0324176314320127,0,0,0.0164624790350927,0,0.00133677603192865,0.055555267310795,0,0,0,0,-0.0589292549646435
CVIX.INDEX,0.128621766599235,-0.282906679992803,0,0,0,-0.0250987746810951,0.154725276622887,0,0.046826024593689,0.050461535763455,0,-0.043230524955171,-0.0255343012725809,0,-0.0280560231033768,-0.278167521539694,0,0,0,0.0783683525779209
DXY.INDEX,-0.00626283980530701,0,0,0.00139853949982491,0,-0.0277000722331153,0,0.00458309220777389,0.00397282928233066,0.000670486714522663,0.00315383656289478,0,0,0.00405276657637862,0.0149133178667017,0.0311989546848507,0,0,0,-0.0060720123421611
SPX.INDEX,0.00484221803153597,0,0.00141258173828596,-0.0110788489638452,0,-0.00502795636795,0,0.000403309837659151,0,-0.00613291789174843,0.00374513047552848,0,0,0.00610225955951287,0,0,0,0,0,-0.0354227389191492
VIX.INDEX,0,0.256512399263454,-0.00261498931276739,0,0,-0.443904374767827,0.0955651661149615,0,0.00000000000000000173472347597681,0,-0.0740878488066959,0.371275141050881,0,0,-0.264053423350645,0,0.610162824776031,0,0,0
