,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0193405629354152,-0.0386327628775854,0.0585557430958889,0.09220086846946,0.145325264095562,0,0,0,0.0380215169698826,0,0,-0.177458124448364,0,0,0.000000000000000000867361737988404
ETH,0,0,0,0,0.119074888832707,0,0,0.0583761798639418,0,0.0333065707176922,0,0.00384215021257275,0.0510049888035916,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.407212266447719,0,0,-0.0529732289567582,0,0,0,0,0,0
XEM,0,0,-0.0792506372566662,0,-0.597399843863644,0.129411996618606,0.0252673579314011,0.0757911421032151,0.0272691079333857,0.0114263850335537,0.205522974086202,-0.00144147736088664,0.457034494904701,0,0,0,0,0
ETC,0,0.098090669220749,-0.0460679541034774,0.0521445800295988,0,0.118537264281943,0,-0.0652588187926939,-0.000883687729581909,0,0.0977575359003732,-0.0517255298331251,0.189193412125082,0,0,0,0,0.139129722712086
LTC,0.500460303182368,-0.0398301202866793,0.00825762520449345,0.134500383125141,0,0,0.209822378294573,0.196010304206194,0,0.129008225521841,-0.117257761640436,0,0.232387769830792,0,0,0,0,0.0799069662002535
DASH,0,0.167854736349684,0,0.15092954809387,0.0200028128389011,0,0,0.313109147848864,0,0,0.370992519627708,0,0,0,0,0,0,0
XMR,0,0.359708795800589,0,0.180762911706036,-0.163006593429751,0.106333014347127,0.221202638461433,0,0.157080559522209,-0.187224237648205,0.167157139971696,0,-0.118981420832998,0,0,0,0,0
XLM,-0.535190242700873,0.228706778475868,0.402693725080632,0,0.103689342675062,0,0.340906546294841,0.293885307445512,0,0.183823971035018,-0.243318985659876,0.141781780986173,0.0718243636265388,0,0,0,0,0
DOGE,0,0,0,0.0288969954621544,0.0375466175237408,0.265525763262929,0,0,0.253322241777889,0,0.257373740789203,0.0150374332438382,0.116429201504922,0,0,0,0,0.375172322588066
ZEC,0,0.0287346966754255,0.0183009630523654,0.0311071615167761,0,0,0.192723788403843,0,-0.0501937314717028,0.200409566129915,0,0.0359990880563067,0.0422340089166987,0,0,0,0,0.0287389470238265
DGB,0,0,0.0174771697788566,-0.22676316719254,0,0,-0.111468084990185,0.487115786276936,0,0.255013463108217,-0.160247081992964,0,0.13409665710112,0,0,0,0,0
NEO,0.221546601234655,0,0.034142351461583,0.109099506576277,0.232323275351964,0.190593772368707,0.446705854987494,0,-0.043647628867808,0,0.225359900726533,0.133007882766013,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0270310328062323,0,0,0.0192930256203628,0,0,0.0112735655109254,0,0,0,0,0,-0.0405778073707911
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0237103677230853,0,0,0,0,0,0
DXY.INDEX,0,0.00389934226150347,0.00153961824779486,-0.0148264291966966,0.0202634330155133,0,0,0,0.00702396549620638,-0.00596638723117252,0,-0.00262586892637719,-0.00702427319489241,0,-0.00424867561941101,0,0,0.0115948844669786
SPX.INDEX,0,0.00214540609338049,0,-0.00379627411746517,0,0,0,0.000999989298698601,0.0033963145864453,0,-0.00606971700722796,0.00233695716469039,0,0,0,0,0,-0.036332476604125
VIX.INDEX,-0.218586925084354,-0.0508992600874921,0.0889795002518178,0,0.164268475330959,-0.0782600155383099,0.177164347042563,-0.0867774067447852,0.0137990009114233,0,0.0373749767952723,-0.138065101363502,-0.0641292374159984,-0.666999332785831,0,0,0,0
