,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.146466633165475,0,0,0.0794686681867108,0.142504435166676,0.0146148997478603,0,0,0,0.0862318212519645,0.0160131870190206,0,0,0.0241855703137151,0,0,0,0,0
ETH,0,0,0.124538883029202,0.10577025744084,0.0255402002765005,0.346174224313004,0,0,0.0662887612627212,0.0300877035451732,0,0,0.195726573857297,0,0.133817488362104,0,0.0326072536816307,0,0,-0.00560943705114524
XRP,0,0,0,0.0805812266421753,0.0772192911448506,0.190703264486172,0,0,0.0648930728114719,0,0.190390771002704,0,0,0,0,0,0,0,0,0
LTC,0,0.274850677968031,0,0,0.21329978673057,0.203652158807935,0,0.0220362152040924,0.0925937011886667,0,0.111768579691953,0.325207318748474,0,-0.142427235161965,-0.224605451362095,0,0,0,0,0.135091770808924
EOS,0,0,0,0.108852847899095,0,0.444414394978182,0.230504555367706,0,0,0,0.183885604459946,0.0488350026459985,0,0.042366906065825,0.164970832336189,0,0,0,0,0
BCH,0,0.029679651730197,0,0,0.388606720226237,0,0.0197854013173724,0.0205312902754113,0,0.272493239123578,0,0,0.0259442245869131,0,0,0,0,0,0,0
BNB,0,0,0,0.221661047119435,0.118219597333449,0,0,0,0.356664343307757,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.137132142656513,0.00922635152805733,0.000000000000000000216840434497101,0.114909557164544,0,0,0,0.0762233363480938,0.304312801758603,0,0.0866783270136237,0,0,0,0,0,0,0
TRX,0,0,0,0.000000000000000000867361737988404,0,0,0.0999325646195467,0.219574541269831,0,0,0.290779112807566,0,0,0,0.0214045675277112,0.124043731667172,0,0,0,0.21878061505196
BSV,0,0,0,0,0,0.457496860557623,0,0,0,0,0.192407979345895,0,0,0,0.0793773768007331,0,0,0,0,0
ADA,0,0.183379374568828,0,0.139229948375677,0.0867608605130777,0.186286298978747,0.0592595484525246,0,0.0714954821667269,0.0107129996673451,0,0,0.201974502198856,0,0,0,0,0,0,0
XMR,0,0.184622523582388,0,0.0903598904025484,0.0599042784453278,0,0,0,0,0.0836390074928367,0,0,0.166503498785119,0.19417392201515,0.0307830296707968,0,0,0,0,0
MIOTA,0,0.29280243286174,0,0,0,0,0,0.0187399336946219,0,0,0.303575758196064,0.156522171185646,0,0.0255522570085307,0,0,-0.0279643989340194,0,0,0
DASH,0,0,0,0.0507221338377233,0,0,0,0,-0.0587907122676302,0,0.411423996239863,0.178360170332049,0.255175656193861,0,0,0,0,0,0,0
MKR,0,0.597574179386032,-0.45578667407934,0,0,0,0,0,0,0.369071276595926,0,0.391659609259138,-0.00848221308620865,0,0,0,0,0,0,0
BV010082.INDEX,-0.279392519429178,0,0.173942972101986,0.0189731585146593,-0.0846735254794675,-0.121388014153598,0,0,0.0900948898996102,0,0,0,0,0.0732141498246984,0.11487695768881,0,-0.293506049722633,0,0,0.05106790159301
CVIX.INDEX,0,0.00551099808977796,0.116292215173861,0.0422974713157843,0,0,0,0.150641447685718,-0.345868998408948,-0.078083112631841,0.0832802529957142,-0.100965340092408,0,0,0,0,0,0,0,-0.0955735127196222
DXY.INDEX,0,0,0,0,-0.00629569315748754,0,0.00440668053775653,0,-0.0161538067511241,0.0139597312346196,0,0.00724104797651513,0,0.0281917819320018,-0.0018439402614309,0.0640640413864068,0.0400761634788007,0,0,0.014775954059093
SPX.INDEX,0,0,0,-0.00642848557109358,0,0,0.00950782272062929,0,0.016748555457797,-0.0128997013361584,0,0,-0.0119292293266718,0,0,0,-0.055057268568336,0,0,-0.0751893500366978
VIX.INDEX,0,0,0.535948524184879,-0.401848644890231,0,0,0.306584584362686,0,0,-0.183313791076731,0.285619469698937,0.00254256258659624,0,-0.204145847974262,-0.110070182418472,-0.0299766567556412,0,0,-3.11620820155182,0
