,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0192861069918643,0,0,0.103350094943442,0.122972848768974,0,0,0,0.0983200184790881,0,0.040959427593481,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.387212341307984,0.105464800178669,0.100098421467885,0.0174608438576579,0,0,0,0,0.0498041286557942,0.114646218215714,0,0,0,0,-0.0160600154671674
XRP,-0.281580240265505,-0.126891423302172,0,0.000126625933101351,0,0,-0.0386995396434942,0.369220549878855,0.260928292954527,0,0.180050173690475,0,0.2459086369342,0.0477769814099942,0.114006768785786,0,0,0,0,0.0963059832916674
BCH,0,0,-0.0269230544713732,0,0,0.117251230876459,0.138367621594446,0.0501458257563781,0.130623180082427,0,0,0.437991276293514,0.114122538109435,-0.0120426827707825,0.0518213408024096,0,0,0,0,0
ADA,0,0,0.0847388224808465,0,0,0,0.0750374144525844,0.204973668209764,0,0,0.179917727562418,0,0,0.0676478980061721,0,0,0,0,0,0
LTC,0.511252260497974,0,0,0,-0.0477508891581845,0,0,0,0.0435785383872329,0.209981534190859,0,0,0,0.0230730589818108,0,0,0,0,0,0
NEO,0,0.274483466524662,0,0,0.00816244460841362,0,0,0.227818652183877,0,0.0235688060429464,0,0,0.213886320935262,0.0447730434599145,0,0,0,0,0,0
XLM,0,0,0.209647087792685,0,0.22477017139394,0.0243928446574894,0.218058554507814,0,0,0.0622016150750542,0.106413269316122,0,0,-0.0571327553567239,0.0409017288701671,0,0,0,0,0
EOS,0.0661924929445027,0,0,0.0403556241523865,-0.016515004033579,0.201439875174126,0,0,0,0.200960150840344,0,0,0,0.217823177718502,0.232668269190861,0,0,0,0,-0.0428536137922055
MIOTA,0.0794339065314867,0,-0.0881217040757775,0,-0.0175218821513697,0.245201736444486,0.0600140002352858,0.185157688135825,0,0,0,0,0,-0.0117074333209817,0.292666651622832,0,0,0,0,0
XEM,0.132982794879825,0,0.0663552071386766,0,0,0,0.0633963766104145,0.239159517524707,0.0945569338615345,0,0,0,0,0.0273448175937572,0.177562857233547,0,0,0,0,0
DASH,0,0,0.0478408039793624,0.178279682905248,0.0214826855106746,0.288803023702731,0,0,0.0149440647374776,0.037281754266601,0,0,0.0865678352978153,0,0.100265110077673,0,0,0,0,0
XMR,0.0325128834427004,0,0,0.160454150464647,0,0.0348730964095631,0.225478454992081,0.00312600611374317,0,0,0,0.235098015407075,0,0.0341587089227248,0.109805651433151,0,0,0,0,0
TRX,0.534845381626351,0,0.126819605454189,0.416533787384612,0,0,-0.288051218367373,0,0.130889984586035,0.0000000000000000138777878078145,0,0,0,0,0.0496837265182852,0,0,0,0,0
BTG,0,0,0.0498616400014537,0.295434160334801,0.0417286377043877,0,0,0,0.143587597651799,0.0868034729699048,0,0.104952758339464,0.243415353551171,0.0278675566401624,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0372885701262404,0.0112957485845151,0,0,0,0,0,0,0,0.00294108496012313,0.0108170704103024,0,0,0,0,-0.03814138625725
CVIX.INDEX,0,0,0,-0.0151262469436247,0.0338442967706447,0,0,0,0,0,0.0439632136980121,0,-0.0641493132086511,-0.00915265358246834,0,0,0,0,0,0.0556998280688743
DXY.INDEX,0,0.0185152354120379,0.00231974631907097,0.00147123690523634,-0.00813533033809447,0,0,0,0,0,0,0,0,0,-0.0177227995343741,0,0,0,0,-0.00165383347333916
SPX.INDEX,0,0,0,0.0070322690731016,0.0060237096745767,0,0.0110439259153075,0,0.0200698303636405,0,0,0,0,0.00405601765101388,-0.0542146917028185,0,0,0,0,-0.0594602278535504
VIX.INDEX,0,0,0.0655262705910805,0.0480498510216205,-0.170834044135558,0,0.06971408232104,0,-0.135619870889184,0,0.026512804745287,0,0,-0.00697963740383538,0.2406493085345,-2.85802664123515,0,0,0,0
