,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00083854425825161,0,0,0.264374206764168,0.0204261473448429,0,0.159210346878819,0,0,0.230620400155318,0,0,0,0,0,0,0,0,0
INNBCL,15.1673486662836,0,43.805930869472,1.88644874784453,0,-22.1448985098583,7.54701499432971,-15.0312010401551,-42.7939244666256,0.389150403351901,-7.02145293121441,5.2920001234759,0,0,15.0443958735472,0,0,0,7.2116639933937,1.78777355654127
ETH,0,0.000948099476823119,0,0,0.129020359115347,0.0654019032829463,0,0.265573582761543,0.220781622704229,0.00355566425314945,0.217886174616346,0,0.0405622095022365,0.0255921145862532,0,0,0,0,0,0
XRP,0,-0.0045822873392991,0,0,0,0,0,0.0864322541473166,0.378161135415109,0,0,0.0295261912660167,0,0.205715279465654,0.0748823560850261,0,0,0,0,0.0454849913306408
BCH,0,-0.00124874307574516,0.42611976766781,0,0,0.310359338512884,0,0.0675597955580661,0,0.0155058295797987,0.026296251311379,0,0,0,0.123180826057539,0,0,0,0,0
BSV,0.0697566807746224,-0.0132409938586243,0.123785276423419,0,0.26210824243189,0,0.279960273663779,0.27679645351579,0,0,-0.00000000000000000173472347597681,0.0246122783796901,0.00000000000000000693889390390723,0,0,0.0714704449436694,0.098067543349708,0,0.062735561018256,-0.0871989669514332
LTC,0,0,0.0435024177354442,0,0.0522968784048501,0.121880100723381,0,0.0914930968496939,0.212575656561185,0,0.114738253627293,0,0,0.17295718743803,0,0,0,0,0,0
BNB,0,-0.00646222677186628,0.322430207833919,0,0.42518299797784,0.000996951377682027,0,0,0,0,0.0574569341382805,0,0.0885041151623557,0,0.0337865267195733,0,0,0,0,0
EOS,0,-0.00291309878294963,0.334759481295133,0,0.146061448389647,0.103333529615542,0.0444141752092672,0,0,0,0,0.161152657321936,0,0,0.148995332295482,0,0,0,0,0
TAGZ5,0,0,0,0,0.55013548967587,0,0,0,0,0,0.0554254686503695,0.0955472779754655,0,0,0,0,0,0,0,0.0713101407876908
XTZ,0,-0.00219481575287213,0.420565397370516,0,0,0,0,0.409714745951875,0,0.0161789012981738,0,0,0.250909612911,0,0,0,0,0,0,0
XLM,0,0,0.11507512290933,0.237835662958185,0.246014228796709,0.0865443943783258,0,0.0263438629596137,0,0,0.0633778050046015,0,0,0,0,0,0,0,0,0.0280027397309856
LINK,0,-0.000444087142483579,0,0,0,0.199863659920226,0,0.190840125292408,0,-0.000624190040646887,0.566482038084491,0,0,0.0525424247998541,0,0,0,0,0,0
ADA,0,-0.00239463183549508,0.197270081871858,0,0,0,0,0.22919483268913,0.10437437964287,0,0.19673356746826,0,0.132151770430764,0,0,0,0,0,0,0
TRX,0,0.00196773473944792,0,0,0.24239960436559,0,0,0.188332599681203,0,0,0.235591567613437,0,0,0.244870994030909,0,0,0,0,0,0
BV010082.INDEX,0.782737921809257,-0.0134236758230463,0.129117208358526,0,0,0,0,-0.474504643027255,-0.749732425660215,0.226207093181324,-1.04432190273197,0.728598977931323,0.492269342426121,0.201149785939761,0,0,0,0,0.0776180911252535,-0.0523183844743391
CVIX.INDEX,0,-0.0044956723418387,0,-0.290763376425606,0,0.0320462125375177,0,-0.338932732113554,0,-0.179925423049582,0.403319033000778,0,0,0,0,0.338035983017334,0,0,-0.584777748762807,0.355307756662302
DXY.INDEX,0.0420648411851728,0,0,-0.093558182504857,0,-0.0178746045945426,0,0.00716066014819812,0,0.00456211360145986,0.0266633665559283,0.0271694055828821,0,0,0.0113834061057965,0,-0.00516685774819759,0,-0.00847706586566867,-0.0189623662514394
SPX.INDEX,0,0.00678735732674638,0,0,0,-0.129707255663975,0,0,0,0,0,0,0.108515379651976,0,0,0.256923588147316,0,0,0,-0.250897419522842
VIX.INDEX,0,0.0242550941851748,0,-0.277426842264516,0.144176758661595,0,0,-0.937342195956171,0,0.133178098642077,-0.197276281476677,0.320107205042127,0,0,0.750147682443947,0.351705899222181,0.283183307826888,-1.39119929819977,-1.66206277975849,0
