,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.234471188319289,0,0.101047473477718,0,0.0103242978576933,0,0.1024060008106,0.0206485515197923,0,0,0,0,0.0761269015435777,0,0,0,0,0,0.0122393227908578
ETH,0,0,0.138304521565548,0.0777174281543668,0,0.412364389967869,0,0,0,0.0188241073607654,0,0,0,0.198131209066271,0,0,0,0,0,0
XRP,0,0.37454769350661,0,0,0.0196811478786106,0,0.154792635142642,0.0332052033438727,0,0,0.135768170615737,0.0153166104057121,0,0.0343226843647289,0.0543970375950493,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0572121184784037,0.13497833577804,0,0.20524228905046,0,0,0,0.173406409793674,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.210393200857191,0,0,0,0,0.264164939681013,0,0,0,0,0,0,0,-0.0338659757920969
LTC,0,0.474683924377311,0,0.110435622284473,0,0,0,0.126563096577383,0,0,0.118558050095008,0,0.0420499649657864,0,0.0351346804984119,0,0,0,0,0
ADA,0,0,0,0,0.0923729019814062,0,0,0,0,0.155789213539334,0.239499063081696,0,0,0.23818664481321,0,0,0,0,0,0
XLM,0,0.0118814107044929,0,0.0395126728872596,0,0,0.236033927693941,0,0.035761665722044,0.00645262952461503,0.130600193701224,0.15233367600699,0,0.261192109366079,0.0835523084274309,0,0,0,0,0
TRX,0,-0.084138466177537,-0.539973574862395,0.271108347974162,0.0588161996763646,0,0,0.49483201409277,0,0,0,0,0.390054350590793,0,0.131553606710127,0,-0.0000000000000000138777878078145,0,0,0
MIOTA,0,0,0.330119569664262,0.00908460899303394,0,0,0.097038725210377,0.141015558325031,0,0,0,0,0,0,0.229324603191653,0,0,0,0,0
NEO,0,0,0,0,0.095810202703509,-0.00000000000000000346944695195361,0.0196640336372219,0.137205473226684,0,0.20779873409988,0,0.0842448689463341,0,0,0.252327202718397,0,0,0,0,0.049158209999382
XMR,0,0,0.233380100985919,0.0296679852258439,0,0.235145233565827,0,0,0,0.0450798178922093,0,0,0.140206525249871,0.103582409293784,0,0,0,0,0,0
DASH,0,0.000122904535796089,0,0.110021209102954,0,0,0,0.199073162386168,0.0281555382880467,0.17921011054514,0.120947125546882,0.104660344899358,0,0.0167447289636215,0,0,0,0,0,0.0328266581435733
XEM,0,0,0.22040657116228,0.00793170088166202,-0.0104280301916353,0,0.0133502203726298,0.428394724914761,0.0266461891700306,0.0679279612167009,0.0936585409458368,0,0,0,-0.0000000000000000138777878078145,0,0,0,0,-0.049426901218191
ETC,0,0,0.327858354186118,0,0,0.283500954217135,0.0994200195047334,0.0637112353758195,0,0.00101840332505907,0.106250348348574,0,0.0488310599636673,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00913585301072866,0,0.00415866411779421,0,0.0311053638254465,0.00931051441034184,-0.00513365786017163,-0.0345357811550803,0,-0.0500346811565662,0.147313906161963,-0.070655550874736,-0.0216438546959127,0,0.0265751253311142,0,0,-0.0709739236321642
CVIX.INDEX,0,0,0,0.09181403018722,0.0229201793461335,0,-0.101710060045868,-0.0907156989688202,-0.030517447504525,0.0164043256749999,0,0,-0.0540837657748009,0.129986467872343,0,0.230035445731988,0,0.360660081796877,0,0.0285243426260298
DXY.INDEX,0,0.0365361902131282,0.0115950111814888,0.0039727010669029,0,0,0.0191016944189036,-0.00789483578723276,-0.000358269568021107,-0.0200839555304234,0,0,0,-0.0317231199368686,0,0,0.0490365685083058,0,0,-0.00368078517699667
SPX.INDEX,0,0,0,0.0327922560849131,0.00252290390904847,0,-0.00651082606065875,0,-0.0275140066665072,-0.0073509432015698,0,0,0,0,0,0,0,0,0,-0.127662067370317
VIX.INDEX,0.24166814780296,0,0,0,0,0,0,-0.00279820576597354,0,0,0.202536256257787,0,0,-0.0795046729631002,0,0,0,0,-1.11910209989747,0
