,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.291333294015569,0.0221214077990017,0.0515094250582741,0,0,0.0405172704094682,0,0,0.0795509914544784,0.0444349483165184,0,0.0398416206968807,0,0,0,0,0
ETH,0,0,0,0.000000000000000000433680868994202,0.10820797027815,0.0757265623548178,0.138152684907876,0.00999318808429181,0,0,0.33269369718862,0,0.00000000000000000173472347597681,0.12512265090421,0,0,0,0,0,0
XRP,0,-0.242821066629912,0,0.02630128390075,0.14838799313566,-0.0993530881616745,0.198881363221461,0.0526365053973829,-0.00000000000000000346944695195361,0.0715975246207066,0,0.103956722741946,0.254709534355695,0.288313633089791,0.138037613729311,0,0,0,0,0
BCH,0,0,0,0,0.306189935440277,0.187155986981591,0,0,0,0,0.133295790765066,0.168040263663505,0,0.1168273362265,0,0,0,0,0,0
LTC,0,0,0,0.209490348431213,0,0,0,0,0.0947054238139076,0.023196127199645,0.119786159618587,0,0,0.138073173146052,0.0191093378885471,0,0,0,0,0
NEO,0,0.124600266685771,0,0.140842024179393,0,0,-0.000000000000000000867361737988404,0.0742274109218132,0,0.0309829394951161,0,0,0.160869724918886,0.246384095412729,0,0,0,0,0,0
ADA,0,0,0,0,0,0.0306727105204665,0,0.0576884813464255,0.0866634914641668,0.212418692794687,0,0.156474642875218,0.0757106014597288,0,0.125543485806504,0,0,0,0,0
XLM,0,0,0.195448549689085,0.209201199035873,0,0.137084504008393,0.335736164244455,0,0,0.20283610871488,0,0,0.057601009093555,0,-0.186290564894476,0,0,0,0,0
EOS,0,0,0.121809866497522,0.0636668924478848,0.0331204421996855,0,0,0,0,0,0,0.429120296990563,0,0.128225728425693,0.142047504651491,0,0,0,0,-0.0226304860527492
MIOTA,0,0,0.0593646266012103,0.0372939511495474,0.0643581647957156,0,0.152895253985943,0,0,0,0,0.212708062351267,0.0222220462857885,0.195693894072926,0.0590411889534946,0,0,0,0,0
DASH,0,0,0,0.0854079735262955,0,0,0,0,0.184370509608915,0.0567902253923907,0,0.120560713022548,0,0.200125042775388,0.00659677033769636,0,0,0,0,0
XMR,0.032669830953588,0,0,0.149997046043924,0.16937108519419,0.0483563753038304,0,0,0,0.163447693623315,0,0,0.0400755495612979,0.1487042691506,0,0,0,0,0,0
XEM,0,0,0.243538156027898,0,0.130906373593006,0.0622235421778746,0,0.172377809664317,0.0870197500365435,0.107786476199778,0,0.00364273244463677,0,0,0.00559358388943684,0,0,0,0,0
ETC,0,0,0.11876384837593,0.20685813089604,0,0.138565950666268,0,0,0,0,0.0642059933389114,0.222088056904501,0,0,0.0333592884794871,0,0,0,0,0
TRX,0.449298042468311,0,0,0,0,-0.560647256490015,0,0,0.0363313232332843,0.336191022071112,0.357706704306207,0,0,0.359806104704279,0,0,0,0,0,0.0182299700802223
BV010082.INDEX,0,0,-0.0146867839591577,0.0256747834398271,0,-0.0110526787558719,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388737320834254
CVIX.INDEX,0.0359022087525282,0,0,0,0,0,0.048661520566566,0,-0.0173995922164297,0,0,-0.0741886653034567,0.0577757460088802,-0.0490045380607876,-0.0376172331346318,0,0,0,0,0.0672281659296464
DXY.INDEX,0,0.0124767669415705,0.00501978975950935,0,0,-0.00519242796705613,-0.00889891608536939,0,-0.0141487767833738,0,0,0,0,0,-0.00317161124223681,-0.114644009970274,-0.0183420379540291,0,0,-0.00420588306056643
SPX.INDEX,0,0,0,-0.0255459475340083,0,0.0172527323966403,0.00310744911180942,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646335267095757
VIX.INDEX,0,0,-0.0756388197347963,0,0.0797613852002621,0.226247481747925,0,0,0.0268765925323174,-0.363644867962969,0,0,0,0.209639865029292,0.0418996421155315,-1.88515426290555,0,0,-4.59914937612438,0
