,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.200217643419672,0,0,0,0.0580178177887702,0.0376215481510828,0.104301429842199,0,0,0.0895109711672185,0,0.0570848392356924,0,0,0,0,0
ETH,0,0,0.142164811019016,0.153656244171877,0,0.175939595359991,0.0302046390587949,0,0,0,0.111215844232016,0,0.051966948255361,0.0773646130177065,0,0,0,0,0,0
XRP,0,0.129325871987976,0,0.110066897171279,0,0.0889782873991087,0,0,0.127933281491511,0,0.0516279968031537,0,0,0.12652919538833,0.0321335466176002,0,0,0,0,0
BCH,-0.0000000000000000138777878078145,0.458478096569134,0,0,0,0.176679189744997,0,0.155245916855985,0.0703659672053922,0,0,0.103678960313454,0,0,0,0,0,0,0,-0.0114345212526607
EOS,0,0,0.0767146466963212,0,0,0,0.0810412830432909,0,0.087811103339942,0.117296204136777,0.107492840474975,0,0,0,0.273324072036567,0,0,0,0,0
LTC,0,0.504642829732985,0.0535159135802436,0.0277871291924748,0,0,0,0,0,0.0629494768001408,0,0.0678874007933458,0,0,0.202918267812621,0,0,0,0,0
ADA,0,0,0.0976355867435217,0,0.142227780962401,0,0,0.576794807693119,0.0396044206042131,0,0.106109027565732,0,0,0.00707564367858278,0,0,0,0,0,-0.0306285086599446
XLM,0,0,0,0.101967501569036,0,0,0.293106442284551,0,0.132103566738454,0.242319452238602,0,0,0.0597872950471772,0.163156297063131,0,0,0,0,0,-0.00896672824363449
NEO,0,0.148512931598486,-0.0463813491953178,0,0,0.0391884406212847,0.147425131600611,0,0,0.118520032803938,0.186623958796573,0,0,0.0502845660175162,0.2068358385962,0,0,0,0,-0.0286407383818391
MIOTA,0.0811157131050934,0,0.0974279832401778,0,0.0689502523345943,0,0,0.0131842220908929,0.342337655638977,0,0.0247248325761868,0.0953480039644573,0.0950611147580722,0.0620658725183611,0,0,0,0,0,0
XMR,0.535252332359796,0,0,0,0,0.204809863749123,0,0.161863266436663,0.0567674570806288,0.0886248862111561,0,0,0,-0.0654921649883481,0,0,0,0,0,0.0684914064658905
DASH,0.309028792923061,0.0298481053546795,0,0.00944963679497661,0,0.0242405416986089,0.0810873566147794,0,0.14469333228342,0.0964182761958905,0,0,0.0559126140263632,0.056751541196549,0,0,0,0,0,0.0530668770137199
TRX,0.542030406677078,0,0,0.0861175740000623,0.111793244642376,-0.0801192033305668,-0.568092437438526,-0.340949292581084,0,0.283641116596523,0,0.767849077343589,0,0.119955611094622,0,0,0,0,0,-0.0716659544699044
XEM,0,0.220471427388858,0,-0.0816141886984909,-0.137830644658468,0,0.354339796861506,0,0.398603729436294,0,0,0,0.197560490099276,0,0,0,0,0,0,-0.0204562227995364
ETC,0,0,0.0701683247419981,0.147774122112535,0.244889682904221,0,0,0.0779939757988338,0,0.13864923707154,0,-0.00000000000000000693889390390723,0.0971389707455876,0.0626994376572384,0,0,0,0,0,-0.0201073575127436
BV010082.INDEX,0,0,0.000000000000000000433680868994202,0,0.0436330790350645,0,-0.0182129581364332,0.00139845079164518,0,-0.0156227313492345,-0.000000000000000000216840434497101,0.122672459744481,-0.0515566145181013,0,0,0,0,0,0,-0.0531687802908297
CVIX.INDEX,0,0,0.0272232461888287,-0.130351706004022,-0.107396408157164,0.010285769452806,0.130710118098772,0,0,0,-0.0530154435968307,0.217951693697167,0.0545128224966069,-0.240492646963168,-0.00225313199433008,0,0,0,0,0.00754736354430278
DXY.INDEX,0,0,0.0177426216358275,-0.00859762670119331,-0.00385495311424164,-0.00860298518509786,0,-0.0151945585743889,0,0,-0.0124781382466156,0.0263860233298351,-0.0146913135867209,0,0.0163577404748956,0,0,0,0,0.00910007315552608
SPX.INDEX,0,0,-0.024875301604969,0,0,0,-0.03694249547264,-0.00382471122782514,0.0450510314218038,0,0,0,-0.0330153497034916,0.00699394182053443,0,0,0,0,0,-0.0868661363432705
VIX.INDEX,0,-0.282123790019742,0,-0.209701203041822,0.167780511833147,0,0,-0.313924783323,0.374149728249882,-0.0638012778566694,0,0,0.135944004881106,0.156204878075297,-0.0343260289539396,0,0,0,-4.76078817575681,0
