,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0274981506928309,0,0.00294843662438241,0,0.24942512421775,0,0,0,0.0126810608697447,0,0,0,0,0,0,0,0,0,0.0000000000000000000271050543121376
ETH,0,0,0,0.00208434073054479,0,0.300854495179728,0.158639663324205,0.0364774413159678,0.108421488578268,0.0787027046933603,0.242721052271508,0,0.0350463046492131,0.196418686750196,0,0,0,0,0,0
XRP,0,0,0,0.0071110439743831,0.0737301800644266,0.387383449678373,0,0.196431323773829,0,0,0,0.668871550454614,0,0,0,0,0,0,0,0
BCH,0,0.232780852714798,0.0615206809160895,0,0,0,0,0.190458920823304,0,0.247671506716401,0,0.15471289652057,0,0,0,0,0,0,0,0.0499528056749012
XLM,0,0.114612590564793,0.132478022554715,0,0,0,0,0.360739927232191,0,0.136289892307751,0.0190815044679477,0.00442468507462639,0,0,0,0,0,0,0,0
EOS,0.351680517595029,0.512206817050977,-0.0423599233848049,0.0728371322189124,0.0837831672558393,0,0,0,0,0.0667858751704051,0,0,0,0.0678612224337199,0,0,0,0,0,-0.0178275510214689
LTC,0,0.252293590780879,0,0.146783482404737,0.0269473613383476,0,0,0,0,0.0635951559546235,0,0.296041028876121,0,0,0.00407689454133899,0,0,0,0,0
ADA,0,0.0355410299713057,0,0.0620329857484122,0.240294154729514,0,0.151121295984323,0,0,0,0.115479646219547,0,0,0.413608916626492,0.20328265627794,-0.100079215428484,0,0,0,0.0528604132786999
XMR,0,0.331082838688137,0,0,0,0.291985002397998,0,0,0,0,0,0.05134135647684,0,0,0,0,0,0,0,0
TRX,0,0.212485163418286,0.0854744891165687,0.0918426158945988,0,0.105384653486115,0,0.138357220658544,0,0,0,0.125719132767014,0.141590147594731,0,0,0,0,0,0,-0.0743763563340577
DASH,0,0.328049638100862,0,0.00290726102371435,-0.0502409418487678,0,0,0.310969239022057,0,0.0321496309919616,0,0,0,0,0,0,0,0,0,0.00794939226050956
MIOTA,0,0,0.105117530219473,0.0644273882900931,0.103375245311021,0,0.0745168172172711,0,0,0.217308094389936,0,0,0,0.100139598723186,0.204471090639852,0,0,0,0,-0.0599526976316387
BNB,0,0.296506014212226,0.0125032724330283,0.0374457382799993,0,0,0,0,0,0.05204542340155,0,0,0,0,0.06599540707046,0,0,0,0,-0.0333104284774901
NEO,0,0.0469383719967191,-0.0386236937633719,0.108833667231578,0,0,0,0.361058339660934,0,0.0218302014673327,0,0.297288172082185,0,0,0,0,0,0,0,0
ETC,0,0.198302131810463,-0.0345939246496436,0.0816110010719281,0,0,0.124771017615082,0.160265737814375,0,0.0111317382819273,0,0.188908989939325,0,0,0,0,0,0,0,-0.0711869238365935
BV010082.INDEX,0,0,0.0469716286657848,-0.10450987295978,0,0,0,-0.0242767056675006,0.104295941110057,0.00160721425989732,0,-0.0539345097920956,0,0,0,0,-0.0102930004301954,0,0.412639811601444,-0.00457141337834504
CVIX.INDEX,0,-0.0455075813690765,0.049601314485524,-0.0128442738425578,-0.111606760951023,0,-0.387158510126613,0,-0.0732490859311079,0,0,0.389590546887172,0.144098545644354,0,0.0895175854388528,-0.143763762360347,0,0,0,0.0285141047862286
DXY.INDEX,0,0,-0.00604068193822047,-0.0112729723985972,0,0.000658884041582327,-0.0104532639136837,0,0,-0.0397656267259615,0.00919644551654299,0.0300726794233819,0.0110028822954158,0,0.0176346857318131,0.038160444216039,0.0442959595357579,0,0,0.00486323736879262
SPX.INDEX,0,-0.040207831292717,-0.0295756723633337,0,0,0,0,0.0204836339380492,0.000000000000000000216840434497101,0,0,0.0547150434246249,0,0,0,0.0568293721882498,0,0,0,-0.125531010185532
VIX.INDEX,0,0,-0.0917165824694192,0.255043602205204,-0.228506005863232,0,0,0,0,0,0,0,0,0,0,0,0.0810579784395195,0,-6.33026742686642,0
