,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0755008880008694,0,0,0.00248905535679202,0,0.0748141621419597,0.0206636236917074,0.107641612963906,0.138306305290098,0,0,0,0,0.102507956989927,0,0,0,0,0
ETH,0,0,0.264140779302375,0.083380526106096,0.00965070315094002,0,0,0.0951248587374937,0.0801954033814281,0.146446038052902,0.0405205491529863,0.00883500941133476,0,0.0640955990937531,0.0858280346044479,0,0,0,0,0
XRP,0,0,0,0.0979153848927889,0,0,0.199764424482696,0.0532250241638455,0,0.185188457418253,0,0,0,0,0.0448572256507709,0,0,0,0,0
BCH,0,0.325638724473219,0.0535120778737763,0,0,0,0.0530115470718354,0.156085157117097,0,0.172967032370101,0,0,0,0,0.0680294930087626,0,0,0,0,0
EOS,0,0,0,0.106288962932259,0,0,0,0.383549783442633,0.170738708231146,-0.140511557425798,0,0.560258691511693,-0.157545742076106,0.266957073261944,0.0570619455017696,0,0,0,0,0
LTC,0,0.306374766730492,0.137440412924798,0.180614563994533,0,0,0,0,0,0,0.0483787351599868,0,0.0282033682443416,0.0735746698731976,0.0635200273273269,0,0,0,0,0
XLM,0,0.216779450521867,0,-0.000000000000000000867361737988404,0.129920830268426,0,0,0.371011980901755,0,0.00617302879979645,0.1029565850606,0,0,0,0,0,0,0,0,-0.0177892798791598
ADA,0,0.0400534785150248,0,0,0.110837690728071,0,0.305594327446006,0,0.117599834656954,0.18898600298627,0,0,0,0.0100780119629775,0.063213137366718,0,0,0,0,0
TRX,0,0,0.189754841703482,0.0933113057422512,0.192359676519483,0,0.299927053682049,0,0,-0.118934922807033,0.0314602630904204,0.21791035464684,0.104282923607771,0,0.0869884405519551,0,0,0,0,0.0019094408637118
MIOTA,0,0,0,0.0574862488849939,0,0,0.299633680680594,0.385480441549693,0,0,0.162085768242038,0,0,0,0.0245080161440332,0,0,0,0,0
NEO,0,0.0134372218027223,0,0,0.0104957252863737,0,0.106376056432346,0.156378769090635,0,0.217907888376706,0,0,0.0421957153582678,0.172593932509539,0.00428363877029643,0,0,0,0,0
XMR,0,0,0.219150461808361,0.185286826593523,0,0,0.00175073982078425,0.196381010648338,0.0317167319160881,0.0591970106816262,0.00201325321509473,0,0,0,0,0,0,0,0,0
DASH,0,0.112368839174996,0.191185493427588,0.0589631254784937,0,0.0258003180723781,0,0,0,0.0921295291866018,0.175334224814308,0,0,0.053490299460838,0.0164755807074409,0,0,0,0,-0.0373615841377115
BNB,0,0.12429422130037,0,0,0,0,0.0869375122257172,0.17591291842664,0,0.234602823539704,0,0,0,0,0.044076207382419,0,0,0,0,0
ETC,0,0,0.247057406733084,0.0911958435792102,0,0.253112988447744,0,0,0.266228515225287,0.102300291644767,0,0,0,0.136799750071949,0,0,0,0,0,-0.136732050637711
BV010082.INDEX,0,0,0,0,-0.0321465943299539,0.0934793609821236,-0.0939475412812492,0,0.0871003253505242,0,0,0.132956939510584,0,-0.0409095618014636,-0.0580425013964819,0,0,0,0,-0.28228244200232
CVIX.INDEX,0.126582611349863,0.0954889295119546,0.0722635227512425,0.182358771126134,0.00253299288714253,0,-0.0545421867452009,-0.0820968839459831,0.0099907458750831,0.0629449310202858,0.0727554069233871,-0.154144304770579,-0.288670824985745,-0.0348583411065172,0.0456289897082392,0.371184166404468,0,0,0,0.16731893332425
DXY.INDEX,0,-0.00471689804970949,0.0000000000000000000135525271560688,0,0.00589175010123057,0,0,0,0.0125899899976272,-0.0148727247537106,0,0,0,-0.00323127550789055,0.0173388415492178,-0.0658133611630165,0.0192707555343381,0,0,0
SPX.INDEX,0,0,0,0,-0.00625240181834012,0,0.0043819316507653,0,0,-0.0157089030277235,0,0.0105166218973568,0,0,0.0194799625656203,0,0,0,0,-0.0800131565441741
VIX.INDEX,0,0,0,-0.341478557074888,-0.206576910510471,0.463613181307871,-0.127830254189835,0,0.0732189745794037,0,0.413889492893396,0,0,-0.124095757614169,0,-0.7644053825956,0,0,-2.74215447062455,0
