,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.120606832559287,0,0.0618538771816843,0.0505113085335553,0.0868052873435451,0,0.072864245352491,0.178351275021611,0.0198522563841064,0.0343558312093971,0,0,0.0455571400315123,0,0,0,0,0,0.0771000121534118
ETH,0.20577278982591,0,0.159755974136197,0.116821992093662,0,0.406640501845526,0,-0.029746074182025,0,0,-0.0217439539257402,0.0331404819227035,0.0183328279153959,0.0476816190161078,0,0,0,0,0,0
XRP,0,0.231026688581085,0,0,0.0936607864632103,0,0,0.20186439256042,0,0,0,0.108900726629706,0,0.016599003100818,0.174480530107028,0,0,0,0,-0.0520091694346742
BCH,0,0.426080545319247,0,0,-0.011248861735373,0,-0.129851729240001,0.00130229541945816,0.000882815232357251,0,0.00874258360006338,0.225527208363529,0.474738257667569,0,0,0,0,0,0,0
EOS,0,0,0.144255189013952,0.157437451797658,0,0,0,-0.103350042352731,0,0,0,0.144032071338879,0,0,0.290625172175059,0,0,0,0,-0.0860542877478613
LTC,0,0.256971099454408,0,0.167287076958207,0,0,0,0.187163154220847,0.102247761564122,0.055067404051529,0,0,-0.000000000000000000867361737988404,-0.000000000000000000433680868994202,0,0,0,0,0,0
ADA,0,0.281648469401543,0.15036453902208,0,0.127988121670528,0,0,0.15823520532699,0.156597555660598,0.125534791834088,0,0.0232929662606044,0,0.0838786948273976,0.0685809539975465,0,0,0,0,-0.0120124965751895
XLM,0,0,0.168624404838548,0.0878969637391829,0,0,0.217709624530336,0,0.167094773699423,0.100854296371093,0.0485085481575219,0,0,0.1591142814953,0,0,0,0,0,-0.026242004877994
MIOTA,0,0,0,0.326083639375998,0,0,0,0,0,0.260336818418499,0,0.115241937734002,0,0,0.215726761353277,0,0,0,0,0
NEO,0,0.108144579046658,0,0,0.0578254825389691,0,0.0261345700432838,0.207198726677571,0.0571990178021973,0,0.0184859474646484,0.201772481695442,0,0.0135086174638234,0.182390897583591,0,0,0,0,0
TRX,0.114234165933422,0,0,0.683039882311378,0,0,0,0,0.213272083258684,0,0,-0.247209450640044,0,0,0.133739224896396,0,0,0,0,0.0969453043846731
XMR,0,0.159910310352038,0,0.0368747106710853,0,0.0825223446725248,0.0242117908806148,0.0183048259950082,0.0889523609813144,0.148902179990807,0.124372964964232,0,0.232763927400043,-0.0628241456339381,0,0,0,0,0,0
DASH,0.0780746777408263,0.0979896452790363,0,0.254344474546199,0,0,0.0728744816090624,0.0541767783607743,0.103260377789923,0,0.0920917815930037,0.112883738705066,0,0.0470510730525364,0,0,0,0,0,0.0717351382599302
XEM,0,0.259445062143346,-0.120696210230502,0,-0.108982992409701,0,0.257864659986783,0.14572090691073,-0.0652622658695669,0.324007260840439,0.193509565505986,0,0,0,0.114481699854695,0,0,0,0,-0.0365235233421236
ETC,0,0,0.404067273673251,0.055243827213052,0.10925681691246,0,0,0,0.106632994976489,0.154108455291823,0.0543841038756369,-0.104568118696509,-0.00000000000000000173472347597681,0.163367459910763,0,0,0,0,0,-0.093071335194922
BV010082.INDEX,0,0,0.0320646013853358,0,0.0232291525117324,0,-0.0213503475778674,0.026744933997529,0,0,-0.0362912964828994,-0.00312723297425844,0.0859041889053758,0,-0.0126827819921493,0,0.109211428092502,0,0,-0.0632306030206318
CVIX.INDEX,-0.118357600001793,0,0,-0.0525307276891015,-0.0730725324011983,0,0.0762621197027998,0.0527859327799137,0.0548078168837353,-0.143580487307426,0.0221809636885763,0,0.241141541824553,-0.164386865213863,0,0,0,0,0,0.000000000000000000216840434497101
DXY.INDEX,0,0.00412029791727149,0.0118338329423056,0,-0.00344213408359442,0.0000337365729060385,0,-0.0309458675987385,0,0,-0.0108490457521501,-0.00382555992354898,0.035420894649057,0,0.00392439907822329,0,0,0,0,0
SPX.INDEX,0,0,0,0.0134124218642777,0.00830067072399855,0,0,-0.00555308720301401,0,0,-0.0334818290539588,0,0,0,0,0,0,0,0,-0.112648478531714
VIX.INDEX,0,0,0,0.0224088888330652,0,-0.0633815200557929,-0.00000000000000000693889390390723,-0.189383140741704,0,0,0.154745003567836,0,0.194432049987931,0,-0.0299082725477473,0,0,0,-3.94986267937417,0
