,BTC,ETH,XRP,LTC,XEM,DASH,ETC,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0170560087873621,-0.0388926048418969,0.612959618976498,0.045703375571116,0,0,0.0179428045612793,0.0984654035077672,-0.0402000965973699,-0.0000000000000000000271050543121376,0,0,0,0,0
ETH,0.745291551832173,0,0,-0.432832079155832,-0.0616801783181608,0.744384453688168,-0.29079421191348,0,-1.50030965077951,0,0.289469213435843,0.237742396967716,0,0,0,0.189328453943854
XRP,0,-0.0149215076183661,0,0.0692271898569722,0,0.0670999246107773,-0.0627028811015261,0,0,0.084150232498692,-0.0276166435457158,0,0.411561593365752,0,0,-0.0905971906244466
LTC,0.919666783701346,-0.144882790572754,0,0,-0.0966752920272953,0,-0.136436000072155,0.286425449621859,-0.136966096170222,0.203517037476709,0.0653443493779893,-0.356448181056555,0,0,0,-0.103043554644084
XEM,1.22345219737843,0.130608887916176,0,0,0,0,-0.260122552673495,0,0,0.565222528112669,0.358212610841816,0,0.538148455220869,0,0,0.192488712030753
DASH,-0.435496241925335,0.0371359900431119,0.305022310888214,0.368275195546417,-0.0165149882937165,0,-0.0310329090299344,-0.0177025706284714,0.137637273276049,0.0823583574924107,0.132592175161865,-0.473625096655488,0.0684455963607504,0,0.834179178144857,-0.0074042570305657
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0.300255921331564,0.0750759160680253,-0.0498219150437192,0.287820025978398,-0.0603073331519295,0,-0.0431324044140206,0,0.222060171393861,-0.0000000000000000000271050543121376,0.0136601876063892,0,-0.180998956812739,0,0,0.0830991944412647
XMR,0.819442966984742,-0.22112908747958,0.273961825173632,-0.246642765983897,-0.0844755966230475,0.0561940392629442,-0.109183197128474,0.128492524139604,0,0,0,0,0.00000000000000000693889390390723,0,0,0.010989962467268
XLM,0,0.166682063482507,0,0.233665018193181,0.169806378928725,0.0449800582254669,0.0259277586115627,0,0,0,-0.208684098441111,0.54698822703987,-0.239411066630694,0,0,0.204712319609971
DGB,-0.727937831205968,0.250094802084884,0.0590883056630662,0.595386003167613,0.126565176028157,0,-0.149621213112828,-0.120355409466506,-0.00921525495500134,-0.147850385842092,0,-0.0544266878565758,0,0,0,0.0610190368565263
BV010082.INDEX,-0.130627679634102,0.0219214197817012,-0.171319317387419,0,0.0256238176029021,-0.245298588762008,-0.0238374349043894,-0.0140856280440697,0,0.056342804324489,0,0,0.0940804963045641,0,1.0099740970436,-0.0621414485418423
CVIX.INDEX,0,-0.0746498496167737,0.0112334009384255,-0.243595267532575,0.0297554746973211,0.374421425674768,-0.123108490421249,0,0.128148708120641,0,-0.0100844772989567,0,0,0,0,0.16091608683886
DXY.INDEX,0,-0.0148077909334807,0.00586270963198281,0,0,0.0367161265484034,0,0,-0.0330310955303509,0,0,0,0.0417275574820699,0,0,-0.00167021947508772
SPX.INDEX,0,0,0,0,-0.0081887305212888,0,0,0,0,0.0157065254976756,0,0.0204905674956508,-0.00658899150860882,0,0,-0.0815282222687082
VIX.INDEX,0.352467687403043,0.215770085617395,-0.675198154415433,-0.0209092315869975,-0.18052687682145,0,-0.171863904368116,-0.895982263317918,0,0.571551553070299,-0.251181848440767,0,1.10962605139215,0,-1.84664047972503,0
