,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.510921409676558,0,0.0103905276637927,0.0717993560280335,0.163663502362328,0.013234816033909,0,0.0505513840476091,0,0,0,0,0
ETH,0,0,0.111356559539258,0,-0.217055141793623,0.26193996068072,0.0662855942117843,0.0478481149238461,0.0993097655574693,0,0.222481432984166,0,-0.686215565077578,0,0,0
XRP,0,0,0,0.106367708705428,-0.00351792383613396,0.0264648939276513,0.0299426910989047,0.0554707515891637,0,0,0.00829266744645108,-0.00648772963539836,0.286621834243829,0,0,-0.0932158446647181
LTC,1.01984460082031,0,0,0,0.00173574711859698,0,-0.0279647312970107,0,0.0135377622664386,0,0.00495188781916606,0,0,0,0,0
ETC,0,-0.765145819378034,0,0,0,0.480134486344715,0.0689560970475533,0,-0.871022709072079,0.11347850354005,0.0478250274138452,0,0,0,0,-0.501700801779012
DASH,0.125257300833379,0.140382862839032,0,0.0692601803693285,0.0423005204863115,0,-0.0130589265823466,0,-0.04050940041417,0.234594582726162,-0.0920688794290953,-0.615134550152903,0.286055346692555,0,0,-0.13110565651738
XEM,0.896137613943405,0,0.388456402601284,0.285037019559022,0.0507020360269243,0.394143548807704,0,0.0697311220667127,0,0.500188550032113,0.172872627886849,1.12048113837092,0.0414731342677518,0,-4.46119400020162,0
XMR,1.0317514376342,-0.0431116319141617,0,0,-0.0583235548073157,0.0985989910696836,-0.0994782764644043,0,0,0.121031913654462,0,0,0,0,0,0
DOGE,0.259787945699648,0,0,0.349401108343107,0,0.192939130998987,0,0.0229329998379114,0,0.0799410267411614,-0.0754882409382018,0,0,0,0,0.109974902823897
XLM,0.0762360621013729,0.290977776625436,0,0,-0.0128826772684882,0,0.148289975631557,0,0,0,-0.3611357506367,0,-0.309636303381504,0,0,0.128541097768352
DGB,0,0.684153208517469,0,0,0.113985687816856,0,0,0,0,0.313037118631577,0,0,0.578592976528106,0,0,0
BV010082.INDEX,0,0.0461115987794439,-0.305435607437762,-0.127527968289619,0,0.0155172080239688,0.047108322931808,-0.0447893127266797,0,-0.0105125847053214,0.0172308830933849,0,0.0616456470518311,0,0.338826933508867,-0.0894565629577869
CVIX.INDEX,-0.0861488920704582,-0.241186092046172,0,-0.198693758643511,0,0.210562521302845,-0.00000000000000000346944695195361,0.165557661845494,0,0.126747422039577,0.0534187647195728,0,0,0,0,0.161434905476862
DXY.INDEX,0,0,0.047242496347027,0,0.00249668592783926,0.0364711420307563,-0.0130271393612589,0,0.00388365050152333,0.00606218732332545,-0.0229317968659304,0.0980099818523255,0.0130175569312839,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00469687081497652,0,0,0.00959376422152076,0,0,0,0,0,-0.0842869128425779
VIX.INDEX,0,0.194675148810483,-0.533392704089742,-0.185306990844568,0,0.196595090940845,-0.121076373092062,0,-0.543526261649675,0.478143967729154,0,0,1.05642770443447,0,0,0
