,BTC,ETH,BCH,XRP,LTC,XEM,DASH,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0916381447638468,0,0.0611651018446976,0.0310662717061021,0.0133789863094319,0.0455743230896618,0.0440451288378232,0,0,0,0.084803124469032,0,0,0,0,0
ETH,0,0,0,0.0802921739947668,0,0.0392566834307964,0,0.0940138835170034,0.0966872875103998,0.151636082769896,0,0,0,0.0571515140915332,0.174417687928311,0,0,0,0,0
BCH,0,0,0,0,0,0.814691438028393,0,0.29519742273861,-0.585186528031651,0,-0.0469991837582569,0.433048048801106,-0.988177108225317,0.474549093078008,0,0,0,0,0,0
XRP,0,0.415379263803336,0.0323997910695567,0,0,0.0443863295199574,0,0.0937114805795369,0,0,0.0141697730116337,-0.0307620130797675,0.113912711094734,0,0.0330705697588553,0,0,0,0,0
LTC,0,0,0,0.0780141928561688,0,0,0,0,0.0675445731948669,0.201957323784698,0.0232950901101264,0,0.0705031114264609,0.0439495057359879,0,0,0,0,0,0.00413756793969459
XEM,0.313897521028793,0,0.0273156118442534,0,0,0,0.118681461298705,-0.0551535679863865,0.00899397357704669,0,0,0,0.254878386870769,0.273717983290458,0.0496183489084889,0,0,0,0,0
DASH,0.138495036949243,0.0418391555485346,0.0407284819102428,0,0,0.106881164356661,0,0.00674747850549995,0,0,0,0.262463960021098,0,0.158370266576427,0.063066075434637,0,0,0,0,0
XMR,0,0,0.0497233378164978,0.247787788664657,0,0,0.195911031219572,0,0.0738930834305069,0,0.0318954244487806,0.0401386112212673,0.135368421165124,0.0388686937715413,0,0,0,0,0,0
MIOTA,0.148528880826987,0.0763596108812209,-0.0731369758729037,0,0,0.139421071363889,0.41624087351307,0,0,0,0.149831795193721,0.153347473031285,0.100038873071084,0.0686713976713714,0.00000000000000000346944695195361,0,0,0,0,0
ETC,0,0.27986501423669,0.000929934786569656,0,0.193283228768993,0,0.0416004694447112,0.00648301962575781,0,0,0,0,0,0.116259878567368,0.0506213896225958,0,0,0,0,0
NEO,0,-0.03716381795456,-0.0283342450535531,0,0.209552350123702,0.176545776197872,0,0,0.123660437141029,0,0,0,0,0.511477413375618,-0.0565281287960246,0,0,0,0,-0.0262885714283447
ZEC,0,0.109939125778679,0,0,0,0,0.0544170637897648,0.0656069772160736,0.195440808707228,0,0,0,0.123097221443151,0.026508310309761,0.0306826781963341,0,0,0,0,0
XLM,0,0.0401485670977594,0,0.0772488875642958,0,0.137997436662566,0,0.29530266459359,0.0529039510210856,0,-0.0441895339821752,0,0,0.309458552042931,0.210220853144543,0,0,0,0,0
EOS,0,0.233804570570455,0,0,0,0,0,0.157988750093297,0.215674883607721,0.282182764321941,0.130439676108887,0.087914078721557,0,0,0.060998548533999,0,0,0,0,0
BAT,0,0.0514922539690418,0,0,0,0.0999593270045375,0,0,0.0279425781931681,0,0.186719634524852,0.248934899769661,0.312121080278832,0.0655236267673168,0,0,0,0,0,-0.111882509503619
BV010082.INDEX,0,0,0,0,0,0,0,0.0156890263401167,0,0,-0.0353152938301145,0.037394070863631,-0.0390191777829901,-0.00592583992014146,0.0558600482396337,0,0,0,0,-0.0201032349974888
CVIX.INDEX,0,0,0,0.0163583322370075,0,0,0.0425787037806506,0.0332202142153197,0.0328439808225078,0.0942706780647386,0,-0.0852930093382965,-0.0418553309426688,-0.0333427829640164,0.00120830344569816,0,0,0,0,0.064830471164288
DXY.INDEX,0,0,0,0,0.00747592857742727,0,0,0.00795521864617806,0.00933111784095709,0.00341711394583824,0.000768442183845042,-0.0173925105840852,-0.00419089598278766,0,-0.0000000000000000000542101086242752,0,-0.00850876772413422,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00848991358072973,-0.00500059722553928,0.00223532477156055,0,0,0,-0.00155456418175243,0,0.00298770465784799,0,0,0,0,-0.0497937520063958
VIX.INDEX,0,0.0924773731507647,-0.0452524744691269,0,-0.171710098334298,0,-0.241574494214023,0,0.119372568144807,0,-0.0630924508149485,0,-0.0929026196924881,0,0.208808802952241,0,0.334251792814575,0,0,0
