,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0435363438470029,0,0.0838304065557728,0,0.0623030894233758,0,0.139880739871065,0.0914127003673422,0,0,0,0,0.0362556045136801,0.0347968664887618,0,0,0,0,0
ETH,0,0,0.53287263392649,0,0.00159564514701081,0,0,0.0923374613296564,0.0923417025003031,0,0.0779458695970837,0.0268381141204325,0,0.0940689487648023,0.0273106144939934,0,0,0,0,0
XRP,0,0.0738428410804122,0,0.0428108427799488,0.0287279486834444,0.187426339877235,0.0920839067574382,0,0.0685307593486969,0,0.191731999502154,0,0,0,0.110782749294035,0,0.0565467752420393,0,0,0.0380734744455067
BCH,0,0.372250612363359,0,0,0.0902864438652441,0,0,0.100491466939468,0.0409615062034254,0.195634553111754,0,0,0,0.0563628294212568,0.0374917807067781,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.260099846727432,0,0,0.421551885040267,0.321804273896983,0,0.11310813869563,0,0,0,0,0,0
LTC,0,0.179875066169907,0,0,0.214087728000724,0,0,0,0,-0.000000000000000000867361737988404,0,0,0,0.0385226337639156,0.254611825509935,0,0,0,0,0.000000000000000000867361737988404
XLM,0,0,0,0.114509856517119,0.161804849364348,0,0,0.262065152069615,0.0984480884203257,0,0.030596076589057,0,0,0,0.0376473309408813,0,0,0,0,0
ADA,0,0,0,0.0620345377737844,0.125686681556825,0,0,0,0.148416993174176,0,0.306923163095477,0,0,0,0.150680475128816,0,0,0,0,0
MIOTA,0.152647268777828,0,0,-0.0174175724666407,0,0,0.403152538763377,0,0,0.573706798285746,0.0258085604331659,0,0,0.0319396867006188,0,0,0,0,0,0.0539386576256417
NEO,0,0,0,0,0,0,0,0,0.133181559918795,0,0.176480014412245,0,0,0,0.448562693644131,0,0,0,0,0
TRX,0,0,0.28298685831443,0.176699391929182,0.223947626530877,0,0,0.00644781839742963,-0.0521890285253131,0,0,0.259453290707278,0,0.101337708691238,0,0,0,0,0,0
XMR,0,0,0,0.132861111947513,0.00000000000000000346944695195361,0,0,0.258982886477607,0,0.231277840309286,0.0927219524139623,0,0,0,0,0,0,0,0,0
DASH,0,0.100442626880827,0,0,0,0,0,0,0.0804133670329358,0,0,0,0,0,0.320589500979952,0,0,0,0,-0.0449891417965247
ETC,0.192757423581706,0,0,0.30539856043651,0.114324260501625,0,0,0,0.230936453452865,0,0,0,0,0,0.138231989128803,0,0,0,0,-0.0326224174438556
XEM,0,0.258449407491542,0,0,-0.00000000000000000173472347597681,0,0.11143308407542,0,0,0.206149287255899,0.175649939574534,0,0,0.142073138970197,0,0,0,0,0,0
BV010082.INDEX,0.0394258705600811,0,-0.119984029431008,0,-0.174959826316861,0.0920028713899635,-0.0666686516368769,0,0,0,0.118987536088424,0.125903783091128,0,0,-0.00485460461361574,0,0.049450684740116,0,0,-0.160661402113369
CVIX.INDEX,0,0,0.306896614692014,0,0.00159238605060019,0.0201940362772583,-0.0259435316135212,0,0,0.0451659994799947,0,-0.092985980429052,-0.115767499810705,0.00413400165487127,-0.0676008562673427,0.247749807599145,0,0.560338341514503,0,0.109171340736999
DXY.INDEX,0,0,0,0,0.0223433026127222,0.0124703794350695,0,-0.0112804669185572,-0.0108086264974253,0,0.0180638711020825,0.000000000000000000216840434497101,0,0.0119763793881984,-0.0401191497490394,-0.0557081462882612,0.0215448201927164,0,0,0.00265880662749423
SPX.INDEX,0,0,0,0.0177844205883224,0.00764566714166229,-0.0173491344909663,0,0.00296891619694709,-0.0164996146088751,0,0,0,0,0,0,0,0,0,0,-0.0586636050071829
VIX.INDEX,0,0,0.45686066499063,0,-0.449845847633815,0,-0.327751921952836,0,-0.118872491416198,0.0880694384598948,0.288366226097992,-0.409829806493666,0.0900036622507476,0,0.346478325243696,-0.588940097618198,0.17649070123791,0,-1.70954081319159,0
