,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.120919914846352,0.0882452033324753,0,0,0.307475160634551,-0.0680588998728577,0.112091653516054,0,0.0235825722881349,0.205955443571744,0,0,-0.0649486263336987,0,0,0,0,-0.00979071794487359
ETH,0,0,0,0.128708227306568,0.116675060535908,0,0.141455997448141,0.286985205007293,0.0369753591595042,0.0467612931035873,0,0,0,0.221436857534542,0.0325416667506438,0,0,0,0,0
XRP,0,0,0,0.0838847745756494,0.0629474989697352,0.0183211550494143,0.222675748942594,0.167603534879336,0,0,0.190267317488445,0,0,0.156999677494828,0,0,0,0,0,0
BCH,0,0.0413209545776274,0.0925575974870468,0,0.289432382331727,0,0.136015759871302,0.175400246250639,0,0,0,0,0.0000000000000000138777878078145,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.27118278550851,0.0622914587588409,0.0780351163630355,0.0811909488536874,0.289403066199275,0.189990995599627,0,0,0,0,0,0,0
XLM,0,0,0.0951584493066656,0,0.129933394261592,0,0,0,0.190631296617984,0,0.192411388088059,0,0.0927182236229349,0,0,0,0,0,0,0
LTC,0,0.282633258890882,0,0.15162679845129,0,0,0,0,0.0240394558911314,0,0.221434046502924,0,0,0,0,0,0,0,0,0
ADA,0,0,0.111127061233438,0.149095693148115,0.152555247334306,0,0,0,0.100151115032374,0.144672612283208,0,0,0,0.0955788525705158,0,0,0,0,0,0
XMR,0,0.0389618991639956,0,0.157317694630429,0.277223552031495,0.0542524569063439,0,0,0,0.159378008369916,0.0574592629014775,0.0185717382518612,0,0.0129764288050717,0,0,0,0,0,0
DASH,0,0.371700083508273,0,0,0,0,0,0.0837548528537373,0,0,0,0,0.319794352675144,0,0.052025795507993,0,0,0,0,0
MIOTA,0,0,0.086184655923235,0,0,0.14383806603232,0.226835301002961,-0.115198404036175,0,0,0,0.442402763306984,0.320271254375913,0,0,0,0,0,0,-0.0379450675050473
TRX,0,0.14741480889084,0,0.0308780815800066,0,0,0,0.371644383525025,0,0,0.0161487612038086,0,0.277313545252051,0,0.214672323501438,0,0,0,0,0
NEO,0,0.000000000000000000433680868994202,0.0597698101638043,0.166438415326794,0,0,0,0.137550108541235,0,0.135159227948477,0.268405802942785,0.174250519572734,0,0,0.138513349875321,0,0,0,0,0
ETC,0,0.258589695663563,0,0,0.133397473455863,0.257018788575141,0,0,0,-0.0715892299323391,0.265940974613893,0,-0.0987664273645917,0,0,0,-0.317419483662943,0,0,0.179679432988866
BNB,0,0,0,0,0,0,0,0.352512077848475,0,0.296141312232757,0.100196837087718,0,0.0248070554153894,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.052582040723161,0,0,-0.0532648510721307,-0.037535278421848,0,-0.0335252340915302,0,-0.006978528441794,0,0,-0.0466530960359607,0.108257297900766,0,-0.0366075114132182,0,0,-0.06566904868448
CVIX.INDEX,0,-0.0793221511910076,0.092642539373363,0,0,-0.141259623818247,-0.113288994927458,0,0,0,0.0841423679083459,0,0,0.139651613421933,0.0771267134724608,0,0,0,0,0.053548729690509
DXY.INDEX,0,0,-0.01091264507808,0,0,0.00137316332065611,0,0,0,0.0199995259434174,-0.00517259698163872,-0.0252316427520137,0,0.0173320485001006,0,0,0.0754837133960427,0,0,-0.0104295831747719
SPX.INDEX,0,0,0,-0.000648616477433157,0.0134389487307784,-0.0154290109888908,0,0,0,0,0,0,0,0,-0.0198149370240402,0,0,0,0,-0.0520527771475877
VIX.INDEX,0,0,-0.208990342305632,0.48305910861698,-0.204461882650764,0.187410044635479,0.151918742411067,0,-0.293528133681081,-0.305526590133748,0,0.33300349428649,-0.323187751605987,-0.106152028282326,0.287950859743183,0,0.13188142892091,0,0,0
