,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0210884050360949,-0.0372888269334277,0.0607583645432602,0.0978693265652867,0.147632449810025,0,0.00229170483880456,0,0.0395304272909222,-0.00896799340398192,0,-0.18062265801789,0,0,0
ETH,0,0,0,0,0.119074888832707,0,0,0.0583761798639418,0,0,0.0333065707176922,0.00384215021257279,0.0510049888035916,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.407212266447719,0,-0.0529732289567583,0,0,0,0,0,0
XEM,0.0728663192525903,-0.160424717487893,-0.075661616253411,0,-0.556803283885995,0.106278608041921,0.136224970452802,0.12376571392644,0,0.039612460982386,0.0372362048685246,-0.00317701953332097,0.445585361530152,0,0,0,0,0
ETC,0,0.0661583530704787,-0.0574533458923906,0,0,0.107589655312569,0,0,0,0,0,-0.0356154133811622,0.236593305279839,0,0,0,0,0.112492738109993
LTC,0.469330840414067,-0.0390992620729744,0.0190127991251066,0.168310241070316,0,0,0.301759324732242,0.182471960363413,-0.138165552880164,0,0.131871397921529,0.000000000000000000867361737988404,0.231320222112172,0,0,0,0,0.0697322328904043
DASH,0,0.229475693012143,-0.0467000059387587,0.153505220965888,0,0,0,0.32723599747456,0.383392235502731,0,-0.0130305539058919,0,0,0,0,0,0,0
XMR,0,0,0.0422428664798864,0.178164964046742,-0.0989922908890718,0,0.455740881462107,0,0.0810469483807598,0.0855071859545824,0,0,-0.165330313684444,0,0,0,0,0
ZEC,0,0.0351323240368039,0,0.00369461249240972,0.00912689220115254,0,0.14580679837172,0,0,-0.0213678484051181,0.192854329300046,0.0365255049734264,0.0420507805635542,0,0,0,0,0
XLM,-0.599905034901033,0,0.406874063371859,0.0940668902580455,0.021684408616671,-0.24226604450928,0.359897187659694,0.424388279639054,-0.224855954599634,0,0.15848283666282,0.144040849514234,0.264976733370879,0,0,0,0,0
DOGE,0,0,0,0.0211758969730051,0,0.278927339476297,0,0.0112121560215487,0.25823633973391,0.252689178821203,0,0.014800853047504,0.126679440793244,0,0,0,0,0.410905618897289
DGB,0,0,0.0160041978671867,-0.148454139776255,-0.641619540121317,0,-0.128123299988183,0.650541098064125,-0.211102701890251,0,0.147468312698073,0,0.571356762967324,0,0,0,0,0
NEO,0.221546601234655,0,0.034142351461583,0.109099506576277,0.232323275351963,0.190593772368707,0.446705854987494,0,0.225359900726533,-0.043647628867808,0,0.133007882766013,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0300131737965487,0,0,0,0.0178220787148305,0,0.00987261837503757,0.00569169199745513,0,0,0,0,-0.0450725554752937
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0237071102663434,0,0,0,0,0,0
DXY.INDEX,0,0.00434052034956924,0.00152664860150951,-0.0151523311051916,0.0207627889792812,-0.00320103825133931,0,0,0,0.00681013400088215,-0.00522413186615476,-0.00297132686269487,-0.00451912561292002,0,-0.00275545664036585,0,0,0.0113573963066803
SPX.INDEX,0,0.00185692008280589,0,-0.00393734420945349,0.00220447188773859,0,0,0,0,0.00348420499187327,0,0.00225704021061447,0,0,0,0,0,-0.0370186650526186
VIX.INDEX,-0.343425793690514,0,0.112625140558528,-0.00434232207454834,0.0927060045661293,-0.0277943975348659,0.255621425530146,-0.0795287472830558,0.0194741971368096,0,0,-0.188849009607661,-0.0354127465589723,0,0,0,0,0
