,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,ADA,XMR,TRX,DASH,MIOTA,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.0536743528496078,0.165534826166603,0.0154662710440427,0,0.00581462505429888,0,0.287462081101432,0.00377575572649118,0,0.10792865135632,0.0610442490213229,0.17883291539169,0,0,0,0,0.00227350430671963
XRP,0,0,0.399549455917707,0,0.217886391368664,0,0,0,0.0804221289802866,0,0,0,0.00267651101668711,0.218535639471289,0,0,0,0,0,-0.0527667801101297
ETH,0,0.182409440824082,0,0.0490485716873172,0.0890670973121225,0,0,0,0.046197268246683,0.244745198040281,0.117802926132326,0.175589265239045,0.124304741450919,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0499571661293348,0,0,0,0,0,-0.200965446780792,0.514144838940132,0,0.736566654331944,0,0,0,0,0.0201482194249649
XLM,0.260337464523394,0.102315664715777,0.00000000000000000693889390390723,0.033333720284934,0,0.0543193057576908,0,-0.0141766788352365,0.477670075445368,0,0.0715811429296151,0,0,0,0,0,0,0,0,0
EOS,0,0,0.268280833748366,0.124095159674626,0.18087546514764,0,0,0.00000000000000000173472347597681,0,0,0.0776755521005337,0,0.0828956281125209,0,0,0,0,0,0,-0.0174044823895416
LTC,0,0,0.0728431323644799,0.180371044756795,0,0,0,0,0.052783766371672,0.13192908204633,0.0879652195190263,0.119134647218194,0.142000603003235,0,0,0,0,0,0,0
BSV,2.07407553321695,-0.532893049873934,0,0.946829771580532,-1.17352203271445,0.0503305789668382,-2.4005056089799,0,0,0,0.764118261283788,1.27444455762409,0,0,0,0,0,0,0,-0.0293047588241135
ADA,0,0.0181292090204305,0,0.0920807074437596,0.0527437302836283,0,0,0,0,0.0250329448601423,0.451112708172883,0,0.187480558239928,0,0,0,0,0,0,0
XMR,0.599559159717023,0,0.105561882611036,0.00000000000000000346944695195361,0,0,0,0,0.100877608822276,0,0.0336665373730284,0.273005356747506,0,0,0,0,0,0,0,0
TRX,0,0,0.31355467107197,-0.00000000000000000693889390390723,0,0,0,0,0.236864471774687,0.119479325362806,0,0.123707039930033,0.114552216014366,0,0,0,0,0,0,-0.0669093181988058
DASH,0,0,0.336423686983751,0.00000000000000000693889390390723,0,0,0,0.00887007206834794,0.386148845488084,0.0661636533671095,0,0,0,0,0.1774231898553,0,0,0,0,0.0105900263794601
MIOTA,0,0,0,0.0653039562390748,0.113864572619223,0.145418299431731,0,0.0079169826536709,0.445085524933438,0.00640987842742048,0.0638479774972966,0,0,0.0513991942305397,0,0,0,0,0,0
XEM,0,0,0,0.0473946323162534,0.189779646493332,0,0,0,0.401062938367652,0,0.0675517954445007,0,0.00961832392174502,0,0,0,0,0,0,0.00699857248717131
BNB,0,0,0.599513346224579,0.0152042383320157,0,0,0,0.0236045308622792,0,0.045208815027323,0.137453087610129,0.0412509973459975,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0266079091899158,0.051027165276144,-0.0483826065031401,-0.127574353702446,0,0.0441218683038871,0.00191855697175051,0,0,0,0,0,0.0254880280972099,0.13786817418537,0,0,0,0.783833667401647,0.0288890276497165
CVIX.INDEX,0,0,0.249518762657728,-0.147491764776821,-0.233308346266509,0,-0.168940079770963,0.0154578600737188,0,-0.18177529422025,0.0812810170346596,-0.0391202149968098,0.290887431033672,-0.00775141248372526,0.149397518093398,0,0,0,0,0.0220280712350692
DXY.INDEX,0.0118624896563242,-0.000308400343972801,0,0,-0.0229906765809191,0,-0.0512897751504227,0.00554461653047973,0,0.019434841169705,0,0,0.0237783339190016,0.00623881192985115,0,0.0456041924766278,0.0440129356562086,0,0,0.00273784120150189
SPX.INDEX,0,-0.0564436910710174,0,0,0,0,0,0.00563921379631551,0,0,0,0,0,0.0404589989752799,0,0.0171819215071044,0.00231845725448457,0,0,-0.121178488831783
VIX.INDEX,0,0,-0.069916919918277,0.164229441344234,-0.0873334413634149,0,0,0,0,-0.18272834067154,-0.124183429559206,0,0.141187946378408,0.200641668933119,0,0,1.3232203268149,0,-5.57606898038532,0
