,BTC,ETH,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0390564820336067,0.04083153540865,0.760881078673872,0.0966487864283732,0,0,0.242355990625009,0,0.0192566107237424,0,0,0,0,0.030557178564452
ETH,0,0,-0.171846837347518,-0.0563196348249375,0.0659544889617837,0,-0.192045641655024,0,0.0346717196324526,0.0886903954948149,0,0,0,0,0.20257955667732
XRP,0.0392124258574544,0,0,0,0.00586635852674457,0.0499408534414812,0.468543250253606,-0.274660716074014,0.0610519472125572,-0.0992913821321541,0,0,0,0,0.0483766177066297
LTC,0.690495542148337,0.0318651927877801,0,0,0,0.0800323771827758,0,0,0.0243846341837462,-0.0320943674343982,0,0,0,0,-0.0292395558600084
DASH,0.734740073968382,-0.134278626348363,0.437895517293833,0,0,-0.308634425773751,-0.211733429026262,-0.511489608407886,-0.0485292897999344,0.183606557406902,0,0,0,0,-0.114826684831405
DOGE,0.654021631415749,0.0821944792700559,0,0,0,0,0.117748262534483,0.0184881874672533,0.0762639410880304,-0.0355991954061933,0,0,0,0,0
XLM,0,-0.211593945630442,-0.104726489848092,0.000000000000000000216840434497101,-0.0548430027431979,0.0716484443980901,0,0,0.133659135225478,0.252146921839301,-0.338186535655015,0.367479921121452,0,0,-0.0954611908735211
XMR,0.760827803073596,-0.095856206309959,0,-0.182755820914994,-0.097015768215889,0,0.107405281028644,0,-0.0825174406934956,0.136458146188546,0.824389727088255,0.510466255256706,0,0,-0.154712194866671
XEM,-0.674342640605721,0.197718583476163,0,0.654622370370002,-0.12780010743388,0,0.410198507557084,0.156405863954177,0,0.122516499137989,0,-3.19959645018856,0,0,0.0407794365948226
DGB,0,0,0,0,0.15271940711988,0,0.385866159108817,0.141961988865151,0.152468321994312,0,0,0,0,0,0.0664446428439689
BV010082.INDEX,0,0.0431859600512835,0.0798037389009579,0.0711646491090966,-0.0178829226392676,0,0.0352554356944195,-0.0532145040524344,0.00805102030500497,0,0,0,0,0,-0.0897538603600951
CVIX.INDEX,0,-0.0725564734590067,-0.0803292188271693,0,-0.021926649038241,0.00679663945904611,0,0.0230933154119618,-0.0248536213242214,0,0,0,0,0,0.124978343725776
DXY.INDEX,0,0.0163159537677672,0,0,0.00899751987919542,-0.0222218239396516,-0.0307839311915493,0.0178150901085523,0.0024589680955499,0,0,0.0518117337709519,0,0,-0.025891776377744
SPX.INDEX,-0.00494664941319722,0,0.0296467603406707,0,0,0,-0.0113552467705668,0,0,0,0.0788159798763084,-0.00605178375657564,0,0,-0.105088835268753
VIX.INDEX,0,0.0829699067727725,0.196021613320721,0,0.0199085372717681,-0.206792340275407,0.196809888248336,-0.212587560885221,-0.102370276461641,0.197744611145419,0,0,0,-5.64942816158095,0
