,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.276911526220368,-0.0248794823454757,-0.00000000000000000173472347597681,0,0.324043016287713,0.242687579927347,0.0331394024764637,0,-0.206839402241448,-0.164248003475301,0.20243033184038,0,0,0,0,-0.0976882672690627
XRP,-0.157937494275042,0,0,0,0,0,0.156814214533153,0,0.53337971464172,0,0.302717919255747,0.212247155198519,-0.582371118880403,0,0,0,0,0
ETH,0,0.0791799486135778,0,0,-0.0626468784030171,-0.120165710683581,0.274237816234387,0.837290237309308,-0.147667990987338,0.0844821867077579,-0.416804578395392,0,0.0489722481527099,0,-0.47462431968734,0,0,-0.0905646896382263
LTC,0,0,0,0,-0.184312618166966,0.0377326520955208,0.228932499965226,0,0.00928041621989005,0.37793503410296,0,0,0.0188875386965199,0,0,0,0,-0.287893934249287
XEM,0,0,0,0,0,0,0.0850655753261526,0,0.082970525787884,-0.185712998301089,0,0.304501806215723,0.146655990266012,0,0,0,0,-0.147631456756417
DASH,0,-0.0977776751013392,0,0,0.109067527240987,0,0.0573496073591508,0,0,0,0.123176713858671,0,0.046467795238848,0,0,0,0,0
ETC,0,-0.0522957472736428,0.328782766084865,0.127465002106368,0.071640061568537,0,0,0.0715659685067392,0,0,0.179705909527636,-0.112901219848121,-0.0558910445752192,0,0,0,0,0.215938095927279
XMR,0.176277552869383,-0.0525872589024581,0.323350701704154,-0.145447416666238,0,0,-0.0676917841510629,0,0.139721972795396,-0.128371294946031,0.194866823048664,0.00836549213742418,-0.00315256576132274,0,-0.0351050377448518,0,0,-0.16700946168319
XLM,-0.303484964213935,0.282390713178527,-0.210644063120249,0.103418443148302,-0.0569118841107761,0,0.432058656519962,0.627000505062798,0,0.527088485521571,0,0.0229960471932391,0.252409635277047,0,0,0,0,0
DOGE,-0.167726692786014,0,0.105802588447946,0.258480857234984,-0.0144160089407286,0,0,0,0.268701739365792,0,0.264224656314276,0.0612465562823004,0.090225995927881,0,0,0,0,0.476825483336576
ZEC,-0.112933032839468,0,0,-0.0111666663558962,-0.113846122567196,0.0813600380340671,0,0.374630981408894,-0.0358289583806608,0.231381154013278,0,0,0.0325735214108739,0,0.00633016812505183,0,0,-0.202617593415573
NEO,-0.468920726830434,-0.0856628765582441,0,0,-0.0490188433949806,0,-0.0898413808718885,0,0.00919631574461513,0.123776055559486,0.22074073395779,0,0.067616095493115,0,0,0,0,0
DGB,0,-0.00289085636750623,0.0857890954029161,-0.254974327560023,0,0,0,0,0,0.0213791727663077,-0.0844115560070378,0.223055016313903,0,0,0,0,0,0
BV010082.INDEX,0.0105737752107093,-0.0129395926706967,0,0,-0.000000000000000000433680868994202,0.00511775770130141,-0.0897308308516897,-0.0754361219280412,0.0238005862040014,0.00617039157713748,-0.0680071232541413,-0.0154527419983097,0.0143272124162545,0,0.116274255491372,0.993361639771156,0,-0.0698383099466292
CVIX.INDEX,0,0.00552406335691521,-0.08480975471069,0.0460774958422921,0,-0.126418390012594,0,0,0.00000000000000000173472347597681,0,0.215603314465617,0,0.0386083988367143,0,0,0,0,0.233352087587494
DXY.INDEX,0.0463668777288031,0.00250530813710419,0.0106547205360376,0,-0.00712320008625316,-0.000267838939999076,0,0,0,-0.0000871903262844818,0,0,-0.000912096064758345,0.0797353718545402,0,0,0,0.0273156690803258
SPX.INDEX,0.00112135541246989,0.00033548819036907,0.00748398493737992,0.00390752641814528,0,-0.0022227788738727,0,0,0.00308975696316668,0,0,-0.00352508330141117,0.00136473026750746,0,0,0,0,-0.0356333155775619
VIX.INDEX,0,-0.000737062900482918,-0.16283239634149,-0.0350430315842138,-0.0953937178468244,0.117700661768407,0.0357584582307877,0,0.0552189252244459,0.0843203829459886,0,0,0,-0.395539279519916,-0.223605847353311,0,0,0
