,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0481015258023507,0,0.177213232237674,0.244138069011159,0.11660793805335,0.0657269707854336,0,0.0705092217853533,0,0,0.109432657119447,0,0,0,0,0
ETH,0,0,0.182752941393924,0,0.219311260550087,0,0.00237963329175329,0.0504318240337156,0.0641018264753784,0,0,0.100718949456698,0.161339194168454,0,0,0,0,0.0860949356695203
DASH,0,0.388525866018114,0,0,0,0,0,-0.00506075767164241,0,0,0,0.171323589038535,0.250716681547054,0,0,0,0,0
XRP,0,0,0.0219516859760808,0,0,0,-0.130640324113436,0.0532048595027833,0,0.556449552267639,0.0356313788533003,0,0.0700105048960522,0.150645957491872,0,0,0,0.0693504290570961
XMR,0,0.681606399662516,-0.0284097097133621,-0.0928221812238107,0,0.301475772445587,0,-0.0948004629528038,-0.00308127852398207,0.290684561735321,0,-0.0771577109662095,-0.0567043814237694,0,-0.321567869835547,0,0,0
LTC,0.28892910703143,0,-0.0578204329704386,0,0.0135210084897273,0,0.196396776960002,0.0181101123591647,0,0.167047766090346,0.124552010200279,0.0963135215024723,0.0381665867746813,0,0,0,0,0
ETC,0.306824835161595,0,0.111276949034481,0,0,0.323762619879099,0,-0.0373424045326941,0.0809864032726024,0,0.16967816468227,0.105345788417268,0.0571377992852757,0,-0.428703770202141,0,0,0.0318526963716452
XEM,0,0.464219320702843,-0.203843400449614,0,0,0,0,0,0.117456053782123,-0.335362162851701,0.102692774023607,0.259614073313815,0,0,0,0,0,0
ZEC,0,0.154733549868579,0.201939182628056,0,-0.000095356913598971,0,0.174704943537743,-0.083664721262505,0,0.269191531120726,0,0.0457109284604129,0,0,0,0,0,0
DOGE,0.119382295474043,0,0,0.180278830527819,0.132729926435545,0,0,0,0.148737791602944,0,0.0640102583688803,0,0.030404978252508,0,0,0,0,0
XLM,0,0.137817999153118,-0.0545800026231957,0.122153266705039,0.177143040780569,0.297706589960115,0,0,-0.127599025707265,0,0,0.0153207011847285,0.0614835849414485,-0.469357404549216,0,0,0,-0.0415823107172178
NEO,0,-0.174540094546382,0,-0.208661119835404,0,0.0588035587279686,0.392890176312522,-0.149936018922543,0.319991116031167,0,0.024129258724446,0,0.0761415652978285,0,0,0,0,0
DGB,0.699027426042577,0,0,-0.124962109329009,0,-0.338006450886868,0,0.0244902814496999,0,0,0,0.244898912508508,0,0,0,0,0,-0.248897162793212
BV010082.INDEX,-0.0854650527866555,0,0.0222907904538475,0,0.0399701523071917,-0.00398960842871748,-0.0306937148709455,0,0,0.191371850086339,0.0448869767652208,-0.050483999605896,0,0,0,0,0,0.0119040598184223
CVIX.INDEX,0,0.197365274122394,0.0289697277310791,0.145021948629903,0,0,0,-0.111370053534221,-0.162239368347831,0,0,-0.0103846517804001,0,0,0,0,0,0.0931588579881059
DXY.INDEX,0.0281875543325158,0.0114794300940779,-0.0153476585616801,0,0,0,0,-0.0221298321415126,0,0,0.00330393915261143,0.012102680519543,-0.00177444877918064,0.15068814144615,0.0389806860718401,0,0,-0.0171925850359573
SPX.INDEX,0,0.0361397735151768,0,-0.0159558147144118,-0.00693770138544349,0,-0.0202543807122891,0.00309544477926693,0,0,0.0172505463190533,-0.00144817248311718,0,0,-0.0163051486062349,0,0,-0.0295381088385108
VIX.INDEX,0,0,0.0770333633089027,0,0,0.370020342572374,-0.49153752204001,-0.227014373007067,0,0,0.161234586380124,0,-0.0732859096565828,0,0.177003177530151,0,0,0
