,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.201359544802683,0,0.156400350667269,0.132730256873691,0,0,0.0500595538767986,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.261461408538602,0,0.0634943319460157,0.0761150278528403,0.143877583102044,0,0.0585401366855336,0,0.019277067255382,0,0.0424235327091386,0,0,0,0,0
BCH,0,0,0,0.0342661051265559,0,0,0.897667312912241,-0.352307936110063,0.247809596545604,0.19343094429625,-0.119653958979849,0.364965184344465,0,0.277888015287891,-0.930788462817355,0,0,0,0,-0.122805725482924
XRP,0,0.0459524752869643,0.0516075368954661,0,0.0512117464362142,0,0.0150905841719448,0.107654802470259,0,0,0,0,0,0,0.222567833699311,0,0,0,0,0
LTC,0,0,0,0.0637283154700739,0,0,0,0,0,0.767679723187879,0.0128667885603862,0,0,0,0,0,0,0,0,0
DASH,0.0453834925087753,0,0.0418971311157146,0,0,0,0.10028518780606,0.0664529352771451,0,0.138494105810305,0,0.0948008182387835,0.164182225139441,0,0,0,0,0,0,0
XEM,0.0909268743700422,0,0.0872516605117464,0,0.121760224824469,0.225015309760292,0,0.0645580245757862,0,0,0.141514499280647,0,0,0,0.27108341832294,0,0,0,0,0
MIOTA,0.375934523874887,0.00000000000000000173472347597681,-0.104125958312048,-0.22295657732865,0,-0.0000000000000000277555756156289,0.243660538596656,0,0.220948233431566,0.0178881908866943,-0.116677831091416,0.244383156184509,-0.128514040459397,0.418416081895368,0,0,-0.427528031349129,0,0,0
XMR,0,0,0.0844371295228372,0.0711354029886044,0.0594340441964261,0.167432218547367,0.0863235881507768,0.0404521346572411,0,0,0.0653388648224107,0.258246277267865,0,0,0.112856752526109,0,0,0,0,-0.059844776862783
ETC,0,0,0.00293097088487033,0,0.622456791621888,0.0574975356060406,0.124084428877504,0.061356625619808,0.0782505492686303,0,0,0,0.00684639049711878,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.428428345466104,0.165533271361887,0.144990668981856,0,0,0,0.0899190115931575,0.27136580103527,0,0,0,0,0,-0.0674129638660529
ZEC,0,0.0702711078887907,0.0288095807168315,0,0,0.0170745914736062,0.0483814668652191,0.219260328415533,0,0,0,0,0.0037645417377049,0,0.193714550288143,0,0,0,0,0
BAT,0,0,-0.0337323790339547,0,0,0,0.0171420405809392,0.0486613626683793,0,0,0.179690423369996,0.285262479552993,0,0.118252039234664,0.296838943822042,0,0,0,0,-0.0641278137861586
EOS,0,0,0.0546765241150162,0,0.391053096886716,0,-0.0176243471249753,0.237459805830882,0.177892482714492,0,0.182481428998188,0.0566927105814728,0.0540984262625254,0,0.150674844591738,0,0,0,0,0
XLM,0,0.429543068951053,0,0,0,0,0.00740464010940427,0,0.308774576375288,0.00627407497092355,0,0,0.19336435434086,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0375541774256927,-0.010592545355745,0.00651733957881954,0,-0.00769992797872428,0,-0.0302349337455064,0,-0.00425610159896257,-0.0058171969220972,0.0609602055572703,0.0134661606875121,0,0,0,0,0,0,-0.0736983224591806
CVIX.INDEX,0.028101479470532,0,0,0.0154728971053399,0.0724297220089926,0.0189900556533085,0,0.0637491920655294,0.0376244887754133,0,0.010269752041154,-0.129384061869026,0.00819267340057573,-0.106690368025303,0,0,0,0,0,0.0543575891587917
DXY.INDEX,0.0159925578758704,-0.0209440308366594,0.00440758820488112,0,0.00318865724608812,-0.0140162675685446,0,0.0122528696471252,0.000000000000000000216840434497101,0,0.000356307345776851,0,-0.00223658194559801,0,-0.00259872861845657,0.0978017962119258,-0.00946356599557167,0,0,0
SPX.INDEX,0,0.00362841874996387,0,0,0,-0.00499813167786109,0,0,-0.00438375099787958,0,0.00126437647012458,0,0.000990186787309031,0,-0.00140669379318027,0,0,0,0,-0.0426425498778499
VIX.INDEX,0,0.225419796645764,-0.0216801728828146,-0.167688206515362,0,-0.232220286602094,0.136689110233908,0.0534340950967955,0,-0.074099890646675,-0.00598610694323313,0,0.0488114097125692,-0.227697266047851,0.159412467136861,0,1.08794367871528,0,0,0
