,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.241318395632875,0,0.101471314196156,0,0,0.124917619429504,0.0150237703849304,0.0200868607307442,0,0,0.022833885947307,0.0427673111585341,0,0,0,0,0
ETH,0,0,0,0.152049244360303,0.176925832208953,0.0410132137430165,0.0588952884048831,0.142685081441315,0,0,0.00000000000000000346944695195361,0.0794531874452849,0,0,0.108041979568065,0,0,0,0,0
XRP,0,0,0,0,0,0,0.128503583930511,0,0,0.19921908344305,0,0,0.0831148629595459,0.358489754519842,0.109079426550432,0,0,0,0,0
BCH,0,0,0.0811931688126969,0,0,0.161578578998711,0,0,0,0.0981958339138405,0.092971992922613,0,0.0155256995135677,0,0.209370866998883,0,0,0,0,0
LTC,0,0,0.0595500654649835,0.167959838962944,0,0.00707406749296243,0,0.0325514497157121,0.0418031854378555,0,0,0,0.0126517585842921,0.0270848455281787,0.199291820503638,0,0,0,0,0
NEO,0,0,0.0000000000000000138777878078145,0.10003793898062,0,0,0.0309687927174981,0.151266812817502,0,0.0140110327414363,0.148544566524603,0,0,0,0.28384063896392,0,0,0,0,0
XLM,0,0,0.412406121685144,0,0,0.0867594198404189,0,0.0493821011737275,0.0702738337688883,0,0,0.0366985809055467,0.00102775707046165,0.153527761316543,0.0796857416843069,0,0,0,0,-0.0281906285716067
ADA,0,0,0.0503564191588445,0,0,0.121385100921418,0,0,0.311182074728014,0,0.113795848717698,0,0.148849862825101,0,0,0,0,0,0,0
EOS,0,0,0.0200386774465324,0,0,0.0963150978613655,0.186101344493246,0,0,0,0.079682581302359,0,0.122759820324565,0.0244534157066294,0.312292031895368,0,0,0,0,0
MIOTA,0,0,0.140062359537115,0.263664391262947,0.115393171430984,0,0,0,0,0,0.177906854331249,0.0669283181358629,0.140236524304847,0,0,0,0,0,0,0
XMR,0.0878581727904512,0,0.0582225034978461,0.0397885323017691,0.258594813136405,0.206969147199026,0.0754218470816788,0,0,0.134643190603189,0,0,0,0,0.00000000000000000346944695195361,0,0,0,0,0.0275341602823173
DASH,0,0,0,0.0819562619711401,0,0,0,0,0,0.0044328832369943,0.0799206623477673,0,0.092631069050222,0.197069776431744,0.161621848215465,0,0,0,0,0
XEM,0,0,0.0000000000000000277555756156289,0,0.265349390372789,0.151773499532059,0.0150113700539496,0.400453691421304,0,0,0,0,0,0.161461609571113,0,0,0,0,0,0.0102104242632322
TRX,0,0,0,0,0,0,0.126140380919701,0,-0.00000000000000000173472347597681,0.60245384181481,0,0.114141471647567,0.128328936844383,0,0.0288088157606272,0,0,0,0,0.13071577869767
ETC,0,0,0.158538451916829,0.400638286498933,0,0.0616681186472889,0,0,0.0749385288653305,0,0,0,0.114264866889968,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0160594280261333,0,0.0358548387074513,0,-0.0474518308998155,0,-0.0370598067070693,0.0217790357966427,0.0453369607221089,0,0,0,-0.0178953883750223,0.0140298869324571,0,0,0,0,-0.0292780962095001
CVIX.INDEX,0,-0.0263851153120105,0.0263712939442881,-0.0828617074081423,0.0510686343407219,0,0.0211682043361808,0.122846456608473,0.107557191252533,0,0,0.0905608664085841,-0.117806798226196,-0.0771274872886742,-0.0851841724326553,0,0,0,0,0.0727065017794053
DXY.INDEX,0.0338333575086355,0.0326308600829099,0,-0.0117943001395771,-0.00336479438550447,-0.0134539813868205,-0.00731225397744512,0,-0.0150348534350824,0,-0.0135013388221985,0.00271003320540043,-0.00746788446916523,-0.00977939438200378,0.0149893064324785,0,0,0,0,0.0138417791191879
SPX.INDEX,0,0,0,0,0,0.0127892334209465,0,0,0,0,0,0,0.0187147475054267,-0.0256298517063018,-0.0155154692116847,0,0,0,0,-0.0604976890919903
VIX.INDEX,-0.358231626767195,0,-0.413329953984562,0,0,0,0.146268813954232,0,0,0.00000000000000000173472347597681,0,0,0.137915338415901,0.5475854583411,-0.0688962831105071,-0.922825793396168,0,0,-4.2414446351296,0
