,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.135675541853418,0.520256505732468,0.164787327220337,0,0.103386101403282,0.0167174894741565,0,0,0,0,-0.00778180139839124
XRP,0,0,0,0.285809490771701,0.108791952586185,0.388759050796408,0.085743943047468,-0.0360154872868886,-0.321059328957429,-0.134458024386485,0,0,0.0676498346547247
LTC,0.654162988532858,0,0,0,0.0234990365599282,0,0.157453693671777,0.1321535963174,0,0,0,0,0
DOGE,0.376291241634649,0.221215630042002,0.078640531692503,0,0.0213556040644297,-0.00000000000000000693889390390723,0.0550752719720426,-0.0199071552725337,0,0.120312467753109,0,0,0.0289275157288194
DASH,0.946654132134675,-0.140591086101974,0,0.0793597036932632,0,0.0756810796500809,-0.18624284997556,0.125787891750891,0,0.227730250474178,0,0,0
XLM,0.750450430499258,0.148325363133061,0.0232071565887353,0,0.140596525993204,0,-0.298867296524392,0,0,-0.127609555112983,0,0,0.078892700595408
XMR,0.992210139475207,0,0.00705017712541194,0,0,-0.277546773142019,0,0.0556268824708434,0,0,0,0,0
DGB,0,0,-0.0000000000000000555111512312578,0.666400948877568,0.104541253711169,0.219292305176646,0.0788369838513891,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.0302936398588024,0,-0.0135664383155501,0,0,-0.0381644523793327
CVIX.INDEX,0,0.00955800642176065,0.056340788757926,-0.169682027596195,0.0740324117033465,0,0.0207946859087162,0.0284363106375715,-0.387291133639536,0,1.50999427222317,0,0.0303274736021617
DXY.INDEX,0.029659138274402,-0.0192811239324214,0.00811709835497589,0.0115269577587726,-0.0253320809466687,-0.0073204745116401,0.0107934889358215,0,0.0986168529289659,0.0117006774785727,0,0,0.0303408583642817
SPX.INDEX,0,0,0.00984756139933092,0,0.0113441205951281,0.00729870731001124,-0.0269312055681101,0,0,0,0,0,-0.102832812931045
VIX.INDEX,0,0,0.0649225488013801,0.1785664266441,0.0492234892649829,0,-0.283226788255809,0,0,0,0,-5.6770687909086,0
