,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,BNB,ADA,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0547437980695603,0,0.124241161806867,0.0459205546729566,0.075465926282485,-0.00951046717951309,0,0,0.0735808592119821,0,0.134211695175868,0,0.136401970339588,0,0,0,0,0,-0.0276349449117329
XRP,0,0,0.0868569992039776,0.0583792879557846,0.0410511288559351,0.115799340223198,0,0.0633147339264924,0,0.0317534270804189,0,0,0.0173612448241499,0.0563679598793538,0.161290168495941,0,0,0,0,0
ETH,0,0.321416109012056,0,0.168783167983322,0.153678839220477,0,0.0448555645673527,0,0.103826588566413,0.175872891021231,0,0,0.0419579748335242,0.0189797187011336,-0.00000000000000000693889390390723,0,0.0380202409470022,0,0,-0.0427009934633487
EOS,0,0,0,0,0,0.32009877131963,0,0,0,0.182400979363971,0.156492420475575,0.230951843712406,0.068639037049421,-0.00000000000000000693889390390723,0,0,0,0,0,0
BCH,0.449426940923476,0,0,0.16721868091466,0,0,0.143492415782416,0,0.605248171711446,-0.0400966373001286,0,0,0.0446787841102773,0,0,0,0,0,0,0.0649666386865293
LTC,0,0,0.0283888171960842,0.311902347592326,0.149758097518728,0,0,0.0950159359053174,0,0,0,0,0,0,0.173551238507854,0,0,0,0,-0.104077290903362
TRX,0,0,0,0,0.0757960614495277,0,0,0,0,0.0627733164735579,0.606998602048008,0,0,0,0,0,0,0,0,0.193319769351233
XLM,0,0,0.0891237949634838,0,0.126306256599371,0,0,0,0.128043202050914,0.11970544673207,0,0,0.0620291177296117,0.000248834731210627,0.154632721086004,0,0,0,0,0
BSV,0,-0.17214176052937,0,0,0.348247379119464,0.0364307393354678,0.0365517148454928,0.432285442022149,0,0.138344080898074,0,0.308942946397289,0,-0.284951919451058,0,0,0.00823514710926037,0,0,-0.128930887883055
BNB,0,0,0,0.0214711430952851,-0.0960203469659795,0.279171986280019,0.0903456330587856,0.543212875891818,0,0,0.188924509703436,0,-0.0545230325306306,-0.0706756295445165,0,0,-0.467371474213575,0,0,0.0340571403000308
ADA,0,0,0.343818540642731,0.294253714753341,0.0106336256023316,0.0346621907078774,0.0940154351649134,0.0209377898952891,0.041244330919344,0,0,0,0.0827956313647478,0,0,0,0,0,0,-0.0165992488319325
XMR,0,0,0.0377426338687995,0,0.0944145902704183,0.0387056755073788,0,0,0,0,0,0,0.0343655003348405,0.296410368512103,0.320866924667155,0,0,0,0,-0.00430617068001352
MIOTA,0,0,0.211567387818188,0.223220877473382,0,0,0,0,0.177638699945957,0,0,0,0,0.106085176202766,0,0,0,0,0,0
DASH,0,0,0.038637071048568,0,0,0.215793884779456,-0.245724719613373,0.330686475203348,0.0661523079208564,0,-0.0588410710379885,0.415373900972046,0.105642892245704,0,0.0708310755509257,0,0,0,0,-0.0189236062387443
NEO,0,0.132525281736217,0,0.310504601976364,0.00224346583374787,0.342764729673424,0.164874819011376,0,0,0,0,0,0,0.0478732516225523,0,0,0,0,0,-0.00401114722720232
BV010082.INDEX,0,0.112151589531084,-0.192103191722911,0.0648832001104358,-0.0113546654096612,0,0,0,0,-0.0983302631946134,0,0,0.0403224193994171,0.0982930506564483,0,0,0,0,0,-0.0738370898802186
CVIX.INDEX,0,-0.064831825972996,0.411725817938995,0,0.0576343220154855,0,-0.211570277070041,0.148125790933738,0,-0.0570792434314563,0,-0.117053248092733,0.100216275878398,0,-0.421412036274775,0.121036920247897,0,0,0,-0.0301620962273818
DXY.INDEX,0,0,0,0.0102545326740279,-0.00414969204268717,0,-0.0402973989084819,0,0,-0.0174452999386005,0.0169278336229782,0.0151658945096529,0,0.00835178116276427,0.00767196058993157,0.0834654122757506,0,0,0,0.0152610883856856
SPX.INDEX,0,0.0660165035085091,-0.0320050874299794,-0.0424790124758863,0.011398766381104,0,0,0,-0.00178769479545655,0,-0.0426421769104319,0.0815458107290117,0,-0.0607182198173403,0,0.110007834668956,-0.0919578982971827,0,0,-0.123111350943153
VIX.INDEX,0,0,0,0.162254516320603,0,-0.379775456432121,0,0,-0.0810475066031865,0.484338257607756,0,0,0.157045979730821,0,0,-0.0586271647306453,0,0,-2.46008039325889,0
