,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0838543930396305,0,0,0.0854527650035407,0.0227403742191224,0.146517228659342,0,0.0185127785828827,0,0.12291819304759,0,0,0.0241076172315908,0.0712974060175099,0,0,0,0,0
ETH,0,0,0.189639946079582,0,0.203699277322622,0.0296507182686584,0.111546672046516,0.0191726400582462,0.0521810235278814,0.200125431740483,0.0228159673763721,0,0,0,0,0,0,0,0,0
XRP,0,0.460531043959095,0,0,-0.0401991348796444,0.0362742430631731,0,0.10688335713668,0.000000000000000000867361737988404,0.087578712844349,0,0,0,0.00660352239517351,0.0362400185598269,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0473784613303687,0.110331406009337,0.12621413700284,0,0.371620631858577,0,0,0.063729710119231,0,0,0,0,0,0
LTC,0.0557154802729044,0,0.198164120402755,0,0,0,0.175279738241273,0.0120209266684293,0.00252647690092976,0,0.597663633096789,0,0,0,0,0,0,0,0,0
DASH,0.198708409264869,0,0,0.171729796130505,0,0,0,0,0.280547989043263,0.11867476638481,0,0,0.0143154022506505,0.0046223072607216,0,0,0,0,0,0
XEM,0,0,0,0.0794256892172272,0.116234621750996,0,0,0,0,0.170806890130308,0,0,0.142603892071045,0.0176423503501402,0,0,0,0,0,0
NEO,0,0.0607509046890407,0.151816847513798,0.399045947384479,0,0,0.170093963358592,0,0.0861760074485897,0.00000000000000000693889390390723,0,0,0,0.171326700104511,0.161936237084092,0,0,0,0,-0.450559193039068
XMR,0,0,0.281178584578254,0.00378711961474025,0,0.085997842727333,0.150540110294314,0.0943254299322684,0,0.0000000000000000138777878078145,0.109042371954618,0.203559163197565,0.2106848372157,0.0333050255619271,0,0,0,0,0,0
MIOTA,-0.366668272037219,0.19471110183245,0,0,-0.0852491848625974,-0.0000000000000000000271050543121376,0.181588496447162,-0.185112722806784,0.00000000000000000693889390390723,0,0.124041930210428,0,0.365002107746838,0,0.428099461554296,0,-0.381695760318207,0,0,0.0982856002486261
ETC,0,0,0,0,0.5455025397242,0,0.137053479368005,0,0,0.0602077332209319,0,0,0.118432350042374,0.0356199879566648,0,0,0,0,0,0
ADA,0,0,0.105229527302063,0,0,0,0.0602571183642702,0,0,0.137918247688376,0,0,0.0883102763228572,-0.118136272475288,0,0,0.401744004083389,0,0,0
ZEC,0,0,0,0.0923034113227688,0,0.247886723575496,0,0,0.323952163696237,0.0404304575528729,0.103043173089636,0,0,0.0464376154285231,0.240688721453461,0,0,0,0,0.0368436506424726
XLM,0,0.162683356282441,0.106809026064292,0,0.0213738944903991,0,0,0.203126772925799,0,0.634526374234272,0,0,0,0,0,0,0,0,0,0
EOS,0,0.384621895177753,0,0,0.217932255375858,0,0,0.168921496288648,0,0,0,-0.0441900492079773,0.218518394312619,0.0643777897111627,0,0,0,0,0,0
BV010082.INDEX,0.028067584058171,0,0,0,-0.000450555395789191,0,0,0.0190477758491505,-0.111185311295148,0,0,0,0,0.0107587535841362,0.0534799972521677,0,0,0,0,-0.092833001575393
CVIX.INDEX,0,0,0,0.0744520410950319,-0.0180497202035526,-0.0894050455212964,0.106372899791425,-0.0180422701226687,0,-0.0189642477633868,0,0,-0.0218344922609446,0,-0.0327899009834879,0,0,0,0,0.068451610685351
DXY.INDEX,0,0,0,0.00578208884991849,0,-0.0310780130888272,-0.0032385739925259,0.00870229641345463,0.00397394999569345,0.00879401139012697,0,0,0.00428397902743985,0.00238110816468062,0,0.0165268667523486,-0.00506391370440265,0,0,-0.00982583448677892
SPX.INDEX,0,0,0,0,0,-0.00183308456747641,0,0.00115164549359915,0,0.00369034286655327,0,-0.0027792297570946,-0.00717221281564355,0.000441885134625884,0,0,0,0,0,-0.0369688942248551
VIX.INDEX,0,0.146669992991395,0.0174028851765718,0,0,-0.257711017698756,0,0,0,0.153258952541401,-0.0488048283367152,0.0758460046482595,0,0,-0.0602873873271286,0,0,0,0,0
