,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0679598794599822,0,0.131926057886484,0.100138303272776,0.0608385746336924,-0.000743195038454768,0,0,0,0.189359660928273,0.217961715881712,0,0,0,0,0,0,0.0799906509881962
ETH,0.326534493413162,0,0,0,0.0360838414164932,0,0,0.0316617622883971,0.00802289672346596,0.261749731687686,0,0.185348407219396,0,0.00000000000000000173472347597681,0,0,0,0,0,0
XRP,0.0520390081148318,0,0,0.132963842762574,0,0.0543513802308523,0,0.018973913536141,0,0.0936866178197118,0.120213691087905,0.22374067331189,0,0.143223706042163,-0.000000000000000000216840434497101,0,0,0,0,0.0104834261249646
LTC,0,0,0,0,0,0.234692314117917,0,0.0280886397635442,0,0.0175347714439872,0.191263414130776,0.282256148292337,0,0,-0.0205760971604406,0,0,0,0,0
BCH,0.667660921633637,0,0,0.157218250182694,0,0.00000000000000000173472347597681,-0.00000000000000000693889390390723,0.0249771186981201,0,0.129916330300915,0,0,0,0,0,0,0,0,0,-0.0242652450533649
EOS,0.137693476440836,0.490585947954906,0,0.170557119140566,0.260713827460874,0,0,0,0,0,-0.105492495783453,-0.0874949110181542,0,0.110095552083071,0.020331278749233,0.393212375289133,0,0,0,0
BNB,-0.597721015330797,0,0,0,0.414274459569914,-0.0734102709480125,0,0,0,0.0957957841170129,0,0,0.223152790720259,0.215594815180679,0.0768195936332329,0.0485420862164803,0,0,0,-0.0498022350351828
BSV,0.129735708247729,0,-0.121029797194237,0.187180203662948,-0.233772881987327,0.0377929440619173,0,0,-0.230341929713696,0,0.283179747236719,0,0.620754696188528,0.131808222128508,0,0,-0.707151514927545,0,0,0.0477515850722905
XLM,0,0.030138216462817,0.39880065753564,0,0.011786389570023,0,0,0,0,0.234346735196524,0,0,0.0525930063357878,0,0.0302106796503268,0,0,0,0,0
ADA,0,0.0854104019927464,0.321109978842123,0.18783562694578,0.145448509931053,0,0,0,0.135387659900023,0,0.24215332398917,0.000000000000000000433680868994202,0.00000000000000000346944695195361,0,0.00667780323368787,0,0,0,0,-0.0278419056168945
TRX,0,0,0,0,0,0.28921208661965,0,-0.0428312196947048,0,0.234165999335745,0,0.277413622794857,0,0.15575944865514,0,0,0,0,0,0.192589535426878
XMR,0.254246215701879,0,0,0.0838034166998108,0.00000000000000000693889390390723,0,0.0950505086177359,0.0110052537949431,0,0.335978470672338,0,0,0.0187023537788244,0,0.0204738813926171,0,0,0,0,0
DASH,0.04305615869069,0.210424481049457,0,0,0.0891874685449744,0,0,0.00347141108973745,0.0930219469073606,0.0849995043669757,0,0,0,0.152875066856518,0.112349063038212,0,0,0,0,0.0331597643827811
MIOTA,0,0,0,-0.107390988741981,0,0.20115178747792,0.194254711517958,0.0662480725479373,0.0624079194179959,0,0.0302677758663705,0.478296055847069,0,0,-0.00825438066599468,0,0,0,0,-0.060170069064665
ATOM,-0.472884351088048,-0.118550474699393,0,0,0,0.385819258865947,0.264097430649107,0.104287599017174,0.796730720060008,-0.212319266033301,0.103983116779707,0.420971344840567,0.23671619666585,-0.567179881881701,0,0,0,0,0,0.0318668691184598
BV010082.INDEX,-0.03463158899005,0,0,-0.0897500954136899,0,0.0739168189913218,0.0524897802830548,-0.00583238573907754,-0.0473477110141112,0,-0.181279838749389,0,0.145321904021898,0.253444302782274,0.105971136400038,0,0,0,0,-0.0909033187939038
CVIX.INDEX,0,0,0.0583183201044114,0,0,0,0.0609750994456338,-0.0162456418603232,0,-0.363201613500674,0.261236855619299,0,0.0593781482797552,0,0,0,0,0,0,0.0597169332159449
DXY.INDEX,0.00574872219909125,0.0283868622616606,0.000000000000000000433680868994202,-0.0126676240159365,0.00319128654199252,0.0056502445928349,0,0.0013754792487664,0,0,-0.0205313271147168,0,0,0,0,0.0283611141729076,0,0,0,0.0101575361711518
SPX.INDEX,0,-0.00230425803670805,0,0,0,0,0,-0.0031792123393784,0,-0.00612154439332096,-0.0278017124128073,0,0,-0.0000000000000000000271050543121376,-0.0124092053409919,0.0176648545289966,0,0,0,-0.0638465452771924
VIX.INDEX,0,0,0.277180665677151,0,-0.313249072224717,0,0.0000000000000000138777878078145,0.108955464223694,-0.694236961348116,0,0,0,0.473062216148179,0,0.077426537171576,-0.511728508365556,0.353272182868033,0,-3.20299021981104,0
