,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0303087201987029,-0.115047219417122,0,0.0959782136305875,0.0412002025523266,0.169255221135138,0.0363333125920883,-0.0325318406315159,0.0554375893808965,0.0354200546428773,0,0,0,0,0,0,0
ETH,0,0,-0.0299119152295739,0.112841628872933,0,0,0.0233832993336116,0.134712287232218,0,-0.0427626900654784,0.135125386752224,0,0,0,0,0,0,0,0.12038960013843
XRP,0,-0.22620858568538,0,-0.309272616357091,0.011123725958016,0,0.465872586287504,0.12506351059475,0.0289653447612464,0.308806725731892,0,0,0,0,0,0,0,0,0
ETC,0,0.365483168472244,-0.177174260883297,0,0.161616102521795,0.0111850721690274,0.0841460452100943,0,0.0274107080282634,0.019853558042473,0,-0.0329502963340982,0,0.077430529417904,0,0,0,0,0.0482442892713621
XEM,0.462780006413253,0,0.104518520687942,-0.330900785442345,0,0.0667617291409143,0,0.0948365690347914,0.0075042754137804,0,0.122657855145565,-0.036859174447634,0,0.274149350178623,0,0,0,0,0
LTC,0.518430172538869,-0.0414842007737033,0,0,0.116304219208357,0,0.209456664892628,0.195062471425867,-0.0995909358265337,0,0.103043210992176,0.0379245003221611,0,0.240633620337216,0,0,0,0,0.167584096557407
DASH,0,0.125232063903129,0.0876077098572926,0,0,0.081201296008321,0,0.3084436179218,0,0.0594533297363119,0,-0.0158781146844784,0,0,0,0,0,0,0
XMR,0,-0.0000000000000000000067762635780344,-0.000000000000000000867361737988404,0.0000000000000000000135525271560688,0.0535688497847493,0,0.458302434864235,0,0,0.0959036402071454,0,0,0,-0.139915770231928,0,0,0,0,0
ZEC,0,0.234355845888536,0.0214449268957738,0,0.0447717765081729,0,0.0910741149077374,0,0,-0.000000000000000000433680868994202,0.174401448241355,0,0,0.0408851539506165,0,0,0,0,0
XLM,-0.415503035275018,0,0.670136783055156,0.25954602626461,0.0112886739088422,0,0.154059340127895,0.275167744272833,-0.18159657006958,0,0,0.0363464572549526,0,0,0,0,0,0,0
DOGE,0.143843992847307,0,-0.076306587880553,0,0.301720510835517,0.0352754379280997,0.146074245423223,0,0.199733195327184,0.188789273567359,0,0.051405244035951,0,0.154737357601466,0,0,0,0,0.0617398951252391
DGB,0,-0.392368993182011,0.413830816885526,-0.256563964942178,-0.129929782876169,0,0,0.391902991355956,-0.260096319398605,-0.26860019222052,0.575777962219993,0,0.372193640465366,0.281178750162726,0,0,0,0,-0.0766542831690793
BAT,-0.537399297140253,0,0.127421506509181,0,0.16678390174056,0.160105745387454,-0.22591118035341,0,0,-0.0375148563393478,0.0961895806968515,0.036800741282734,0,0,0,0,0,0,-0.157185872614882
NEO,0,0,0,0.14894303298743,0.0452551480423372,0.423327141031358,0.0740805966939252,0.198110798397748,0.327755103690747,-0.0557502654219528,0,0.135178859432588,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0413921694264546,0,0.0443038144359612,-0.00815772883136617,-0.017924102370842,-0.0096786845397866,0,0,0.015449278927739,0,0.00658785848211923,0,0.0134418278578082,0,0,0,0,-0.0521274635037599
CVIX.INDEX,0,0,0,0,0,-0.0325232976520858,0,0.0600707848337719,0.0456133243559207,-0.00000000000000000010842021724855,0.00651688445861261,0.0258832001009221,0,0,0,0,0,0,0.16430360440059
DXY.INDEX,0,0.0195634755651496,0.00704984481196258,0.00787461977576268,-0.0123292293794538,-0.00675790617708117,0,0.00589512825755828,0,0.00439147020443359,-0.00241685450489034,-0.002316923793406,0,0,0,-0.00774528926832889,0,0,0.0112295192210764
SPX.INDEX,0,0.00118321217910512,0.00296008610803592,0.00422387019896618,-0.00945252924804978,0,0,0.0068065832932441,-0.00184415199187652,0.00217539432745653,0.0000000000000000000067762635780344,0.0044658087487854,0,0,0.0128946248553762,0,0,0,-0.0284601238985493
VIX.INDEX,0,-0.0464446979751025,0.100787014403269,0.143112768036815,-0.180938765808751,0,0.235176909151218,-0.134899307462549,0.0376473455028333,0.0730539785892731,0,-0.180934994740744,0,-0.0672837261252918,-1.44155554695097,0,0,0,0
