,BTC,ETH,XRP,BCH,XEM,LTC,DASH,ETC,MIOTA,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0269201194957382,0,-0.162126745026538,0.26158149086539,0.221466731325891,0.00274414094642593,0.0241779634644881,0,0.0556828098729258,0.100064040729079,0.0321902804974457,0,-0.0750123835863333,0,0,0,0,0,0.130862567037472
ETH,0,0,0.193054102688372,0,0,0,-0.000000000000000000433680868994202,0.200470131185028,0.174522693808358,0.014103039653872,0.081905156332022,0.0511658897754173,0.00563716212258748,0,0.150551983020332,0,0,0,0,0.123728435469714
XRP,0,0.0898299450665334,0,0,0.102469475530515,0,0.128475466077614,0,0.0558754711962705,-0.0905719478382638,0.0249650436388055,0.0295008623279166,-0.145808396372967,0.121272891020778,0.454823002415632,0,-0.0622383721764425,0,0,-0.0430463378675206
BCH,-0.802189523256786,0,0.7664067501315,0,0.715701535251366,-0.367738034877899,0,0.643257056801059,-0.386099530484959,0,0.54885319757284,0.0806356811307668,0.289019455681233,-1.05244620587514,0,0,-2.08068324018738,0,0,-0.522439054310282
XEM,0.100859598351364,0,0.276961351946493,0,0,0.0895869822549572,0,0,0,0.0163165046759657,0.206925423294345,0.042271565134382,0,0.134654418875449,-0.00000000000000000173472347597681,0,0,0,0,0
LTC,0.222319727151124,-0.0456458819314818,0,0,0,0,-0.0764041251505092,0.261119247446369,0,0.11627978929827,0.0685545007989235,-0.00000000000000000173472347597681,0,0,0.135223909620927,0,0,0,0,0
DASH,0.0661089413269113,0.119400160425076,0,0,0.167790880527898,0.111777092339448,0,0.149151707404847,0,0.0417204215439125,0.246628938121351,-0.00000000000000000693889390390723,0,-0.01909398471515,0,0,0,0,0,0.0717111116083227
ETC,0.005289950655708,0.239852844269885,0,0,0,0.127233895196958,0.00116586193010885,0,0,0,0.252293927507425,0.000423604199043558,0,0,0.0483595305117382,0,0,0,0,0
MIOTA,0.318353096416406,0,0.611434410931228,0,0,0,0.170432950913816,0,0,0.0524489048144376,0,0.0185113730229085,0.0768390822774539,0.2362363796668,0.00000000000000000693889390390723,0,0,0,0,0
NEO,0,0.0421414469988459,0,0,0,0.105746259688468,0,0,0,0,0,0.0351544033430709,0.420984707415535,0.150440386889023,0,0,0,0,0,0
XMR,0,0,0,0,0.124385605977917,0.0631056149719252,0.436774649919106,0,0.0169413143073171,-0.00901041161842708,0,0.0296255725341395,0,0.260384810391049,0.0354116816822063,0,0,0,0,0
EOS,0,0.146871665378373,0.133491233859472,0,0,-0.0625726115350782,0,0.28587753644414,0,0.057088969309559,0,0,0.237880710739391,0.195141354488325,0,0,0,0,0,0.111878698913768
ZEC,0,0.14729700562474,0,0,0,0,0,0,0.173828939179325,0.0363869621170421,0.107502794962813,0.0376782832711006,0,0.106169698871937,0,0,0,0,0,0
XLM,0,0,0.24938166429365,-0.0280176660899742,0,0,0,0,0.0885212397863995,0.0619747877752141,0.593214388186872,0.0817187990173461,0.135201159496525,0,0.017245345479497,0,0,0,0,0
DOGE,0,0,0.400934469788504,0,0.0704016604011311,0,0.0426061207414713,0,0.0606892829769421,0.00788842458298851,0.2014719236525,-0.037981489899115,0,0.00267457833935289,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0171821687801721,0,-0.000656955824696603,0,-0.0210328747701165,0.010143399916035,-0.00933610148447887,0,0,0.0281132906428005,0,0,0,0,0,0,0.0219998329937154
CVIX.INDEX,0,0.00000000000000000010842021724855,0,0,0,-0.0192019947392855,-0.0210691951840608,0.0315171596011232,0.0609586704508402,0.0104942552235533,0,0.0208926442666302,-0.0882135803711503,-0.0394560992621581,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0.00357286361207962,0,0,0.00410032736981737,0,-0.00312321735258726,0,0,0,0,0,0
SPX.INDEX,0,0.0038479175690709,0,0.0000000000000000000271050543121376,-0.00269941714193221,-0.000352275501718032,0,-0.00430186483407198,0.000608609996808214,-0.000332726385723311,0,0.00156292741432958,0.000437703768685115,0,0,0,0,0,0,-0.061190106705664
VIX.INDEX,0,0.151540953052932,-0.304267782972431,0,0.0549075377220756,-0.0221211036584851,0.136996287693146,0,0,-0.0748439908500495,0.138891071869098,0.0189308440766265,0,0,-0.00634108132710599,0,0,0,0,0
