,BTC,ETH,BCH,XRP,MIOTA,LTC,XEM,NEO,DASH,ETC,XMR,EOS,ZEC,BAT,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.122536491857844,0,0.0895156069726332,0.267163548240759,0,0,0.173634332211835,0.0309457310687165,0,0.0521506695791979,-0.0676831794317962,0.042455832846726,0.0873630883528889,0,0,0,0,0
ETH,0,0,0,0.136529559532633,0.0798763470554097,0,0,0,0.0363675979487515,0.171606576370461,0,0.0440337927889219,0,0.19955221397902,0,0,0,0,0,0
BCH,0,0,0,0,-0.487476010494354,0,0.274618488241173,-0.252390602077968,0.386336469085207,0,0.183806019759728,0.0295337065874107,0,0,0.267397437095084,0,0,0,0,-0.170316314664868
XRP,0,0.276676247698667,-0.00619747233898285,0,0.0136162930868874,0,0.173601679004306,-0.0282637368224805,0.0367545820308713,0,0.126952031176879,0.0284112790593009,0,0.0838015335071762,0,0,0,0,0,0
MIOTA,0,0,0,0.233599892703542,0,0.161871794860571,0.278768640151303,0,0.476561005994147,0,0,-0.00876893640743325,0.260691058416207,0,0.244487761186656,0,0,0,0,-0.0805722816590322
LTC,0,0.0347832432975578,0,0,0.100301613733551,0,0,0.0309612998856236,0,0.152332750226832,0.0936734328139806,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.26084405694598,0.0304168092801028,0,0,0.0291269589813232,0,0,0.240556798950119,0.0388894313956949,0,0.0755617253654819,-0.0346396385971385,0,0,0,0,0
NEO,0,0,-0.0756835245981014,0,0.141818565025201,0,0.194298298245671,0,0,0,0,0.0862910899591306,0,0.0842256643962346,0,0,0,0,0,-0.0494075778326837
DASH,0,0.146688748224367,0,0,0,0,0.129623711972613,0.0634361423437548,0,0.108504859899333,0.226651189386378,0.0475483307275993,0,0,0,0,0,0,0,0
ETC,0,0.386051655438579,0,0,0,0.225603026610288,0,-0.0290390229169299,0.062206583962559,0,0,0.00291609907806972,0,0,0.0364400118885668,0,0,0,0,0
XMR,0,0.0935076796608277,0,0,0.0000000000000000000542101086242752,0,0.151490128112893,0,0.0372629735942027,0,0,0.0490538537292388,0.26839087938348,0.0954837734668454,0,0,0,0,0,0
EOS,0,0.366932514261947,0,0,0,0,0,0.103505358687097,0,0,0,0,0.348336485255038,0.0490098407638533,0.0952876243056294,0,0,0,0,0.0398377275103737
ZEC,0,0.034509186773467,0,0,0.224098813570023,0,0,0,0,0,0.228730826627283,0.045929721814637,0,0.0553413438701221,-0.0314046795313763,0,0,0,0,0
BAT,0,0.521994747826866,0,0,0,-0.0287194571853718,0.272602175609823,-0.0147445235561409,0,-0.276263503351762,0.114544061995883,-0.0485673239705548,0.262891194889839,0,-0.0316137844802527,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00521490720927604,0,-0.00586787088028661,0,0.0014528781050738,0,0,-0.0203952582249219,0,0.000000000000000000867361737988404,0.0291919543423663,0.0151649059231871,-0.0219149356273926,0,0,0,0,0.014902546160495
CVIX.INDEX,0,0,0,0,0.0493442575524033,0,0,0.0203702734685256,0,0,0,0.01989466042993,-0.112310933547893,0,0,0,0,0,0,0.0373760715447721
DXY.INDEX,0.0102425672318115,-0.0158236127952306,0,0,0.0131178411621444,0.010497190340686,-0.00217909593502464,-0.00667924028496249,0.00453633286936374,0,0,0.00467539859692605,0,0,0.0028492318835685,0,-0.0102919619685612,0,0,0
SPX.INDEX,0,0,0.00115646623667862,0,0.00360716940084995,0.000367176106202945,0,0,-0.00563490034600409,-0.00358670487498098,0,0.0016050110335346,0.00364737628999101,-0.00310736359179397,0.00169250533989799,0,0,0,0,-0.0527013323122822
VIX.INDEX,0,0,-0.0205131591223443,0.0833960245953383,-0.0166120208858834,0,0.15146877425421,-0.0462341007437531,-0.115879504090969,0,0,0.031683173931793,0,0,0.0941414278562539,0,0.489564014356075,0,0,0
