,BTC,ETH,XRP,XEM,ETC,LTC,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0796172098084076,0.100389077627327,0,0.139711713446687,0,0.0128546305758709,0,0.0439869976238467,0.05372392819126,0,0,0,0,0,0
ETH,0,0,0,0,0.197247512608526,0,0,0,0.0896332453970632,0,-0.0184844274461445,0.052994180740955,0.0164238201922362,0.204135884050037,0.0101944577499586,0,0,0,0,0.0114915539005214
XRP,0,-0.232512429980067,0,0.0114226898476945,-0.309705986701229,0,0.465488133172196,0,0.126344473058385,0.0298646126661558,0.309354974393303,0,-0.00194267423138399,0.022107563494748,0,0,0,0,0,0
XEM,0.469690168979356,-0.00592153580760506,0.0989627975016162,0,-0.347388430680634,0.0669387271859113,0,0,0.0941160534971783,0.0138921165852799,0,0.119437284018639,-0.0364241265141294,0,0.283485025532807,0,0,0,0,0
ETC,0,0.0400704436608166,-0.291558641395721,0.132878087413319,0,0,0.199678409317895,0.0216419242859876,0.0192327894629899,0.030050312388125,0.0438155947311913,0,-0.0355108664338918,0,0.142284746403538,0,0,0,0,0.0971648447273079
LTC,0.513141024983807,-0.0117230498935124,-0.0210316243640366,0.0697478466808798,0,0,0,0,0.101394436202812,-0.0344639481036289,0,0.0971251888232374,0.0122686445375642,0,0.210003090593207,0,0,0,0,0
DASH,0,0,0.0422270768447877,0.0321965838186783,0,0.0305856006277251,0,0,0.38625259358848,0,0.0599843699847932,0.0286174754456704,0,0,0.0124350361410112,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,-0.123093915719208,0.179637196194795,-0.214457322546735,0.1528396538991,0.639572411625421,0,0,0,0.0747129013329264,0,0,0,-0.151884225878442,0,0,0,0,0
ZEC,0,0.15734758206111,0.0804127328933346,0.0308636077714354,0,0,0.116199917868091,0,0,0,-0.0635236540515849,0.20807047899442,0,0,0.0462116232332889,0,0,0,0,0
XLM,-0.556231835821426,-0.0898435924019013,0.786974783107842,0.0498000903350009,0.315842458730801,-0.100702789430907,0,0,0.367601071960315,-0.118985371722077,0,0,0.00353818606933687,0,0,0,0,0,0,0
DOGE,0,0,0,0.306041515963812,0.0777855535825986,0.0365984980738785,0.15994200299372,0,0,0.199307643531715,0.145444977058141,0,0.0441236693914186,0,0.11970380836588,0,0,0,0,0
DGB,0.329613304030994,-0.511237780697508,0.511216422470526,-0.124851199045467,0,-0.0787910902539138,0.0656658431530618,0,0.628084912996538,-0.331084980905084,-0.377531902075913,0.522367569782564,0,0.392425273156981,0.194156700574815,0,0,0,0,-0.152567887965572
BAT,-0.259481397984903,0,0.160823896134849,0.135294034469546,0.181364047885109,0,-0.204249471622002,0.675261675400322,0,-0.253731794738742,-0.026347297373154,0.0812837081740097,0.026616517682241,0,0.0329047083840078,0,0,0,0,0
NEO,0,0,0.100313765664765,0,0.246349665729377,0.632034244879813,0.11769783932562,0,0,0.373665249448056,-0.0519873624555914,0,0.130851487963669,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00648126443484258,0,0,0,0,0,0,0.0291370948105084,0,0.00429709356128062,0,0.0527948074373015,0,0,0,0,-0.0344505726746051
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0.00481894794139381,0.0319040684270643,-0.00000000000000000010842021724855,0,0,0,0,0,0,0
DXY.INDEX,0,0.0177756217452656,0.00822210157241282,-0.0132850673561454,0.00950274078373394,0,0,0,0,0,0.00328352561850453,-0.00159265506998252,-0.00242861137258472,0,0,0,-0.00788154296613275,0,0,0.0117826381145418
SPX.INDEX,0,0.00370599604065211,0.000138728226878728,-0.00829376907401343,0,0,0,0,0.00448900706408281,0,0.00210054877222034,0,0.00367406682218998,0.00205527136352512,0,0.0256476268656758,0,0,0,-0.0293371727858231
VIX.INDEX,0,0,0.13322313424699,0,0.0326776824172414,0,0.35971520752958,0,-0.143131402288874,-0.117517008578019,0,0,-0.0588447084313077,0.124873150571655,-0.0191855511921751,0,-0.0881458557505973,0,0,0
