,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0929196231296603,0,0.0347246082421173,0,0.19328684427816,0.02662877235594,0,0.0702693285227581,0,0.113525835828517,0,0,0,0,0,0
ETH,0.0633170318948754,0,0.566347759112174,0,0,0,0.00539692341732535,0.0812905467993317,0.0778418085734429,0.0575865442952526,0,0.0343140767574977,0,0.0987977454219007,0.0169463628294692,0,0,0,0,0
XRP,0,0.0542048564679127,0,0.0996688413717561,0.0983681910941409,0,0.136862159695598,0,0.0449738741804953,0.172302524209885,0,0,0,0.00926345217457206,0.125300935848237,0,0,0,0,0.064343942505906
BCH,0,0.183230854337116,0,0,0.20286934134664,0,0.0138033012948763,0.243160883008601,0.0304236053104531,0,0.0861489082322119,0.0252570541070835,0,0.0483483050257793,0,0,0,0,0,-0.0100544762388388
EOS,0.774826145458667,0,0,0.200451299942365,0,0,-0.31464652014126,0.108613344538811,0,0.252293832361828,0.341939880580782,0,0,0.0428080216796732,0,0,0.136130617499167,0,0,0.0612477747044585
LTC,0,0,0,0.377142880187433,0.0389785492745239,0,0,0,0,0,0,0,0,0.0861677132515925,0.246443245971344,0,0,0,0,0
XLM,0,0,0,0.224654350450727,0.116124654289507,0,0,0.203112162240834,0.112263363418822,0.0609485994864553,0,0,0,0,0.0499432047017031,0,0,0,0,0
ADA,0,0,0,0.250511866835938,0.0397140813701236,0,0.184085490127814,0,0.0175336771264915,0.244623442323814,0,0,0,0.00776077286885638,0.0996301894823416,0,0,0,0,0
MIOTA,0,0,0,-0.188946852891903,0.0809450270782396,0.0830781704358512,0.481971333765262,0,0,0.0251540923071911,0.757855997326414,-0.00404895643834749,0,0.0659310244313875,-0.16682876846756,0,0,0,0,0.0735145173333317
TRX,0,0,0.239880694230288,0.451119984141719,0.0625540392060066,0,0.133905869397046,0,0,0,0,0,0,0.0737916827969595,0,0,0,0,0,0.0000000000000000000271050543121376
NEO,0,0,0,0,0.0250985534583759,0,0,0,0.295706547722211,0.101965247509131,0,0,0,0,0.448683226564322,0,0,0,0,0
XMR,0,0.327737093085223,0,0,0,0,0,0.131874018766964,0,0,0.201342530323213,0,0,0.0183946374289023,0.221234062727192,0,0,0,0,0
DASH,0,0,0,0.193457369279975,0,0,0,0,0.00552509455260666,0,0.166673349191599,0,0,-0.00000000000000000173472347597681,0.256920265413836,0,0,0,0,-0.0616620172957417
ETC,0.623885349873667,0,0,0,0,0,0,0,0.235214480675772,0.173345012614097,0,0,0,0,0.126899660202442,0,0,0,0,-0.0476499857581549
XEM,0,0,0,0,0,0,0.397155866021034,0,-0.0325867599107911,0.198446089519771,0.243765819366814,0,0,0.0621355973018606,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.135581903836977,0,-0.0140210248025342,0,0,0,0,0.147719517096123,0,0.0101993724990986,0,0,0,0,0,-0.131210389671306
CVIX.INDEX,0,0,0,0,0,0,0,-0.0129708526359395,-0.159157522886917,0,0.210822899378111,0.170168673570121,-0.186130525924643,0.0773260418385425,0,0.0260945305170116,0,0,0,0.0809883495926683
DXY.INDEX,0,-0.00169310105027563,0,0,0.00351907828356338,0,0.0322384451128428,-0.0521136323857779,-0.0153827655823592,0.0245272185724087,-0.00466409259404815,0.0148367653344456,0,0.0261994356069034,-0.0205656826064278,0,0.0426085684372438,0,0,0.00741365485780918
SPX.INDEX,0,0,0,0.00200029434406318,0,0,0.00822127447043466,0.00278689781288955,-0.0273756132181257,0.00745360058267327,0,0,0,0.0127413367301317,0,0,0,0,0,-0.0557222981121295
VIX.INDEX,0,0,0,-0.194320485369671,-0.272925202076576,-0.0768580291042279,-0.0297217543516583,0,-0.171315538844958,0.298751875257007,0,-0.0978938705483924,0,-0.131586487388967,0.546409937071401,0,0.402202303571788,0,-4.56820770318349,0
