,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.160181870771175,0,0.0959620250316446,0.0520352915530549,0.0386031234100221,0.0197026839080498,0.056371083892234,0,0,0,0,0.0119098478260753,0.0428659193956671,0,0,0,0,0,-0.000479581661209705
ETH,0,0,0.0475522229946824,0,0,0.346591687884009,0,0,0,0.0104170662776437,0.042248332847821,0.0804777992889865,0.0390988131967906,0,0,0,0,0,0,0
XRP,0,0.125510891976359,0,0,0,0.104233281289167,0,0.131908245793667,0,0,0,0.185183173816228,0,0.116179804199308,0,0,0,0,0,0
BCH,0,0.0724016812033898,0,0,0.106905364349381,0.268233807166166,-0.0521348713786151,0.152597727373772,0.211317602508782,0,0.217227762683692,0,0,0,0,0,0,0,0,-0.00681935639668973
LTC,0,0,0,0.348203441661495,0,0.23410636460323,0,0,0.185605964902106,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.253956757401629,-0.060589458093022,0.190722703977053,0.193309526579629,0,0,0,0,0,-0.150469560012758,0.169109294137499,0.240818955244705,0.113557494801449,0.215348382057248,0,0,0,0,0
BNB,0,0,0,-0.272711759386936,0.48396671027568,0,0,0.125342739120202,0,-0.287566669137736,0,0.349496871294933,0,0,0.0184647837439317,0.0407184929492736,-0.233440601517155,0,0,-0.209397802939187
XLM,0,0.068858186345872,0,0.0259020455097623,0.126803190991985,0.0556736769114574,-0.00147322344604695,0,0,0.157125570066828,0,0,0.157564902618398,0.142221195527359,0.063076583167227,0,0,0,0,-0.0447188725098129
ADA,0,0,0.25540278766688,0.234582264571095,0.239202136023287,0,0,0.019072913284153,0,0,0,0,0,0.194015428819704,0.0289027195516701,0,0,0,0,0
TRX,0,0.093330970724783,0.404961499010709,0,0,0.0411219660843795,-0.104823143163444,0.0779641223830324,0,0,0,0.15834538658009,0,0.044998542686846,0,0,0,0,0,0
BSV,0,0,0,0.19845806547557,0.103411388837401,0,0,0,0.0755577445829623,0,0,0,0.0433449998659161,0.218747842521434,0.0777738362208901,0,0,0,0,0
XMR,0,0.350550321154504,0,-0.0787557000358848,0,-0.00000000000000000346944695195361,0,0.187073794740518,0,0.195056515926253,0,0,0.098013682197201,0,0,0,0,0,0,0
DASH,0,0.12368113609389,0,0,0.107064217587148,0.0858555285566673,0.0437672661281298,0.127466910886416,0.116032494449509,0,0,0.0255090070089582,0,0,0,0,0,0,0,0
MIOTA,0,0.309291507889201,0.248756363551465,-0.0324243766679899,0.0214602035329682,0,0.0120674519789684,0,0.130467570761032,0,0,0.104619928882708,-0.000000000000000000867361737988404,0,0,0,-0.0186421996255097,0,0,0
NEO,0,0,0,0,0,0.116739618968831,0.0996020149256542,0,0.329353364239589,0,0,0,0.256905338818047,0,0,0,0,0,0,0.0159876849381584
BV010082.INDEX,0,0,0,0,0,0,0.0571887630051057,0,0,0,0.018754410910517,0.109397557611289,0,-0.197166564417082,0,0,0,0,0,-0.111459177167548
CVIX.INDEX,0,0.214759363353391,-0.358863974061359,-0.0604404009955465,0.022759671985153,0.000320283966066068,0,0.197511982674882,0,-0.0740906266502605,0,-0.303608753255814,0,0,0,-0.49823661627124,0,0,0,0
DXY.INDEX,0,0,0.00242682418462632,0,0,0,0.0154137446117697,0.0149351006995637,0,0,0.0227239669689693,0.0105078138667292,0.0179393224360255,-0.0631989500532473,-0.0211849651093789,0,0.0253539498169251,0,0,0.00244075994968421
SPX.INDEX,0,0,0,0.00507005951964429,-0.0174039882418978,0,0,0,-0.0323347128745724,0,0,0.0227796400945977,0,-0.00213735835437625,0.0327759258512345,0,-0.0256782143870621,0,0,-0.0765594519785044
VIX.INDEX,0,0,0,0,0,-0.314414983902518,0.252143458241074,0,0,0.127591839610915,0.151978129455982,0.066664104861661,-0.495512334927887,0,0.175711897659327,-0.143061754163265,0.0401921079030273,0,-3.09768636925563,0
